topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights,year
QA,W2136893259,0,auto,Research,Methods,: Quantitative and,Research Methods : Quantitative and,,2023
QA,W2136893259,1,auto,It,is,common that someone,It is common that someone,,2023
QA,W2136893259,2,auto,Such,questions,include issues related,Such questions include issues related,,2023
QA,W2136893259,3,auto,After,experiencing,such an eye,After experiencing such an eye,,2023
QA,W2136893259,4,auto,From,there,"onwards , different","From there onwards , different",,2023
QA,W2136893259,5,auto,The,research,design typically includes,The research design typically includes,,2023
QA,W2136893259,6,auto,In,a,large number of,In a large number of,,2023
QA,W2136893259,7,auto,Such,data,collection tools include,Such data collection tools include,,2023
QA,W2136893259,8,auto,The,rules,and norms of,The rules and norms of,,2023
QA,W2136893259,9,auto,We,will,limit our discussions,We will limit our discussions,,2023
QA,W2136893259,10,auto,As,we,"said before ,","As we said before ,",,2023
QA,W2136893259,11,auto,There,are,", of course","There are , of course",,2023
QA,W2136893259,12,auto,Studies,also,include multimodal aspects,Studies also include multimodal aspects,,2023
QA,W2136893259,13,auto,h,methods,is often made,h methods is often made,,2023
QA,W2136893259,14,auto,The,two,approaches can be,The two approaches can be,,2023
QA,W2136893259,15,auto,On,the,"one hand ,","On the one hand ,",,2023
QA,W2136893259,16,auto,Generalization,and,replication are seen,Generalization and replication are seen,,2023
QA,W2136893259,17,auto,On,the,"other hand ,","On the other hand ,",,2023
QA,W2136893259,18,auto,Formulated,in,"this way ,","Formulated in this way ,",,2023
QA,W2136893259,19,auto,In,our,"opinion , both","In our opinion , both",,2023
QA,W2136893259,20,auto,In,a,"quantitative investigation ,","In a quantitative investigation ,",,2023
QA,W2136893259,21,auto,A,sample,can vary according,A sample can vary according,,2023
QA,W2136893259,22,auto,The,analysis,typically focuses on,The analysis typically focuses on,,2023
QA,W2136893259,23,auto,Alternatively,",",researchers can investigate,"Alternatively , researchers can investigate",,2023
QA,W2136893259,24,auto,In,this,type of project,In this type of project,,2023
QA,W2136893259,25,auto,However,",",presenting quantitative distributions,"However , presenting quantitative distributions",,2023
QA,W2136893259,26,auto,A,detailed,analysis of a,A detailed analysis of a,,2023
QA,W2136893259,27,auto,In,contrast,", a qualitative","In contrast , a qualitative",,2023
QA,W2136893259,28,auto,Qualitative,studies,often try to,Qualitative studies often try to,,2023
QA,W2136893259,29,auto,The,methodology,can include (,The methodology can include (,,2023
QA,W2136893259,30,auto,The,conclusions,are often more,The conclusions are often more,,2023
QA,W2136893259,31,auto,Of,course,", a qualitative","Of course , a qualitative",,2023
QA,W2136893259,32,auto,Both,quantitative,and qualitative,Both quantitative and qualitative,,2023
QA,W2136893259,33,auto,approaches,have,proved fruitful in,approaches have proved fruitful in,,2023
QA,W2136893259,34,auto,Some,researchers,have chosen to,Some researchers have chosen to,,2023
QA,W2136893259,35,auto,However,",",sometimes it is,"However , sometimes it is",,2023
QA,W2136893259,36,auto,After,these,general introductory remarks,After these general introductory remarks,,2023
QA,W2136893259,37,auto,Thereafter,",",we reflect on,"Thereafter , we reflect on",,2023
QA,W2136893259,38,auto,Finally,",",we draw some,"Finally , we draw some",,2023
QA,W2136893259,39,auto,In,Chapter,"5 , we","In Chapter 5 , we",,2023
QA,W2136893259,40,auto,Those,methods,may be less,Those methods may be less,,2023
QA,W2136893259,41,auto,Quantitative,Approaches,"Superficially , the","Quantitative Approaches Superficially , the",,2023
QA,W2136893259,42,auto,To,begin,"with , it","To begin with , it",,2023
QA,W2136893259,43,auto,Further,",",drawing a sample,"Further , drawing a sample",,2023
