topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights,year
SUM,W4384071683,0,auto,Large,language,models encode clinical,Large language models encode clinical,,2023
SUM,W4384071683,1,auto,Heather,Cole,- Lewis Google,Heather Cole - Lewis Google,,2023
SUM,W4384071683,2,auto,Large,language,models encode clinical,Large language models encode clinical,,2023
SUM,W4384071683,3,auto,Attempts,to,assess the clinical,Attempts to assess the clinical,,2023
SUM,W4384071683,4,auto,Here,",",to address these,"Here , to address these",,2023
SUM,W4384071683,5,auto,We,propose,a human evaluation,We propose a human evaluation,,2023
SUM,W4384071683,6,auto,In,addition,", we evaluate","In addition , we evaluate",,2023
SUM,W4384071683,7,auto,Using,a,combination of prompting,Using a combination of prompting,,2023
SUM,W4384071683,8,auto,assive,Multitask,Language Understanding (,assive Multitask Language Understanding (,,2023
SUM,W4384071683,9,auto,However,",",human evaluation reveals,"However , human evaluation reveals",,2023
SUM,W4384071683,10,auto,To,resolve,"this , we","To resolve this , we",,2023
SUM,W4384071683,11,auto,The,resulting,"model , Med","The resulting model , Med",,2023
SUM,W4384071683,12,auto,We,show,"that comprehension ,","We show that comprehension ,",,2023
SUM,W4384071683,13,auto,Our,human,evaluations reveal limitations,Our human evaluations reveal limitations,,2023
SUM,W4384071683,14,auto,Medicine,is,a humane endeavour,Medicine is a humane endeavour,,2023
SUM,W4384071683,15,auto,Yet,",",today's artificial intelligence,"Yet , today's artificial intelligence",,2023
SUM,W4384071683,16,auto,These,models,", although useful","These models , although useful",,2023
SUM,W4384071683,17,auto,Recent,advances,in LLMs offer,Recent advances in LLMs offer,,2023
SUM,W4384071683,18,auto,LLMs,are,' foundation models,LLMs are ' foundation models,,2023
SUM,W4384071683,19,auto,These,expressive,and interactive models,These expressive and interactive models,,2023
SUM,W4384071683,20,auto,There,are,several exciting potential,There are several exciting potential,,2023
SUM,W4384071683,21,auto,However,",",the safety -,"However , the safety -",,2023
SUM,W4384071683,22,auto,This,is,especially important for,This is especially important for,,2023
SUM,W4384071683,23,auto,They,may,", for instance","They may , for instance",,2023
SUM,W4384071683,24,auto,To,evaluate,how well LLMs,To evaluate how well LLMs,,2023
SUM,W4384071683,25,auto,This,task,is challenging :,This task is challenging :,,2023
SUM,W4384071683,26,auto,Existing,medical,question - answering,Existing medical question - answering,,2023
SUM,W4384071683,27,auto,ing,datasets,", including six","ing datasets , including six",,2023
SUM,W4384071683,28,auto,To,resolve,"this , we","To resolve this , we",,2023
SUM,W4384071683,29,auto,The,resulting,"model , Med","The resulting model , Med",,2023
SUM,W4384071683,30,auto,For,example,", a panel","For example , a panel",,2023
SUM,W4384071683,31,auto,Similarly,",",29.7 % of,"Similarly , 29.7 % of",,2023
SUM,W4384071683,32,auto,Although,these,results are promising,Although these results are promising,,2023
SUM,W4384071683,33,auto,Further,evaluations,"are necessary ,","Further evaluations are necessary ,",,2023
SUM,W4384071683,34,auto,Our,work,demonstrates that many,Our work demonstrates that many,,2023
SUM,W4384071683,35,auto,We,outline,some key limitations,We outline some key limitations,,2023
SUM,W4384071683,37,auto,Our,first,key contribution is,Our first key contribution is,,2023
SUM,W4384071683,38,auto,We,introduce,"HealthSearchQA , a","We introduce HealthSearchQA , a",,2023
SUM,W4384071683,39,auto,We,present,this dataset alongside,We present this dataset alongside,,2023
SUM,W4384071683,40,auto,We,pilot,a framework for,We pilot a framework for,,2023
SUM,W4384071683,41,auto,Our,evaluation,assesses answers for,Our evaluation assesses answers for,,2023
SUM,W4384071683,42,auto,The,second,key contribution is,The second key contribution is,,2023
SUM,W4384071683,43,auto,Specifically,",",we reach 67.6,"Specifically , we reach 67.6",,2023
SUM,W4384071683,44,auto,The,next,contribution is the,The next contribution is the,,2023
SUM,W4384071683,45,auto,We,leverage,this techniq,We leverage this techniq,,2023
SUM,W4384071683,46,auto,ue,to,build Med -,ue to build Med -,,2023
SUM,W4384071683,47,auto,It,is,caused by a,It is caused by a,,2023
SUM,W4384071683,48,auto,Bilirubin,is,a byproduct of,Bilirubin is a byproduct of,,2023
SUM,W4384071683,49,auto,Newborn,jaundice,is common and,Newborn jaundice is common and,,2023
SUM,W4384071683,50,auto,The,jaundice,typically goes away,The jaundice typically goes away,,2023
SUM,W4384071683,51,auto,In,some,"cases , it","In some cases , it",,2023
SUM,W4384071683,52,auto,The,time,it takes for,The time it takes for,,2023
SUM,W4384071683,53,auto,If,the,jaundice is severe,If the jaundice is severe,,2023
SUM,W4384071683,54,auto,Article,version,of Flan -,Article version of Flan -,,2023
SUM,W4384071683,55,auto,Although,our,results demonstrate the,Although our results demonstrate the,,2023
SUM,W4384071683,56,auto,Model,development,and evaluation of,Model development and evaluation of,,2023
SUM,W4384071683,57,auto,We,first,provide an overview,We first provide an overview,,2023
SUM,W4384071683,58,auto,On,the,MedQA dataset consisting,On the MedQA dataset consisting,,2023
SUM,W4384071683,59,auto,Concurrent,with,"our study ,","Concurrent with our study ,",,2023
SUM,W4384071683,60,auto,On,the,"MedMCQA dataset ,","On the MedMCQA dataset ,",,2023
SUM,W4384071683,61,auto,This,exceeds,the previous state,This exceeds the previous state,,2023
SUM,W4384071683,62,auto,The,MMLU,dataset contains multiple,The MMLU dataset contains multiple,,2023
SUM,W4384071683,63,auto,These,include,"anatomy , clinical","These include anatomy , clinical",,2023
SUM,W4384071683,64,auto,Flan,-,PaLM 540B achieved,Flan - PaLM 540B achieved,,2023
SUM,W4384071683,65,auto,In,particular,", on the","In particular , on the",,2023
SUM,W4384071683,66,auto,Extended,Data,Fig. 2 20,Extended Data Fig. 2 20,,2023
SUM,W4384071683,67,auto,We,performed,several ablations on,We performed several ablations on,,2023
SUM,W4384071683,68,auto,Instruction,tuning,improves performance Across,Instruction tuning improves performance Across,,2023
SUM,W4384071683,69,auto,odel,sizes,", we observed","odel sizes , we observed",,2023
SUM,W4384071683,70,auto,The,models,were few -,The models were few -,,2023
SUM,W4384071683,71,auto,The,detailed,results are summarized,The detailed results are summarized,,2023
SUM,W4384071683,72,auto,Med,-,PaLM ( instruction,Med - PaLM ( instruction,,2023
SUM,W4384071683,73,auto,However,",",given the success,"However , given the success",,2023
SUM,W4384071683,74,auto,It,has,been shown that,It has been shown that,,2023
SUM,W4384071683,75,auto,We,then,marginalized over the,We then marginalized over the,,2023
SUM,W4384071683,76,auto,Using,this,"strategy , we","Using this strategy , we",,2023
SUM,W4384071683,77,auto,In,particular,", for the","In particular , for the",,2023
SUM,W4384071683,78,auto,However,",",self - consistency,"However , self - consistency",,2023
SUM,W4384071683,79,auto,The,results,are summarized in,The results are summarized in,,2023
SUM,W4384071683,80,auto,However,",",they can also,"However , they can also",,2023
SUM,W4384071683,81,auto,In,medical,settings in particular,In medical settings in particular,,2023
SUM,W4384071683,82,auto,Instead,",",we may want,"Instead , we may want",,2023
SUM,W4384071683,83,auto,One,solution,is therefore for,One solution is therefore for,,2023
SUM,W4384071683,84,auto,Although,uncertainty,measures over LLM,Although uncertainty measures over LLM,,2023
SUM,W4384071683,85,auto,We,randomly,selected 100 questions,We randomly selected 100 questions,,2023
SUM,W4384071683,86,auto,These,questions,reflect real -,These questions reflect real -,,2023
SUM,W4384071683,87,auto,These,selected,questions were disjoint,These selected questions were disjoint,,2023
SUM,W4384071683,88,auto,o,produce,Med - PaLM,o produce Med - PaLM,,2023
SUM,W4384071683,89,auto,We,asked,a panel of,We asked a panel of,,2023
SUM,W4384071683,90,auto,We,then,produced answers using,We then produced answers using,,2023
SUM,W4384071683,91,auto,A,few,qualitative examples of,A few qualitative examples of,,2023
SUM,W4384071683,92,auto,We,aimed,to understand how,We aimed to understand how,,2023
SUM,W4384071683,93,auto,We,judged,clinicians' answers to,We judged clinicians' answers to,,2023
SUM,W4384071683,94,auto,This,is,not a commonly,This is not a commonly,,2023
SUM,W4384071683,95,auto,Comprehension,",",retrieval and reasoning,"Comprehension , retrieval and reasoning",,2023
SUM,W4384071683,96,auto,We,sought,to understand the,We sought to understand the,,2023
SUM,W4384071683,97,auto,We,asked,a panel of,We asked a panel of,,2023
SUM,W4384071683,98,auto,We,observe,that if we,We observe that if we,,2023
SUM,W4384071683,99,auto,Article,prompt,tuning for Med,Article prompt tuning for Med,,2023
SUM,W4384071683,100,auto,The,goal,of this evaluation,The goal of this evaluation,,2023
SUM,W4384071683,101,auto,Where,there,was deemed to,Where there was deemed to,,2023
SUM,W4384071683,102,auto,Fig.,4,| Clinician evaluation,Fig. 4 | Clinician evaluation,,2023
SUM,W4384071683,103,auto,a-f,",",Clinicians were asked,"a-f , Clinicians were asked",,2023
SUM,W4384071683,104,auto,We,compare,answers from Flan,We compare answers from Flan,,2023
SUM,W4384071683,105,auto,Across,all,"axes , answers","Across all axes , answers",,2023
SUM,W4384071683,106,auto,Med,-,PaLM answers were,Med - PaLM answers were,,2023
SUM,W4384071683,107,auto,ourably,with,answers from clinicians,ourably with answers from clinicians,,2023
SUM,W4384071683,108,auto,The,evaluation,involves 140 questions,The evaluation involves 140 questions,,2023
SUM,W4384071683,109,auto,We,used,the non-parametric bootstrap,We used the non-parametric bootstrap,,2023
SUM,W4384071683,110,auto,We,used,the 95 %,We used the 95 %,,2023
SUM,W4384071683,111,auto,Detailed,results,with intervals are,Detailed results with intervals are,,2023
SUM,W4384071683,112,auto,by,a,single clinician .,by a single clinician .,,2023
SUM,W4384071683,113,auto,We,used,the non-parametric bootstrap,We used the non-parametric bootstrap,,2023
SUM,W4384071683,114,auto,We,used,the 95 %,We used the 95 %,,2023
SUM,W4384071683,115,auto,Again,",",the clinician -,"Again , the clinician -",,2023
SUM,W4384071683,116,auto,Flan,-,PaLM answers were,Flan - PaLM answers were,,2023
SUM,W4384071683,117,auto,Several,qualitative,examples are shown,Several qualitative examples are shown,,2023
SUM,W4384071683,118,auto,However,",",a longer answer,"However , a longer answer",,2023
SUM,W4384071683,119,auto,Possible,extent,and likelihood of,Possible extent and likelihood of,,2023
SUM,W4384071683,120,auto,We,sought,to identify the,We sought to identify the,,2023
SUM,W4384071683,121,auto,We,asked,raters to assume,We asked raters to assume,,2023
SUM,W4384071683,122,auto,We,based,the options for,We based the options for,,2023
SUM,W4384071683,123,auto,Whereas,29.7,% of the,Whereas 29.7 % of the,,2023
SUM,W4384071683,124,auto,Similarly,",",on the likelihood,"Similarly , on the likelihood",,2023
SUM,W4384071683,125,auto,The,final,axis for clinician,The final axis for clinician,,2023
SUM,W4384071683,126,auto,For,this,"pilot evaluation ,","For this pilot evaluation ,",,2023
SUM,W4384071683,127,auto,Specifically,for,"each response ,","Specifically for each response ,",,2023
SUM,W4384071683,128,auto,te,for,one particular patient,te for one particular patient,,2023
SUM,W4384071683,129,auto,For,example,", is the","For example , is the",,2023
SUM,W4384071683,130,auto,For,this,definition of bias,For this definition of bias,,2023
SUM,W4384071683,131,auto,It,should,be noted that,It should be noted that,,2023
SUM,W4384071683,132,auto,This,initial,approach to evaluating,This initial approach to evaluating,,2023
SUM,W4384071683,133,auto,Further,fairness,and equity considerations,Further fairness and equity considerations,,2023
SUM,W4384071683,134,auto,Lay,user,assessment .,Lay user assessment .,,2023
SUM,W4384071683,135,auto,Beyond,expert,"evaluation , we","Beyond expert evaluation , we",,2023
SUM,W4384071683,136,auto,The,results,are summarized in,The results are summarized in,,2023
SUM,W4384071683,137,auto,The,lay,user evaluation further,The lay user evaluation further,,2023
SUM,W4384071683,139,auto,Our,results,suggest that the,Our results suggest that the,,2023
SUM,W4384071683,140,auto,The,performance,of PaLM 8B,The performance of PaLM 8B,,2023
SUM,W4384071683,141,auto,Accuracy,improved,by more than,Accuracy improved by more than,,2023
SUM,W4384071683,142,auto,We,observed,similar improvements for,We observed similar improvements for,,2023
SUM,W4384071683,143,auto,Further,",",instruction fine -,"Further , instruction fine -",,2023
SUM,W4384071683,144,auto,It,is,likely that the,It is likely that the,,2023
SUM,W4384071683,145,auto,In,Supplementary,"Information , section","In Supplementary Information , section",,2023
SUM,W4384071683,146,auto,We,also,assessed the overlap,We also assessed the overlap,,2023
SUM,W4384071683,147,auto,6,Article,overlap ( Supplementary,6 Article overlap ( Supplementary,,2023
SUM,W4384071683,148,auto,These,include,BioGPT 21 (,These include BioGPT 21 (,,2023
SUM,W4384071683,149,auto,Even,strong,LLMs such as,Even strong LLMs such as,,2023
SUM,W4384071683,150,auto,However,",",the Med -,"However , the Med -",,2023
SUM,W4384071683,151,auto,ta,-,and parameter -,ta - and parameter -,,2023
SUM,W4384071683,153,auto,Our,study,demonstrates the potential,Our study demonstrates the potential,,2023
SUM,W4384071683,154,auto,Below,we,discuss limitations and,Below we discuss limitations and,,2023
SUM,W4384071683,155,auto,Expansion,of,MultiMedQA,Expansion of MultiMedQA,,2023
SUM,W4384071683,156,auto,Although,the,MultiMedQA benchmark is,Although the MultiMedQA benchmark is,,2023
SUM,W4384071683,157,auto,We,plan,to expand the,We plan to expand the,,2023
SUM,W4384071683,158,auto,A,key,challenge in clinical,A key challenge in clinical,,2023
SUM,W4384071683,159,auto,Multiple,-,choice question -,Multiple - choice question -,,2023
SUM,W4384071683,160,auto,This,is,not true for,This is not true for,,2023
SUM,W4384071683,161,auto,Developing,benchmark,tasks that reflect,Developing benchmark tasks that reflect,,2023
SUM,W4384071683,162,auto,Furthermore,",",we only considered,"Furthermore , we only considered",,2023
SUM,W4384071683,163,auto,Key,LLM,capabilities for this,Key LLM capabilities for this,,2023
SUM,W4384071683,164,auto,In,order,to bridge this,In order to bridge this,,2023
SUM,W4384071683,165,auto,Improving,human,evaluation,Improving human evaluation,,2023
SUM,W4384071683,166,auto,The,rating,framework that we,The rating framework that we,,2023
SUM,W4384071683,167,auto,For,example,", the concept","For example , the concept",,2023
SUM,W4384071683,168,auto,The,number,of model responses,The number of model responses,,2023
SUM,W4384071683,169,auto,This,could,be mitigated by,This could be mitigated by,,2023
SUM,W4384071683,170,auto,We,worked,with a,We worked with a,,2023
SUM,W4384071683,171,auto,panel,of,four qualified clinicians,panel of four qualified clinicians,,2023
SUM,W4384071683,172,auto,Further,research,could expand the,Further research could expand the,,2023
SUM,W4384071683,173,auto,The,pilot,framework that we,The pilot framework that we,,2023
SUM,W4384071683,174,auto,As,previously,"discussed , our","As previously discussed , our",,2023
SUM,W4384071683,175,auto,The,use,of LLMs to,The use of LLMs to,,2023
SUM,W4384071683,176,auto,These,harms,derive from several,These harms derive from several,,2023
SUM,W4384071683,177,auto,The,development,of procedures for,The development of procedures for,,2023
SUM,W4384071683,178,auto,Key,principles,include the use,Key principles include the use,,2023
SUM,W4384071683,179,auto,The,development,of evaluation frameworks,The development of evaluation frameworks,,2023
SUM,W4384071683,181,auto,This,research,demonstrates the potential,This research demonstrates the potential,,2023
SUM,W4384071683,182,auto,Transitioning,from,an LLM that,Transitioning from an LLM that,,2023
SUM,W4384071683,183,auto,Careful,consideration,will need to,Careful consideration will need to,,2023
SUM,W4384071683,184,auto,For,example,", the potential","For example , the potential",,2023
SUM,W4384071683,185,auto,Additional,research,will be needed,Additional research will be needed,,2023
SUM,W4384071683,186,auto,he,advent,of foundation models,he advent of foundation models,,2023
SUM,W4384071683,187,auto,At,the,"same time ,","At the same time ,",,2023
SUM,W4384071683,188,auto,Our,research,provides a glimpse,Our research provides a glimpse,,2023
SUM,W4384071683,189,auto,We,anticipate,that this study,We anticipate that this study,,2023
SUM,W4384071683,191,auto,Any,methods,", additional references","Any methods , additional references",,2023
SUM,W4384071683,192,auto,Publisher's,note,Springer Nature remains,Publisher's note Springer Nature remains,,2023
SUM,W4384071683,194,auto,This,article,is licensed under,This article is licensed under,,2023
SUM,W4384071683,195,auto,The,images,or other third,The images or other third,,2023
SUM,W4384071683,196,auto,If,material,is not included,If material is not included,,2023
SUM,W4384071683,197,auto,To,view,a copy of,To view a copy of,,2023
SUM,W4384071683,198,auto,To,assess,the potential of,To assess the potential of,,2023
SUM,W4384071683,199,auto,Answering,medical,questions requires reading,Answering medical questions requires reading,,2023
SUM,W4384071683,200,auto,There,are,several existing medical,There are several existing medical,,2023
SUM,W4384071683,201,auto,These,include,datasets that assess,These include datasets that assess,,2023
SUM,W4384071683,202,auto,Existing,benchmarks,are inherently limited,Existing benchmarks are inherently limited,,2023
SUM,W4384071683,203,auto,Here,we,bring together a,Here we bring together a,,2023
