topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights,year
MT,W4386958277,0,auto,BMC,Medical,Education Shuroug A,BMC Medical Education Shuroug A,0.6953383,2023
MT,W4386958277,1,auto,Saud,bin,Abdulaziz University for,Saud bin Abdulaziz University for,0.6354985,2023
MT,W4386958277,2,auto,Rapid,AI,advancements can revolutionize,Rapid AI advancements can revolutionize,0.6157292,2023
MT,W4386958277,3,auto,Reporting,AI's,role in clinical,Reporting AI's role in clinical,0.72606266,2023
MT,W4386958277,5,auto,This,review,article provides a,This review article provides a,0.68437964,2023
MT,W4386958277,6,auto,It,also,discusses the associated,It also discusses the associated,0.6860249,2023
MT,W4386958277,7,auto,By,doing,"so , it","By doing so , it",0.6312627,2023
MT,W4386958277,8,auto,vely,adopting,AI technologies .,vely adopting AI technologies .,0.6896043,2023
MT,W4386958277,9,auto,Materials,and,Methods,Materials and Methods,0.4798033,2023
MT,W4386958277,10,auto,The,current,investigation analyzed the,The current investigation analyzed the,0.68166834,2023
MT,W4386958277,11,auto,The,focused,question explores the,The focused question explores the,0.64206004,2023
MT,W4386958277,12,auto,Results,Integrating,AI into healthcare,Results Integrating AI into healthcare,0.71028537,2023
MT,W4386958277,13,auto,AI,tools,can leverage large,AI tools can leverage large,0.6757723,2023
MT,W4386958277,14,auto,AI,offers,"increased accuracy ,","AI offers increased accuracy ,",0.6614936,2023
MT,W4386958277,15,auto,It,can,revolutionize personalized medicine,It can revolutionize personalized medicine,0.6212323,2023
MT,W4386958277,16,auto,Conclusion,AI,can be used,Conclusion AI can be used,0.6595975,2023
MT,W4386958277,17,auto,Rather,than,simply automating tasks,Rather than simply automating tasks,0.6432638,2023
MT,W4386958277,18,auto,However,",",challenges related to,"However , challenges related to",0.6415454,2023
MT,W4386958277,19,auto,Introduction,Artificial,Intelligence ( AI,Introduction Artificial Intelligence ( AI,0.800417,2023
MT,W4386958277,20,auto,AI,includes,various techniques such,AI includes various techniques such,0.68098503,2023
MT,W4386958277,21,auto,Large,Language,Models ( LLMs,Large Language Models ( LLMs,0.74464047,2023
MT,W4386958277,22,auto,AI,has,evolved since the,AI has evolved since the,0.66590333,2023
MT,W4386958277,23,auto,At,that,"time , AI","At that time , AI",0.7254806,2023
MT,W4386958277,24,auto,In,1956,", John McCarthy","In 1956 , John McCarthy",0.68656707,2023
MT,W4386958277,25,auto,This,event,marked the beginning,This event marked the beginning,0.6584106,2023
MT,W4386958277,26,auto,In,the,1960 and 1970,In the 1960 and 1970,0.70897126,2023
MT,W4386958277,27,auto,However,",",this approach was,"However , this approach was",0.6355777,2023
MT,W4386958277,28,auto,In,the,1980 and 1990,In the 1980 and 1990,0.7098662,2023
MT,W4386958277,29,auto,This,period,saw the development,This period saw the development,0.7124852,2023
MT,W4386958277,30,auto,In,the,"2000s , AI","In the 2000s , AI",0.72827494,2023
MT,W4386958277,31,auto,language,and,respond to user,language and respond to user,0.63657916,2023
MT,W4386958277,32,auto,In,academia,", AI has","In academia , AI has",0.6200667,2023
MT,W4386958277,33,auto,These,systems,have improved student,These systems have improved student,0.7139981,2023
MT,W4386958277,34,auto,In,research,", AI has","In research , AI has",0.6362866,2023
MT,W4386958277,35,auto,The,rapid,progression of AI,The rapid progression of AI,0.696607,2023
MT,W4386958277,36,auto,It,is,imperative to document,It is imperative to document,0.6515178,2023
MT,W4386958277,37,auto,This,review,article aims to,This review article aims to,0.57373494,2023
MT,W4386958277,38,auto,By,doing,"so , this","By doing so , this",0.641518,2023
MT,W4386958277,39,auto,Materials,and,methods Search strategy,Materials and methods Search strategy,0.50072926,2023
MT,W4386958277,40,auto,Databases,search,protocol and keywords,Databases search protocol and keywords,0.73102033,2023
MT,W4386958277,41,auto,In,the,"review article ,","In the review article ,",0.7781454,2023
MT,W4386958277,42,auto,The,authors,analyzed various combinations,The authors analyzed various combinations,0.58848953,2023
MT,W4386958277,43,auto,By,imposing,"language restrictions ,","By imposing language restrictions ,",0.63157606,2023
MT,W4386958277,44,auto,Data,extraction,Publications were screened,Data extraction Publications were screened,0.66423905,2023
MT,W4386958277,45,auto,Only,those,that met the,Only those that met the,0.7992248,2023
MT,W4386958277,46,auto,Any,disagreements,or concerns about,Any disagreements or concerns about,0.6007761,2023
MT,W4386958277,47,auto,AI,assistance,in diagnostics Diagnosis,AI assistance in diagnostics Diagnosis,0.66274846,2023
MT,W4386958277,48,auto,The,development,of early diagnostic,The development of early diagnostic,0.7535853,2023
MT,W4386958277,49,auto,AI,can,revolutionize different aspects,AI can revolutionize different aspects,0.5782275,2023
MT,W4386958277,50,auto,ML,is,an area of,ML is an area of,0.67734057,2023
MT,W4386958277,51,auto,some,of,the challenges and,some of the challenges and,0.6225605,2023
MT,W4386958277,52,auto,AI,is,still in its,AI is still in its,0.71531725,2023
MT,W4386958277,53,auto,However,",",more data are,"However , more data are",0.63804144,2023
MT,W4386958277,54,auto,A,study,was published in,A study was published in,0.580925,2023
MT,W4386958277,55,auto,This,study,showed that utilizing,This study showed that utilizing,0.58143425,2023
MT,W4386958277,56,auto,Furthermore,",",a study utilized,"Furthermore , a study utilized",0.61292416,2023
MT,W4386958277,57,auto,Additionally,",",AI can reduce,"Additionally , AI can reduce",0.6313247,2023
MT,W4386958277,58,auto,In,the,"future , AI","In the future , AI",0.7912608,2023
MT,W4386958277,59,auto,Researchers,continue,exploring ways to,Researchers continue exploring ways to,0.59152997,2023
MT,W4386958277,60,auto,By,leveraging,"ML techniques ,","By leveraging ML techniques ,",0.67490745,2023
MT,W4386958277,61,auto,Clinical,laboratory,testing provides critical,Clinical laboratory testing provides critical,0.72434247,2023
MT,W4386958277,62,auto,It,is,an essential part,It is an essential part,0.64956045,2023
MT,W4386958277,63,auto,The,projected,benefits of using,The projected benefits of using,0.70586455,2023
MT,W4386958277,64,auto,Automated,techniques,in blood cultures,Automated techniques in blood cultures,0.76693076,2023
MT,W4386958277,65,auto,Moreover,",",AI - powered,"Moreover , AI - powered",0.67657185,2023
MT,W4386958277,66,auto,Patients,are,evaluated in the,Patients are evaluated in the,0.6415222,2023
MT,W4386958277,67,auto,Faster,clinical,data interpretation is,Faster clinical data interpretation is,0.6457532,2023
MT,W4386958277,68,auto,The,risk,of misdiagnosing patients,The risk of misdiagnosing patients,0.75499594,2023
MT,W4386958277,70,auto,Diagnostic,mistakes,in the healthcare,Diagnostic mistakes in the healthcare,0.76211405,2023
MT,W4386958277,71,auto,A,study,found that diagnostic,A study found that diagnostic,0.60852665,2023
MT,W4386958277,72,auto,A,specific,area where AI,A specific area where AI,0.6055571,2023
MT,W4386958277,73,auto,Examining,extensive,genomic datasets allows,Examining extensive genomic datasets allows,0.6700838,2023
MT,W4386958277,74,auto,For,instance,", a groundbreaking","For instance , a groundbreaking",0.7319985,2023
MT,W4386958277,75,auto,The,advent,of high -,The advent of high -,0.7181297,2023
MT,W4386958277,76,auto,AI,assistance,in treatment Precision,AI assistance in treatment Precision,0.66930616,2023
MT,W4386958277,77,auto,The,potential,applications of AI,The potential applications of AI,0.6824967,2023
MT,W4386958277,78,auto,Dose,optimization,and therapeutic drug,Dose optimization and therapeutic drug,0.7594813,2023
MT,W4386958277,79,auto,On,the,"contrary , a","On the contrary , a",0.7821604,2023
MT,W4386958277,80,auto,AI,-,is an AI,AI - is an AI,0.6654847,2023
MT,W4386958277,81,auto,Therapeutic,drug,monitoring ( TDM,Therapeutic drug monitoring ( TDM,0.73388296,2023
MT,W4386958277,82,auto,It,is,predominantly utilized for,It is predominantly utilized for,0.65759695,2023
MT,W4386958277,83,auto,TDM,aims,to ensure that,TDM aims to ensure that,0.45477116,2023
MT,W4386958277,84,auto,One,example,of AI in,One example of AI in,0.675017,2023
MT,W4386958277,85,auto,By,analyzing,large datasets of,By analyzing large datasets of,0.65608275,2023
MT,W4386958277,86,auto,This,can,help to reduce,This can help to reduce,0.6491652,2023
MT,W4386958277,87,auto,atient,outcomes,[ 59 ],atient outcomes [ 59 ],0.65349036,2023
MT,W4386958277,88,auto,In,data,"analytics , predictive","In data analytics , predictive",0.5217654,2023
MT,W4386958277,89,auto,In,order,to anticipate the,In order to anticipate the,0.7354996,2023
MT,W4386958277,90,auto,AI,can,be used to,AI can be used to,0.6969232,2023
MT,W4386958277,91,auto,AI,algorithms,can analyze large,AI algorithms can analyze large,0.7693741,2023
MT,W4386958277,92,auto,AI,can,also automate specific,AI can also automate specific,0.66777587,2023
MT,W4386958277,93,auto,Furthermore,",",AI is needed,"Furthermore , AI is needed",0.622296,2023
MT,W4386958277,94,auto,Testing,algorithms,on real -,Testing algorithms on real -,0.5451579,2023
MT,W4386958277,95,auto,To,overcome,"this , investing","To overcome this , investing",0.63780576,2023
MT,W4386958277,96,auto,Edge,analytics,can also detect,Edge analytics can also detect,0.69915193,2023
MT,W4386958277,97,auto,From,a,"Saudi perspective ,","From a Saudi perspective ,",0.7075969,2023
MT,W4386958277,98,auto,Establishment,of,"working groups ,","Establishment of working groups ,",0.6293668,2023
MT,W4386958277,99,auto,In,healthcare,", guidelines usually","In healthcare , guidelines usually",0.68787766,2023
MT,W4386958277,100,auto,AI,can,help identify newly,AI can help identify newly,0.71276814,2023
MT,W4386958277,101,auto,Then,",",under the supervision,"Then , under the supervision",0.6365548,2023
MT,W4386958277,102,auto,Several,professional,organizations have developed,Several professional organizations have developed,0.615939,2023
MT,W4386958277,103,auto,The,European,Commission has spearheaded,The European Commission has spearheaded,0.5768173,2023
MT,W4386958277,104,auto,AI,in,drug information and,AI in drug information and,0.5936379,2023
MT,W4386958277,106,auto,ecent,years,", healthcare institutions","ecent years , healthcare institutions",0.6845482,2023
MT,W4386958277,107,auto,Furthermore,",",these tools can,"Furthermore , these tools can",0.65173596,2023
MT,W4386958277,108,auto,The,current,published studies addressing,The current published studies addressing,0.6224304,2023
MT,W4386958277,109,auto,AI,in,enhancing patient education,AI in enhancing patient education,0.57402605,2023
MT,W4386958277,110,auto,Are,individuals,more inclined towards,Are individuals more inclined towards,0.6739622,2023
MT,W4386958277,111,auto,People's,feelings,about AI replacing,People's feelings about AI replacing,0.6995195,2023
MT,W4386958277,112,auto,In,medicine,", patients often","In medicine , patients often",0.6951446,2023
MT,W4386958277,113,auto,In,other,"words , patient","In other words , patient",0.64761406,2023
MT,W4386958277,114,auto,Research,on,whether people prefer,Research on whether people prefer,0.54064786,2023
MT,W4386958277,115,auto,Future,directions,and considerations for,Future directions and considerations for,0.7495421,2023
MT,W4386958277,116,auto,Among,these,challenges is the,Among these challenges is the,0.6651843,2023
MT,W4386958277,117,auto,Data,privacy,", availability ,","Data privacy , availability ,",0.6861827,2023
MT,W4386958277,118,auto,Additionally,",",determining relevant clinical,"Additionally , determining relevant clinical",0.6257633,2023
MT,W4386958277,119,auto,Human,contribution,to the design,Human contribution to the design,0.65176475,2023
MT,W4386958277,120,auto,Addressing,these,challenges and providing,Addressing these challenges and providing,0.61818105,2023
MT,W4386958277,121,auto,nnovative,data,"annotation methods ,","nnovative data annotation methods ,",0.5875866,2023
MT,W4386958277,122,auto,Creating,practical,", usable ,","Creating practical , usable ,",0.6079186,2023
MT,W4386958277,123,auto,By,merging,current best practices,By merging current best practices,0.67976236,2023
MT,W4386958277,124,auto,Legal,",","ethical , and","Legal , ethical , and",0.6770428,2023
MT,W4386958277,125,auto,Consequently,",",safeguarding the commercial,"Consequently , safeguarding the commercial",0.61116356,2023
MT,W4386958277,126,auto,One,of,the major causes,One of the major causes,0.61868715,2023
MT,W4386958277,127,auto,The,integration,of AI in,The integration of AI in,0.70708656,2023
MT,W4386958277,128,auto,AI,-,driven predictive analytics,AI - driven predictive analytics,0.5845759,2023
MT,W4386958277,129,auto,Additionally,",",AI can aid,"Additionally , AI can aid",0.61396796,2023
MT,W4386958277,130,auto,Integrating,AI,in virtual health,Integrating AI in virtual health,0.62198114,2023
MT,W4386958277,131,auto,However,",",it is important,"However , it is important",0.65138614,2023
MT,W4386958277,132,auto,Several,measures,must be taken,Several measures must be taken,0.507979,2023
MT,W4386958277,133,auto,Firstly,",",comprehensive cybersecurity strategies,"Firstly , comprehensive cybersecurity strategies",0.5744716,2023
MT,W4386958277,134,auto,Collaboration,between,"healthcare organizations ,","Collaboration between healthcare organizations ,",0.678439,2023
MT,W4386958277,135,auto,Investment,in,research and development,Investment in research and development,0.50548106,2023
MT,W4386958277,136,auto,AI,algorithms,can continuously examine,AI algorithms can continuously examine,0.709046,2023
MT,W4386958277,137,auto,This,can,identify patients at,This can identify patients at,0.59488094,2023
MT,W4386958277,138,auto,Edge,analytics,can also detect,Edge analytics can also detect,0.6991517,2023
MT,W4386958277,139,auto,Public,perception,of AI in,Public perception of AI in,0.7764874,2023
MT,W4386958277,140,auto,ring,human,practitioners in complex,ring human practitioners in complex,0.74846137,2023
MT,W4386958277,141,auto,Trust,-,building and patient,Trust - building and patient,0.5735612,2023
MT,W4386958277,142,auto,Overcoming,challenges,like data quality,Overcoming challenges like data quality,0.776403,2023
MT,W4386958277,143,auto,Collaboration,among,stakeholders is vital,Collaboration among stakeholders is vital,0.56741035,2023
MT,W4386958277,144,auto,Continued,research,", innovation ,","Continued research , innovation ,",0.697559,2023
MT,W4386958277,145,auto,With,successful,"integration , AI","With successful integration , AI",0.75242245,2023
MT,W4386958277,146,auto,Fig.,2,2 Fig. 2,Fig. 2 2 Fig. 2,0.73436606,2023
MT,W4386958277,147,auto,The,subsequent,genotypic alignment is,The subsequent genotypic alignment is,0.6755191,2023
MT,W4386958277,148,auto,Probability,calculations,are achieved through,Probability calculations are achieved through,0.7575086,2023
MT,W4386958277,149,auto,Negative,numbers,indicate gene deletions,Negative numbers indicate gene deletions,0.749349,2023
MT,W4386958277,151,auto,This,research,did not receive,This research did not receive,0.6302356,2023
MT,W4386958277,152,auto,Data,availability,Not applicable .,Data availability Not applicable .,0.5930063,2023
MT,W4386958277,153,auto,Abbreviations,Declarations,Ethics approval and,Abbreviations Declarations Ethics approval and,0.65785915,2023
MT,W4386958277,154,auto,Consent,for,publication Not applicable,Consent for publication Not applicable,0.5136285,2023
MT,W4386958277,156,auto,The,authors,declare that they,The authors declare that they,0.59452945,2023
MT,W4386958277,157,auto,Publisher's,Note,Springer Nature remains,Publisher's Note Springer Nature remains,0.43756703,2023
MT,W4386958277,158,auto,Artificial,Intelligence,: what is,Artificial Intelligence : what is,0.66638446,2023
MT,W4386958277,159,auto,I,E,Suleimenov Y S,I E Suleimenov Y S,0.6790735,2023
MT,W4386958277,160,auto,The,potential,for artificial intelligence,The potential for artificial intelligence,0.7107139,2023
MT,W4386958277,161,auto,Artificial,intelligence,a modern approach,Artificial intelligence a modern approach,0.66343653,2023
MT,W4386958277,162,auto,The,relative,effectiveness of human,The relative effectiveness of human,0.7142396,2023
MT,W4386958277,163,auto,High,-,performance medicine :,High - performance medicine :,0.6447137,2023
MT,W4386958277,164,auto,19,Dermatologist,- level classification,19 Dermatologist - level classification,0.5547188,2023
MT,W4386958277,165,auto,Applications,of,machine learning to,Applications of machine learning to,0.6276646,2023
MT,W4386958277,166,auto,Machine,-,learning - based,Machine - learning - based,0.6407431,2023
MT,W4386958277,167,auto,International,evaluation,of an AI,International evaluation of an AI,0.7497051,2023
MT,W4386958277,168,auto,Changes,in,cancer detection and,Changes in cancer detection and,0.59395003,2023
MT,W4386958277,169,auto,Man,against,machine : diagnostic,Man against machine : diagnostic,0.7030016,2023
MT,W4386958277,170,auto,A,fast,machine learning model,A fast machine learning model,0.65455484,2023
MT,W4386958277,171,auto,Deep,neural,networks can predict,Deep neural networks can predict,0.6860028,2023
MT,W4386958277,172,auto,Artificial,intelligence,- based detection,Artificial intelligence - based detection,0.749173,2023
MT,W4386958277,173,auto,A,diagnostic,testing for people,A diagnostic testing for people,0.6445443,2023
MT,W4386958277,174,auto,Machine,learning,in the clinical,Machine learning in the clinical,0.74511105,2023
MT,W4386958277,175,auto,N,Peiffer,- Smadja S,N Peiffer - Smadja S,0.75736487,2023
MT,W4386958277,177,auto,ing,for,microbial identification and,ing for microbial identification and,0.63103664,2023
MT,W4386958277,178,auto,Machine,learning,- based in,Machine learning - based in,0.7611692,2023
MT,W4386958277,179,auto,Image,analysis,and artificial intelligence,Image analysis and artificial intelligence,0.62436724,2023
MT,W4386958277,180,auto,How,artificial,intelligence could transform,How artificial intelligence could transform,0.6468229,2023
MT,W4386958277,181,auto,10.1016/j.ajem.2018.01.017,Am,J Emerg Med,10.1016/j.ajem.2018.01.017 Am J Emerg Med,0.53953683,2023
MT,W4386958277,182,auto,Emergency,department,visit classification using,Emergency department visit classification using,0.6714816,2023
MT,W4386958277,183,auto,Diagnostic,error,increases mortality and,Diagnostic error increases mortality and,0.6786288,2023
MT,W4386958277,184,auto,A,review,of feature selection,A review of feature selection,0.65328854,2023
MT,W4386958277,185,auto,Machine,learning,prediction of biomarkers,Machine learning prediction of biomarkers,0.77269167,2023
MT,W4386958277,186,auto,2021,Jun,29 Diagnostic classification,2021 Jun 29 Diagnostic classification,0.67898774,2023
MT,W4386958277,187,auto,Med,Inf,9 4 2021,Med Inf 9 4 2021,0.75534886,2023
MT,W4386958277,188,auto,Gene,expression,patterns of breast,Gene expression patterns of breast,0.77656454,2023
MT,W4386958277,189,auto,Biological,subtypes,of breas,Biological subtypes of breas,0.71421,2023
MT,W4386958277,190,auto,t,cancer,: prognostic and,t cancer : prognostic and,0.71143085,2023
MT,W4386958277,191,auto,Tackling,the,widespread and critical,Tackling the widespread and critical,0.6554276,2023
MT,W4386958277,192,auto,The,role,of AI in,The role of AI in,0.65470487,2023
MT,W4386958277,193,auto,Industrializing,AI,- powered drug,Industrializing AI - powered drug,0.67027134,2023
MT,W4386958277,194,auto,Drug,repurposing,for viral cancers,Drug repurposing for viral cancers,0.7646841,2023
MT,W4386958277,195,auto,A,systematic,literature review for,A systematic literature review for,0.69422233,2023
MT,W4386958277,196,auto,Artificial,intelligence,and machine learning,Artificial intelligence and machine learning,0.72174126,2023
MT,W4386958277,197,auto,Precision,medicine,in the era,Precision medicine in the era,0.7381643,2023
MT,W4386958277,198,auto,Operational,implementation,of prospective genotyping,Operational implementation of prospective genotyping,0.80609465,2023
MT,W4386958277,199,auto,Machine,learning,predicts individual cancer,Machine learning predicts individual cancer,0.7800495,2023
MT,W4386958277,200,auto,npj,Digit,Med Y H,npj Digit Med Y H,0.6607668,2023
MT,W4386958277,201,auto,rs,M,Benkebil 10.1007/s40264-022-01153-8 Drug,rs M Benkebil 10.1007/s40264-022-01153-8 Drug,0.59678805,2023
MT,W4386958277,202,auto,Development,of,a system to,Development of a system to,0.59055376,2023
MT,W4386958277,203,auto,What's,new,in therapeutic drug,What's new in therapeutic drug,0.77359134,2023
MT,W4386958277,204,auto,F,Sjövall,C Lanckohr H,F Sjövall C Lanckohr H,0.7449344,2023
MT,W4386958277,205,auto,Predicting,Anticancer,Drug Response with,Predicting Anticancer Drug Response with,0.58630824,2023
MT,W4386958277,206,auto,A,review,of approaches for,A review of approaches for,0.67695326,2023
MT,W4386958277,207,auto,Predicting,drug,adverse effects using,Predicting drug adverse effects using,0.63843745,2023
MT,W4386958277,208,auto,Implementing,electronic,health care predictive,Implementing electronic health care predictive,0.67718315,2023
MT,W4386958277,209,auto,Predictive,model,based on Health,Predictive model based on Health,0.75647545,2023
MT,W4386958277,210,auto,2021,Mar,15,2021 Mar 15,0.6584029,2023
MT,W4386958277,211,auto,Potentially,avoidable,30 - day,Potentially avoidable 30 - day,0.8058295,2023
MT,W4386958277,212,auto,Working,Group,Guidelines for clinical,Working Group Guidelines for clinical,0.6771655,2023
MT,W4386958277,213,auto,305,-,z Nat Biomed,305 - z Nat Biomed,0.55714434,2023
MT,W4386958277,214,auto,Machine,learning,and artificial intelligence,Machine learning and artificial intelligence,0.6773607,2023
MT,W4386958277,215,auto,How,to,read articles that,How to read articles that,0.5909469,2023
MT,W4386958277,216,auto,US,Food,and Drug Administration,US Food and Drug Administration,0.6555161,2023
MT,W4386958277,217,auto,Released,2021,. FDA website,Released 2021 . FDA website,0.5833416,2023
MT,W4386958277,218,auto,A,European,approach to excellence,A European approach to excellence,0.48068702,2023
MT,W4386958277,219,auto,Feb,19,.,Feb 19 .,0.57747746,2023
MT,W4386958277,221,auto,White,Paper,on Artificial Intelligence,White Paper on Artificial Intelligence,0.63462985,2023
MT,W4386958277,222,auto,Health,Technol,( Berl ),Health Technol ( Berl ),0.6283221,2023
