topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights
MT2022_2025,W4392343318,0,auto,NF,-,κB in biology,NF - κB in biology,0.56179374
MT2022_2025,W4392343318,1,auto,Initially,",",NF - κB,"Initially , NF - κB",0.55640817
MT2022_2025,W4392343318,2,auto,However,",",with extensive and,"However , with extensive and",0.6130972
MT2022_2025,W4392343318,3,auto,In,this,"review , we","In this review , we",0.7411143
MT2022_2025,W4392343318,4,auto,We,investigate,the interaction of,We investigate the interaction of,0.6753594
MT2022_2025,W4392343318,5,auto,The,physiological,and pathological states,The physiological and pathological states,0.7580496
MT2022_2025,W4392343318,6,auto,Additionally,",",we illustrate how,"Additionally , we illustrate how",0.56520987
MT2022_2025,W4392343318,7,auto,Further,",",we discuss the,"Further , we discuss the",0.6482988
MT2022_2025,W4392343318,8,auto,We,hope,to present a,We hope to present a,0.7114594
MT2022_2025,W4392343318,10,auto,In,1986,", Ranjan Sen","In 1986 , Ranjan Sen",0.69020015
MT2022_2025,W4392343318,11,auto,THE,HISTORY,AND DEVELOPMENT OF,THE HISTORY AND DEVELOPMENT OF,0.59297264
MT2022_2025,W4392343318,12,auto,The,mammalian,NF - κB,The mammalian NF - κB,0.6328094
MT2022_2025,W4392343318,13,auto,Due,to,the sharing of,Due to the sharing of,0.6338199
MT2022_2025,W4392343318,14,auto,6,7,"8 , 9","6 7 8 , 9",0.6830066
MT2022_2025,W4392343318,15,auto,10,10,"1 11 ,","10 10 1 11 ,",0.7099142
MT2022_2025,W4392343318,16,auto,13,IκBα,", IκBβ ,","13 IκBα , IκBβ ,",0.7750031
MT2022_2025,W4392343318,17,auto,8,8,7 Phosphorylation of,8 8 7 Phosphorylation of,0.6580466
MT2022_2025,W4392343318,18,auto,IκB,is,phosphorylated by the,IκB is phosphorylated by the,0.5497058
MT2022_2025,W4392343318,19,auto,Therefore,",",IKK is a,"Therefore , IKK is a",0.65973973
MT2022_2025,W4392343318,20,auto,In,addition,", IKKα and","In addition , IKKα and",0.6065139
MT2022_2025,W4392343318,21,auto,38,38,39 Activation and,38 38 39 Activation and,0.5967334
MT2022_2025,W4392343318,22,auto,NF,-,κB signaling may,NF - κB signaling may,0.57148427
MT2022_2025,W4392343318,23,auto,6,",",40 41 41,"6 , 40 41 41",0.58274645
MT2022_2025,W4392343318,24,auto,When,Notch,signaling is transmitted,When Notch signaling is transmitted,0.7372514
MT2022_2025,W4392343318,25,auto,The,network,of interactions between,The network of interactions between,0.7598201
MT2022_2025,W4392343318,26,auto,158,",",159 160 161,"158 , 159 160 161",0.40132082
MT2022_2025,W4392343318,27,auto,Mammalian,TLRs,are expressed in,Mammalian TLRs are expressed in,0.74498516
