topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights
Sum2022_2025,W4388522045,0,auto,SRplot,:,A free online,SRplot : A free online,0.54999137
Sum2022_2025,W4388522045,1,auto,Although,there,are many tools,Although there are many tools,0.69614595
Sum2022_2025,W4388522045,2,auto,Here,",",we presented a,"Here , we presented a",0.63461286
Sum2022_2025,W4388522045,3,auto,It,can,be run easily,It can be run easily,0.62248284
Sum2022_2025,W4388522045,4,auto,With,a,user - friendly,With a user - friendly,0.6697815
Sum2022_2025,W4388522045,5,auto,Modification,operations,can be easily,Modification operations can be easily,0.68924695
Sum2022_2025,W4388522045,6,auto,The,resulting,graphs can be,The resulting graphs can be,0.6451038
Sum2022_2025,W4388522045,7,auto,The,website,is updated promptly,The website is updated promptly,0.722495
Sum2022_2025,W4388522045,8,auto,Functions,in,SRplot have been,Functions in SRplot have been,0.55345803
Sum2022_2025,W4388522045,9,auto,The,graphs,prepared with SRplot,The graphs prepared with SRplot,0.73578256
Sum2022_2025,W4388522045,10,auto,The,SRplot,web server is,The SRplot web server is,0.73321176
Sum2022_2025,W4388522045,11,auto,com.cn,/,SRplot .,com.cn / SRplot .,0.5288051
Sum2022_2025,W4388522045,12,auto,Introduction,Data,visualization and presentation,Introduction Data visualization and presentation,0.6024475
Sum2022_2025,W4388522045,13,auto,A,number,of packages and,A number of packages and,0.65135574
Sum2022_2025,W4388522045,14,auto,Many,of,these tools are,Many of these tools are,0.58683944
Sum2022_2025,W4388522045,15,auto,Here,",",we present SRplot,"Here , we present SRplot",0.6496115
Sum2022_2025,W4388522045,16,auto,Through,its,intuitive graphical user,Through its intuitive graphical user,0.6863359
Sum2022_2025,W4388522045,17,auto,The,following,are the features,The following are the features,0.5832719
Sum2022_2025,W4388522045,18,auto,Although,most,of these functions,Although most of these functions,0.71527463
Sum2022_2025,W4388522045,19,auto,In,addition,", SRplot contains","In addition , SRplot contains",0.5889378
Sum2022_2025,W4388522045,20,auto,Competing,interests,: The authors,Competing interests : The authors,0.6045942
Sum2022_2025,W4388522045,21,auto,Results,Main,functions SRplot is,Results Main functions SRplot is,0.67128104
Sum2022_2025,W4388522045,22,auto,This,tool,supports a wide,This tool supports a wide,0.69221956
Sum2022_2025,W4388522045,23,auto,As,a,new and comprehensive,As a new and comprehensive,0.64568317
Sum2022_2025,W4388522045,24,auto,2,",",This tool has,"2 , This tool has",0.6480382
Sum2022_2025,W4388522045,25,auto,3,",",It is developed,"3 , It is developed",0.62856865
Sum2022_2025,W4388522045,26,auto,A,wide,variety of plots,A wide variety of plots,0.6409882
Sum2022_2025,W4388522045,27,auto,4,",",It is an,"4 , It is an",0.63930845
Sum2022_2025,W4388522045,28,auto,The,most,computationally intensive plotting,The most computationally intensive plotting,0.732183
Sum2022_2025,W4388522045,29,auto,With,our,powerful server machine,With our powerful server machine,0.6174711
Sum2022_2025,W4388522045,30,auto,5,",",It is easy,"5 , It is easy",0.57399523
Sum2022_2025,W4388522045,31,auto,6,",",The resulting graphs,"6 , The resulting graphs",0.5421673
Sum2022_2025,W4388522045,32,auto,7,",",Some commonly used,"7 , Some commonly used",0.6256946
Sum2022_2025,W4388522045,33,auto,Functions,in,SRplot have been,Functions in SRplot have been,0.5534581
Sum2022_2025,W4388522045,34,auto,We,have,provided the input,We have provided the input,0.56969863
Sum2022_2025,W4388522045,35,auto,Such,input,data files could,Such input data files could,0.6938811
Sum2022_2025,W4388522045,36,auto,Then,the,user should copy,Then the user should copy,0.71373373
Sum2022_2025,W4388522045,37,auto,Standard,formatting,"options , such","Standard formatting options , such",0.663853
Sum2022_2025,W4388522045,38,auto,Default,settings,for each item,Default settings for each item,0.56928587
Sum2022_2025,W4388522045,39,auto,A,number,of options are,A number of options are,0.641089
Sum2022_2025,W4388522045,40,auto,With,a,single click of,With a single click of,0.6676605
Sum2022_2025,W4388522045,41,auto,If,any,further changes to,If any further changes to,0.7043912
Sum2022_2025,W4388522045,42,auto,Meanwhile,",",data protection and,"Meanwhile , data protection and",0.62119377
Sum2022_2025,W4388522045,43,auto,Output,Tasks,are performed on,Output Tasks are performed on,0.69410133
Sum2022_2025,W4388522045,44,auto,If,changing,some of the,If changing some of the,0.6543201
Sum2022_2025,W4388522045,45,auto,When,a,satisfactory version is,When a satisfactory version is,0.67004865
Sum2022_2025,W4388522045,46,auto,All,the,graphs can be,All the graphs can be,0.7229991
Sum2022_2025,W4388522045,47,auto,Discussion,Data,visualization and graphing,Discussion Data visualization and graphing,0.6403572
Sum2022_2025,W4388522045,48,auto,Some,tools,for this aim,Some tools for this aim,0.6442373
Sum2022_2025,W4388522045,49,auto,A,series,of stellar functions,A series of stellar functions,0.65848345
Sum2022_2025,W4388522045,50,auto,The,graphs,prepared with SRplot,The graphs prepared with SRplot,0.73578256
Sum2022_2025,W4388522045,51,auto,Limitation,First,", currently SRplot","Limitation First , currently SRplot",0.7427099
Sum2022_2025,W4388522045,52,auto,This,is,mainly due to,This is mainly due to,0.6525983
Sum2022_2025,W4388522045,53,auto,Second,",",to make better,"Second , to make better",0.6382121
Sum2022_2025,W4388522045,54,auto,Third,",",SRplot is not,"Third , SRplot is not",0.64621025
Sum2022_2025,W4388522045,55,auto,Future,developments,"Certainly , the","Future developments Certainly , the",0.7213933
Sum2022_2025,W4388522045,56,auto,In,the,"future , our","In the future , our",0.7868817
Sum2022_2025,W4388522045,57,auto,Users,can,consult the SRplot,Users can consult the SRplot,0.57985586
Sum2022_2025,W4388522045,58,auto,Fig,1,. 1 Fig,Fig 1 . 1 Fig,0.6751037
Sum2022_2025,W4388522045,59,auto,Workflow,of,SRplot .,Workflow of SRplot .,0.5364909
Sum2022_2025,W4388522045,60,auto,https://doi.org/10.1371/journal.pone.0294236.g001,Fig,2 . 2,https://doi.org/10.1371/journal.pone.0294236.g001 Fig 2 . 2,0.27181482
Sum2022_2025,W4388522045,61,auto,Outline,of,functions in SRplot,Outline of functions in SRplot,0.58366114
Sum2022_2025,W4388522045,62,auto,https://doi.org/10.1371/journal.pone.0294236.g002,Fig,3 . 3,https://doi.org/10.1371/journal.pone.0294236.g002 Fig 3 . 3,0.28973907
Sum2022_2025,W4388522045,63,auto,Examples,of,the most commonly,Examples of the most commonly,0.51924866
Sum2022_2025,W4388522045,64,auto,(,A,) Cluster heatmap,( A ) Cluster heatmap,0.6611712
Sum2022_2025,W4388522045,66,auto,Table,1,. Comparison among,Table 1 . Comparison among,0.55991817
Sum2022_2025,W4388522045,67,auto,1,Platforms,/ software SRplot,1 Platforms / software SRplot,0.69473535
Sum2022_2025,W4388522045,68,auto,No,No,No No Frequency,No No No No Frequency,0.812208
Sum2022_2025,W4388522045,69,auto,https://doi.org/10.1371/journal.pone.0294236.t001,PLOS,ONE | https://doi.org/10.1371/journal.pone.0294236,https://doi.org/10.1371/journal.pone.0294236.t001 PLOS ONE | https://doi.org/10.1371/journal.pone.0294236,0.20519295
Sum2022_2025,W4388522045,70,auto,We,would,like to thank,We would like to thank,0.4641564
Sum2022_2025,W4388522045,71,auto,The,data,underlying the results,The data underlying the results,0.6079626
Sum2022_2025,W4388522045,72,auto,The,SRplot,is a useful,The SRplot is a useful,0.6572846
Sum2022_2025,W4388522045,73,auto,Our,website,provides example data,Our website provides example data,0.7668952
Sum2022_2025,W4388522045,74,auto,The,example,data may be,The example data may be,0.72916174
Sum2022_2025,W4388522045,75,auto,Also,",",the example data,"Also , the example data",0.64789885
Sum2022_2025,W4388522045,76,auto,Author,Contributions,Conceptualization : Doudou,Author Contributions Conceptualization : Doudou,0.65656996
Sum2022_2025,W4388522045,77,auto,Heatmapper,:,web - enabled,Heatmapper : web - enabled,0.57462156
Sum2022_2025,W4388522045,78,auto,Improving,the,usability and archival,Improving the usability and archival,0.6311701
Sum2022_2025,W4388522045,79,auto,Gene,ontology,: tool for,Gene ontology : tool for,0.74369043
Sum2022_2025,W4388522045,80,auto,The,Gene,Ontology Consortium M,The Gene Ontology Consortium M,0.6419162
Sum2022_2025,W4388522045,81,auto,Identification,of,antimicrobial peptides from,Identification of antimicrobial peptides from,0.5551792
Sum2022_2025,W4388522045,82,auto,Circulating,proteomic,panels for risk,Circulating proteomic panels for risk,0.6417357
Sum2022_2025,W4388522045,83,auto,Restoration,of,Autophagic Flux Improves,Restoration of Autophagic Flux Improves,0.5790509
Sum2022_2025,W4389519254,0,auto,G,-,EVAL : NLG,G - EVAL : NLG,0.5977268
Sum2022_2025,W4389519254,1,auto,The,quality,of texts generated,The quality of texts generated,0.7051665
Sum2022_2025,W4389519254,2,auto,Conventional,referencebased,"metrics , such","Conventional referencebased metrics , such",0.63312674
Sum2022_2025,W4389519254,3,auto,Recent,studies,suggest using large,Recent studies suggest using large,0.7038911
Sum2022_2025,W4389519254,4,auto,However,",",these LLM -,"However , these LLM -",0.7054673
Sum2022_2025,W4389519254,5,auto,In,this,"work , we","In this work , we",0.70365375
Sum2022_2025,W4389519254,6,auto,We,experiment,with two generation,We experiment with two generation,0.68102074
Sum2022_2025,W4389519254,7,auto,We,show,that G -,We show that G -,0.7208794
Sum2022_2025,W4389519254,8,auto,We,also,propose analysis on,We also propose analysis on,0.6471743
Sum2022_2025,W4389519254,9,auto,1,Introduction,Evaluating the quality,1 Introduction Evaluating the quality,0.5889382
Sum2022_2025,W4389519254,10,auto,Moreover,",",these metrics require,"Moreover , these metrics require",0.63557774
Sum2022_2025,W4389519254,11,auto,Recent,studies,propose directly using,Recent studies propose directly using,0.65679526
Sum2022_2025,W4389519254,12,auto,2,.,We propose to,2 . We propose to,0.6414068
Sum2022_2025,W4389519254,13,auto,3,.,We propose to,3 . We propose to,0.6421141
Sum2022_2025,W4389519254,14,auto,4,.,We conduct an,4 . We conduct an,0.59156567
Sum2022_2025,W4389519254,15,auto,Method,G-EVAL,is a prompt,Method G-EVAL is a prompt,0.7284769
Sum2022_2025,W4389519254,16,auto,Prompt,for,NLG Evaluation,Prompt for NLG Evaluation,0.6215193
Sum2022_2025,W4389519254,17,auto,The,prompt,is a natural,The prompt is a natural,0.7252748
Sum2022_2025,W4389519254,18,auto,For,example,", for text","For example , for text",0.6655184
Sum2022_2025,W4389519254,19,auto,Your,task,is to rate,Your task is to rate,0.6751289
Sum2022_2025,W4389519254,20,auto,Please,make,sure you read,Please make sure you read,0.61525387
Sum2022_2025,W4389519254,21,auto,Please,keep,this document open,Please keep this document open,0.5534094
Sum2022_2025,W4389519254,22,auto,The,prompt,should also contain,The prompt should also contain,0.6111068
Sum2022_2025,W4389519254,23,auto,For,example,", for evaluating","For example , for evaluating",0.66155857
Sum2022_2025,W4389519254,24,auto,We,align,this dimension with,We align this dimension with,0.7275317
Sum2022_2025,W4389519254,25,auto,The,summary,should not just,The summary should not just,0.57841665
Sum2022_2025,W4389519254,26,auto,Auto,Chain,- of -,Auto Chain - of -,0.6806496
Sum2022_2025,W4389519254,27,auto,The,chain,- of -,The chain - of -,0.68575776
Sum2022_2025,W4389519254,28,auto,For,evaluation,"tasks , some","For evaluation tasks , some",0.7343429
Sum2022_2025,W4389519254,29,auto,We,find,that LLM can,We find that LLM can,0.6971528
Sum2022_2025,W4389519254,30,auto,The,CoT,can provide more,The CoT can provide more,0.59765273
Sum2022_2025,W4389519254,31,auto,For,example,", for evaluating","For example , for evaluating",0.66155857
Sum2022_2025,W4389519254,32,auto,1,.,Read the news,1 . Read the news,0.5495886
Sum2022_2025,W4389519254,33,auto,2,.,Read the summary,2 . Read the summary,0.5072037
Sum2022_2025,W4389519254,34,auto,Check,if,the summary covers,Check if the summary covers,0.5947819
Sum2022_2025,W4389519254,35,auto,3,.,Assign a score,3 . Assign a score,0.5785873
Sum2022_2025,W4389519254,37,auto,The,scoring,function calls the,The scoring function calls the,0.6929612
Sum2022_2025,W4389519254,38,auto,Unlike,GPTScore,( Fu et,Unlike GPTScore ( Fu et,0.62056845
Sum2022_2025,W4389519254,39,auto,This,leads,to many ties,This leads to many ties,0.71730167
Sum2022_2025,W4389519254,40,auto,To,address,"these issues ,","To address these issues ,",0.66631174
Sum2022_2025,W4389519254,41,auto,Formally,",",given a set,"Formally , given a set",0.5239556
Sum2022_2025,W4389519254,42,auto,This,method,obtains more fine,This method obtains more fine,0.53565323
Sum2022_2025,W4389519254,43,auto,Experiments,Following,Zhong et al.,Experiments Following Zhong et al.,0.59681344
