source,target,year
P_W2971141904,P_W11511616,2019.0
P_W2971141904,P_W22168010,2019.0
P_W2971141904,P_W630532510,2019.0
P_W2971141904,P_W2102423300,2019.0
P_W2971141904,P_W2120699290,2019.0
P_W2971141904,P_W2135824681,2019.0
P_W2971141904,P_W2250597803,2019.0
P_W2971141904,P_W2419539795,2019.0
P_W2971141904,P_W2493916176,2019.0
P_W2971141904,P_W2517456239,2019.0
P_W2971141904,P_W2538358357,2019.0
P_W2971141904,P_W2567035470,2019.0
P_W2971141904,P_W2577914266,2019.0
P_W2971141904,P_W2594229957,2019.0
P_W2971141904,P_W2622101571,2019.0
P_W2971141904,P_W2740433069,2019.0
P_W2971141904,P_W2741029840,2019.0
P_W2971141904,P_W2759173152,2019.0
P_W2971141904,P_W2767019613,2019.0
P_W2971141904,P_W2885588803,2019.0
P_W2971141904,P_W2887751429,2019.0
P_W2971141904,P_W2888159079,2019.0
P_W2971141904,P_W2897507397,2019.0
P_W2971141904,P_W2898962441,2019.0
P_W2971141904,P_W2902180983,2019.0
P_W2971141904,P_W2902545332,2019.0
P_W2971141904,P_W2902582221,2019.0
P_W2971141904,P_W2903376039,2019.0
P_W2971141904,P_W2922158773,2019.0
P_W2971141904,P_W2962697716,2019.0
P_W2971141904,P_W2962784628,2019.0
P_W2971141904,P_W2962801832,2019.0
P_W2971141904,P_W2963216553,2019.0
P_W2971141904,P_W2964120396,2019.0
P_W2971141904,P_W2964130895,2019.0
P_W2971141904,P_W3029683630,2019.0
P_W2971141904,P_W3202218022,2019.0
P_W2971141904,P_W3204130541,2019.0
P_W2971141904,P_W4214784700,2019.0
P_W2971141904,P_W4300428972,2019.0
P_W2971141904,P_W4385245566,2019.0
P_W102083554,P_W1647671624,2010.0
P_W102083554,P_W2092689630,2010.0
P_W102083554,P_W2128514324,2010.0
P_W102083554,P_W2153225416,2010.0
P_W102083554,P_W2179984881,2010.0
P_W102083554,P_W2597886012,2010.0
P_W102083554,P_W2760736243,2010.0
P_W2798931235,P_W8895266,2018.0
P_W2798931235,P_W38126138,2018.0
P_W2798931235,P_W630532510,2018.0
P_W2798931235,P_W1508577659,2018.0
P_W2798931235,P_W1522301498,2018.0
P_W2798931235,P_W1753482797,2018.0
P_W2798931235,P_W1816313093,2018.0
P_W2798931235,P_W1915251500,2018.0
P_W2798931235,P_W2025768430,2018.0
P_W2798931235,P_W2064675550,2018.0
P_W2798931235,P_W2121745180,2018.0
P_W2798931235,P_W2124807415,2018.0
P_W2798931235,P_W2134800885,2018.0
P_W2798931235,P_W2153653739,2018.0
P_W2798931235,P_W2166880518,2018.0
P_W2798931235,P_W2250952810,2018.0
P_W2798931235,P_W2251222643,2018.0
P_W2798931235,P_W2252106004,2018.0
P_W2798931235,P_W2418388682,2018.0
P_W2798931235,P_W2425903306,2018.0
P_W2798931235,P_W2493916176,2018.0
P_W2798931235,P_W2514713644,2018.0
P_W2798931235,P_W2608615602,2018.0
P_W2798931235,P_W2610245951,2018.0
P_W2798931235,P_W2625092622,2018.0
P_W2798931235,P_W2626778328,2018.0
P_W2798931235,P_W2741602058,2018.0
P_W2798931235,P_W2741917668,2018.0
P_W2798931235,P_W2785093437,2018.0
P_W2798931235,P_W2786790428,2018.0
P_W2798931235,P_W2794365787,2018.0
P_W2798931235,P_W2949888546,2018.0
P_W2798931235,P_W2950133940,2018.0
P_W2798931235,P_W2950359962,2018.0
P_W2798931235,P_W2951184134,2018.0
P_W2798931235,P_W2962824887,2018.0
P_W2798931235,P_W2963216553,2018.0
P_W2798931235,P_W2963602293,2018.0
P_W2798931235,P_W2964007535,2018.0
P_W2798931235,P_W2964013027,2018.0
P_W2798931235,P_W2964308564,2018.0
P_W2946068894,P_W1522301498,2019.0
P_W2946068894,P_W1915251500,2019.0
P_W2946068894,P_W2130942839,2019.0
P_W2946068894,P_W2133564696,2019.0
P_W2946068894,P_W2163605009,2019.0
P_W2946068894,P_W2250473257,2019.0
P_W2946068894,P_W2546938941,2019.0
P_W2946068894,P_W2594978815,2019.0
P_W2946068894,P_W2613904329,2019.0
P_W2946068894,P_W2765961751,2019.0
P_W2946068894,P_W2766182427,2019.0
P_W2946068894,P_W2804047946,2019.0
P_W2946068894,P_W2886095922,2019.0
P_W2946068894,P_W2888519496,2019.0
P_W2946068894,P_W2905266130,2019.0
P_W2946068894,P_W2950359962,2019.0
P_W2946068894,P_W2952148143,2019.0
P_W2946068894,P_W2956130159,2019.0
P_W2946068894,P_W2962784628,2019.0
P_W2946068894,P_W2962824887,2019.0
P_W2946068894,P_W2963216553,2019.0
P_W2946068894,P_W2963403868,2019.0
P_W2946068894,P_W2963545917,2019.0
P_W2946068894,P_W2964265128,2019.0
P_W2946068894,P_W2964308564,2019.0
P_W2946068894,P_W3098341425,2019.0
P_W2946068894,P_W4295727797,2019.0
P_W2946068894,P_W4298393544,2019.0
P_W2946068894,P_W4307459710,2019.0
P_W2946068894,P_W4385245566,2019.0
P_W3035174060,P_W2144746247,2020.0
P_W3035174060,P_W2149327368,2020.0
P_W3035174060,P_W2160001241,2020.0
P_W3035174060,P_W2164984707,2020.0
P_W3035174060,P_W2251150371,2020.0
P_W3035174060,P_W2251557434,2020.0
P_W3035174060,P_W2560730294,2020.0
P_W3035174060,P_W2803437449,2020.0
P_W3035174060,P_W2896457183,2020.0
P_W3035174060,P_W2914120296,2020.0
P_W3035174060,P_W2950470622,2020.0
P_W3035174060,P_W2953072129,2020.0
P_W3035174060,P_W2962727366,2020.0
P_W3035174060,P_W2962736243,2020.0
P_W3035174060,P_W2962843521,2020.0
P_W3035174060,P_W2963341956,2020.0
P_W3035174060,P_W2963969878,2020.0
P_W3035174060,P_W2970156971,2020.0
P_W3035174060,P_W2971051558,2020.0
P_W3035174060,P_W2971120958,2020.0
P_W3035174060,P_W3016211260,2020.0
P_W2964093309,P_W222053410,2019.0
P_W2964093309,P_W605727707,2019.0
P_W2964093309,P_W1522301498,2019.0
P_W2964093309,P_W1677182931,2019.0
P_W2964093309,P_W1686810756,2019.0
P_W2964093309,P_W2101105183,2019.0
P_W2964093309,P_W2130942839,2019.0
P_W2964093309,P_W2133564696,2019.0
P_W2964093309,P_W2194775991,2019.0
P_W2964093309,P_W2525778437,2019.0
P_W2964093309,P_W2546938941,2019.0
P_W2964093309,P_W2613904329,2019.0
P_W2964093309,P_W2752047430,2019.0
P_W2964093309,P_W2787802257,2019.0
P_W2964093309,P_W2794365787,2019.0
P_W2964093309,P_W2888520903,2019.0
P_W2964093309,P_W2889326796,2019.0
P_W2964093309,P_W2896060389,2019.0
P_W2964093309,P_W2896457183,2019.0
P_W2964093309,P_W2906987001,2019.0
P_W2964093309,P_W2962784628,2019.0
P_W2964093309,P_W2963216553,2019.0
P_W2964093309,P_W2963341956,2019.0
P_W2964093309,P_W2963403868,2019.0
P_W2964093309,P_W2963599677,2019.0
P_W2964093309,P_W2963991316,2019.0
P_W2964093309,P_W2964045208,2019.0
P_W2964093309,P_W2964050280,2019.0
P_W2964093309,P_W2964121744,2019.0
P_W2964093309,P_W2964240726,2019.0
P_W2964093309,P_W2964265128,2019.0
P_W2964093309,P_W2964308564,2019.0
P_W2964093309,P_W4385245566,2019.0
P_W2964093309,P_W4394643672,2019.0
P_W3118612332,P_W309335912,2020.0
P_W3118612332,P_W2124807415,2020.0
P_W3118612332,P_W2134800885,2020.0
P_W3118612332,P_W2146574666,2020.0
P_W3118612332,P_W2153653739,2020.0
P_W3118612332,P_W2156985047,2020.0
P_W3118612332,P_W2250859223,2020.0
P_W3118612332,P_W2606974598,2020.0
P_W3118612332,P_W2962784628,2020.0
P_W3118612332,P_W2963212250,2020.0
P_W3118612332,P_W2963216553,2020.0
P_W3118612332,P_W2963506925,2020.0
P_W3118612332,P_W2963729818,2020.0
P_W3118612332,P_W2964308564,2020.0
P_W2797371199,P_W1521626219,2018.0
P_W2797371199,P_W1522301498,2018.0
P_W2797371199,P_W2098297786,2018.0
P_W2797371199,P_W2123388068,2018.0
P_W2797371199,P_W2124725212,2018.0
P_W2797371199,P_W2133564696,2018.0
P_W2797371199,P_W2140372282,2018.0
P_W2797371199,P_W2144600658,2018.0
P_W2797371199,P_W2148708890,2018.0
P_W2797371199,P_W2153013403,2018.0
P_W2797371199,P_W2170527467,2018.0
P_W2797371199,P_W2175296493,2018.0
P_W2797371199,P_W2321916036,2018.0
P_W2797371199,P_W2337363174,2018.0
P_W2797371199,P_W2481467102,2018.0
P_W2797371199,P_W2514713644,2018.0
P_W2797371199,P_W2527845440,2018.0
P_W2797371199,P_W2555428947,2018.0
P_W2797371199,P_W2625092622,2018.0
P_W2797371199,P_W2725082186,2018.0
P_W2797371199,P_W2726264694,2018.0
P_W2797371199,P_W2760051178,2018.0
P_W2797371199,P_W2771693927,2018.0
P_W2797371199,P_W2785047343,2018.0
P_W2797371199,P_W2795467683,2018.0
P_W2797371199,P_W2917324689,2018.0
P_W2797371199,P_W2917881729,2018.0
P_W2797371199,P_W2949888546,2018.0
P_W2797371199,P_W2950577311,2018.0
P_W2797371199,P_W2962784628,2018.0
P_W2797371199,P_W2962801832,2018.0
P_W2797371199,P_W2963109131,2018.0
P_W2797371199,P_W2963266340,2018.0
