epoch,loss
1,991.869
2,901.43665
3,791.0335
4,700.6692
5,642.6284
6,603.9606
7,576.9995
8,553.5674
9,535.3984
10,518.7916
11,504.5406
12,490.71863
13,480.308
14,467.65518
15,457.57617
16,448.53445
17,438.35056
18,429.67166
19,420.74777
20,413.29425
21,405.22748
22,398.29123
23,391.13828
24,383.94653
25,377.43417
26,371.39185
27,364.86993
28,359.2851
29,354.3468
30,348.85
31,343.3375
32,339.00366
33,333.05206
34,328.09265
35,323.2729
36,319.15912
37,315.01135
38,310.93228
39,306.0117
40,302.03772
41,298.07358
42,294.1178
43,290.55304
44,286.61276
45,283.421
46,279.48236
47,276.628
48,273.29462
49,269.8218
50,266.47318
51,263.3423
52,261.08453
53,257.66614
54,255.44087
55,252.03935
56,250.10928
57,246.58797
58,244.0952
59,242.11272
60,239.0318
61,237.3487
62,234.43645
63,230.98744
64,228.82732
65,227.94122
66,224.16556
67,223.2073
68,221.36607
69,219.13464
70,217.18811
71,214.6469
72,212.74257
73,210.92279
74,209.97374
75,208.19229
76,205.89514
77,204.82234
78,201.99852
79,200.89845
80,199.04335
81,197.44768
82,195.55714
83,193.63612
84,192.33513
85,190.69585
86,190.1864
87,188.07889
88,186.3641
89,184.99284
90,183.57097
91,182.29005
92,181.00247
93,179.80014
94,179.07582
95,176.57253
96,175.29045
97,173.9772
98,172.9675
99,171.43127
100,170.68088
101,168.56067
102,167.68977
103,166.57547
104,165.71979
105,164.49388
106,163.03082
107,162.67741
108,161.49608
109,159.6488
110,158.90044
111,158.242
112,156.76572
113,155.41801
114,154.57935
115,153.2344
116,152.69041
117,152.44998
118,150.85857
119,149.64914
120,148.97606
121,147.72034
122,147.18909
123,146.19554
124,144.66798
125,144.35716
126,143.64992
127,142.5076
128,141.4343
129,140.6953
130,140.44258
131,139.49152
132,138.46214
133,137.6568
134,137.07503
135,135.83482
136,135.51236
137,134.87149
138,133.42801
139,133.41953
140,132.21642
141,131.71024
142,131.20267
143,130.35518
144,129.40321
145,128.53471
146,128.1682
147,127.70642
148,126.78912
149,125.79201
150,125.91555
151,125.16181
152,124.44282
153,123.335144
154,123.3213
155,122.5386
156,121.99551
157,121.59261
158,121.23424
159,119.94382
160,120.18546
161,119.44554
162,119.00417
163,118.50924
164,117.60233
165,117.03919
166,117.327
167,116.19313
168,115.473366
169,115.828705
170,115.10447
171,114.736855
172,114.69573
173,113.32322
174,113.53164
175,112.676994
176,112.40105
177,112.145294
178,111.38433
179,110.70486
180,110.98313
181,110.45486
182,110.556854
183,109.33627
184,109.0502
185,108.48212
186,108.02343
187,106.89622
188,107.995544
189,107.060905
190,106.81831
191,106.75153
192,106.6664
193,105.41257
194,105.07036
195,104.86268
196,104.94187
197,104.73234
198,104.468475
199,104.04051
200,103.428085
