paper_ID,split,domain,title,openalex_id,publication_year,citation_count,referenced_works,title_matched,similarity_score
0,NOVEL,Dia2021,"Preview, Attend and Review Schema-Aware Curriculum Learning for Multi-Domain Dialogue State Tracking",https://openalex.org/W3173691672,2021.0,35.0,"['https://openalex.org/W1522301498', 'https://openalex.org/W1527783480', 'https://openalex.org/W2296073425', 'https://openalex.org/W2468710617', 'https://openalex.org/W2798367796', 'https://openalex.org/W2899628936', 'https://openalex.org/W2945475330', 'https://openalex.org/W2950695840', 'https://openalex.org/W2962721878', 'https://openalex.org/W2962739339', 'https://openalex.org/W2962831269', 'https://openalex.org/W2963096017', 'https://openalex.org/W2963341956', 'https://openalex.org/W2963797754', 'https://openalex.org/W2964121744', 'https://openalex.org/W2979400990', 'https://openalex.org/W2997657234', 'https://openalex.org/W2998228050', 'https://openalex.org/W2998572029', 'https://openalex.org/W3015974317', 'https://openalex.org/W3021096583', 'https://openalex.org/W3034201598', 'https://openalex.org/W3034284249', 'https://openalex.org/W3034573951', 'https://openalex.org/W3034623328', 'https://openalex.org/W3034938700', 'https://openalex.org/W3035470414', 'https://openalex.org/W3035633461', 'https://openalex.org/W3040352674', 'https://openalex.org/W3091355780', 'https://openalex.org/W3094024803', 'https://openalex.org/W3094479119', 'https://openalex.org/W3099231098', 'https://openalex.org/W3101131512', 'https://openalex.org/W3103753314', 'https://openalex.org/W3106495716', 'https://openalex.org/W3119649668', 'https://openalex.org/W3126918322', 'https://openalex.org/W3142849873', 'https://openalex.org/W3175095351', 'https://openalex.org/W3175678722', 'https://openalex.org/W4285719527', 'https://openalex.org/W4287659415', 'https://openalex.org/W4287749601', 'https://openalex.org/W4287795696', 'https://openalex.org/W4288094254', 'https://openalex.org/W4288288848']","Preview, Attend and Review: Schema-Aware Curriculum Learning for Multi-Domain Dialogue State Tracking",0.9950248756218906
1,NOVEL,Dia2021,Constructing Multi-Modal Dialogue Dataset by Replacing Text with Semantically Relevant Images,https://openalex.org/W3176450677,2021.0,11.0,"['https://openalex.org/W1861492603', 'https://openalex.org/W2185175083', 'https://openalex.org/W2549139847', 'https://openalex.org/W2583186419', 'https://openalex.org/W2761590056', 'https://openalex.org/W2768661419', 'https://openalex.org/W2896457183', 'https://openalex.org/W2951583236', 'https://openalex.org/W2963341956', 'https://openalex.org/W2963351776', 'https://openalex.org/W2963544536', 'https://openalex.org/W2963825865', 'https://openalex.org/W2966715458', 'https://openalex.org/W2968124245', 'https://openalex.org/W2969876226', 'https://openalex.org/W2970231061', 'https://openalex.org/W2970608575', 'https://openalex.org/W2975501350', 'https://openalex.org/W2988823324', 'https://openalex.org/W3035448310', 'https://openalex.org/W3090998540', 'https://openalex.org/W4205119860']",Constructing Multi-Modal Dialogue Dataset by Replacing Text with Semantically Relevant Images,1.0
2,NOVEL,Dia2021,Fine-grained Post-training for Improving Retrieval-based Dialogue Systems,https://openalex.org/W3171266972,2021.0,51.0,"['https://openalex.org/W1902237438', 'https://openalex.org/W2133564696', 'https://openalex.org/W2197546379', 'https://openalex.org/W2798456655', 'https://openalex.org/W2804547589', 'https://openalex.org/W2891416139', 'https://openalex.org/W2908602207', 'https://openalex.org/W2925618549', 'https://openalex.org/W2949446780', 'https://openalex.org/W2951807227', 'https://openalex.org/W2952813980', 'https://openalex.org/W2962854379', 'https://openalex.org/W2963341956', 'https://openalex.org/W2963403868', 'https://openalex.org/W2963715136', 'https://openalex.org/W2964303773', 'https://openalex.org/W2964308564', 'https://openalex.org/W2965373594', 'https://openalex.org/W2970648534', 'https://openalex.org/W2995289474', 'https://openalex.org/W2996428491', 'https://openalex.org/W3021016503', 'https://openalex.org/W3034533785', 'https://openalex.org/W3034975599', 'https://openalex.org/W3083814290', 'https://openalex.org/W3094612274', 'https://openalex.org/W3097517997', 'https://openalex.org/W3176002924', 'https://openalex.org/W3176506090', 'https://openalex.org/W4287795696', 'https://openalex.org/W4300687842', 'https://openalex.org/W4385245566']",Fine-grained Post-training for Improving Retrieval-based Dialogue Systems,1.0
3,NOVEL,Dia2021,Adding Chit-Chat to Enhance Task-Oriented Dialogues,https://openalex.org/W3166143260,2021.0,35.0,"['https://openalex.org/W1598178035', 'https://openalex.org/W1948566616', 'https://openalex.org/W1993567041', 'https://openalex.org/W2099813784', 'https://openalex.org/W2108806737', 'https://openalex.org/W2250456405', 'https://openalex.org/W2251058040', 'https://openalex.org/W2251235149', 'https://openalex.org/W2464790259', 'https://openalex.org/W2565274151', 'https://openalex.org/W2604698497', 'https://openalex.org/W2611138659', 'https://openalex.org/W2759621817', 'https://openalex.org/W2784070054', 'https://openalex.org/W2891732163', 'https://openalex.org/W2898875342', 'https://openalex.org/W2950457956', 'https://openalex.org/W2951583236', 'https://openalex.org/W2952607215', 'https://openalex.org/W2962974452', 'https://openalex.org/W2963134326', 'https://openalex.org/W2963201498', 'https://openalex.org/W2963475460', 'https://openalex.org/W2963825865', 'https://openalex.org/W2963969444', 'https://openalex.org/W2963974889', 'https://openalex.org/W2964006684', 'https://openalex.org/W2964101860', 'https://openalex.org/W2964210218', 'https://openalex.org/W2965373594', 'https://openalex.org/W2971883198', 'https://openalex.org/W2997771882', 'https://openalex.org/W2998228050', 'https://openalex.org/W2999134550', 'https://openalex.org/W3000779003', 'https://openalex.org/W3002330681', 'https://openalex.org/W3021016503', 'https://openalex.org/W3021096583', 'https://openalex.org/W3023786569', 'https://openalex.org/W3024509506', 'https://openalex.org/W3034337319', 'https://openalex.org/W3034600233', 'https://openalex.org/W3034908682', 'https://openalex.org/W3037528277', 'https://openalex.org/W3082549344', 'https://openalex.org/W3102854726', 'https://openalex.org/W3117238912', 'https://openalex.org/W3155584966', 'https://openalex.org/W4254836149', 'https://openalex.org/W4287795696', 'https://openalex.org/W4287900772', 'https://openalex.org/W4288113479', 'https://openalex.org/W4288288848', 'https://openalex.org/W4289147179', 'https://openalex.org/W4295249402']",Adding Chit-Chat to Enhance Task-Oriented Dialogues,1.0
4,NOVEL,Dia2021,Saying No is An Art Contextualized Fallback Responses for Unanswerable Dialogue Queries,https://openalex.org/W3108508534,2021.0,0.0,"['https://openalex.org/W2101105183', 'https://openalex.org/W2166348853', 'https://openalex.org/W2562215231', 'https://openalex.org/W2565288664', 'https://openalex.org/W2689113199', 'https://openalex.org/W2751124354', 'https://openalex.org/W2951583236', 'https://openalex.org/W3003611599', 'https://openalex.org/W3023786569', 'https://openalex.org/W3034630799', 'https://openalex.org/W3034860004', 'https://openalex.org/W3076515858', 'https://openalex.org/W3082274269', 'https://openalex.org/W3083822402', 'https://openalex.org/W3103753619', 'https://openalex.org/W3212997278']",Saying No is An Art: Contextualized Fallback Responses for Unanswerable Dialogue Queries,0.9942857142857143
5,NOVEL,Dia2021,DIALKI Knowledge Identification in Conversational Systems through Dialogue-Document Contextualization,https://openalex.org/W3199691415,2021.0,22.0,"['https://openalex.org/W2563734883', 'https://openalex.org/W2586847566', 'https://openalex.org/W2888302696', 'https://openalex.org/W2891103209', 'https://openalex.org/W2891304738', 'https://openalex.org/W2891826200', 'https://openalex.org/W2898875342', 'https://openalex.org/W2950902819', 'https://openalex.org/W2951508633', 'https://openalex.org/W2951976932', 'https://openalex.org/W2962985038', 'https://openalex.org/W2963341956', 'https://openalex.org/W2963403868', 'https://openalex.org/W2963475460', 'https://openalex.org/W2963532001', 'https://openalex.org/W2963825865', 'https://openalex.org/W2964223283', 'https://openalex.org/W2964458951', 'https://openalex.org/W2965373594', 'https://openalex.org/W2971008823', 'https://openalex.org/W2979478117', 'https://openalex.org/W2979826702', 'https://openalex.org/W2989312920', 'https://openalex.org/W2995183464', 'https://openalex.org/W3015468748', 'https://openalex.org/W3021582395', 'https://openalex.org/W3023790734', 'https://openalex.org/W3034758256', 'https://openalex.org/W3034951181', 'https://openalex.org/W3034999214', 'https://openalex.org/W3035187010', 'https://openalex.org/W3098824823', 'https://openalex.org/W3099590177', 'https://openalex.org/W3099700870', 'https://openalex.org/W3103691705', 'https://openalex.org/W3104777900', 'https://openalex.org/W3171847983', 'https://openalex.org/W4287824654', 'https://openalex.org/W4299567010', 'https://openalex.org/W4385245566']",DIALKI: Knowledge Identification in Conversational Systems through Dialogue-Document Contextualization,0.9950738916256158
6,NOVEL,Dia2021,Contextual Rephrase Detection for Reducing Friction in Dialogue Systems,https://openalex.org/W3201234832,2021.0,8.0,"['https://openalex.org/W2045865594', 'https://openalex.org/W2533180076', 'https://openalex.org/W2745673470', 'https://openalex.org/W2790235966', 'https://openalex.org/W2896457183', 'https://openalex.org/W2963341956', 'https://openalex.org/W2964015378', 'https://openalex.org/W2964082993', 'https://openalex.org/W2964165804', 'https://openalex.org/W3016107769', 'https://openalex.org/W3093793648', 'https://openalex.org/W3099700870', 'https://openalex.org/W3156636935', 'https://openalex.org/W3161825643', 'https://openalex.org/W4320803111']",Contextual Rephrase Detection for Reducing Friction in Dialogue Systems,1.0
7,NOVEL,Dia2021,Reference-Centric Models for Grounded Collaborative Dialogue,https://openalex.org/W3201144093,2021.0,12.0,"['https://openalex.org/W185375561', 'https://openalex.org/W1522301498', 'https://openalex.org/W1552206080', 'https://openalex.org/W1576632330', 'https://openalex.org/W1940872118', 'https://openalex.org/W1974105891', 'https://openalex.org/W1975244201', 'https://openalex.org/W1983707534', 'https://openalex.org/W1993979041', 'https://openalex.org/W2064675550', 'https://openalex.org/W2097204000', 'https://openalex.org/W2097219834', 'https://openalex.org/W2109878893', 'https://openalex.org/W2110930288', 'https://openalex.org/W2116245940', 'https://openalex.org/W2125447031', 'https://openalex.org/W2132271306', 'https://openalex.org/W2133298256', 'https://openalex.org/W2147880316', 'https://openalex.org/W2157331557', 'https://openalex.org/W2166490941', 'https://openalex.org/W2166700048', 'https://openalex.org/W2252033417', 'https://openalex.org/W2264742718', 'https://openalex.org/W2525032226', 'https://openalex.org/W2571175805', 'https://openalex.org/W2574790321', 'https://openalex.org/W2594726847', 'https://openalex.org/W2595784962', 'https://openalex.org/W2604397416', 'https://openalex.org/W2768661419', 'https://openalex.org/W2769917417', 'https://openalex.org/W2774005037', 'https://openalex.org/W2806117557', 'https://openalex.org/W2835434549', 'https://openalex.org/W2950697717', 'https://openalex.org/W2950801649', 'https://openalex.org/W2951281980', 'https://openalex.org/W2952316487', 'https://openalex.org/W2952589943', 'https://openalex.org/W2953064936', 'https://openalex.org/W2959918500', 'https://openalex.org/W2960994197', 'https://openalex.org/W2962727507', 'https://openalex.org/W2963109634', 'https://openalex.org/W2963170138', 'https://openalex.org/W2963217826', 'https://openalex.org/W2963318456', 'https://openalex.org/W2963907629', 'https://openalex.org/W2964121744', 'https://openalex.org/W2964183327', 'https://openalex.org/W2964210218', 'https://openalex.org/W2964260310', 'https://openalex.org/W2970340522', 'https://openalex.org/W2971077754', 'https://openalex.org/W2998108220', 'https://openalex.org/W3029418112', 'https://openalex.org/W3098158595', 'https://openalex.org/W3104952102', 'https://openalex.org/W3106007100', 'https://openalex.org/W3135812974', 'https://openalex.org/W4249013746', 'https://openalex.org/W4295249402', 'https://openalex.org/W4297795721']",Reference-Centric Models for Grounded Collaborative Dialogue,1.0
8,NOVEL,Dia2021,Neural Path Hunter Reducing Hallucination in Dialogue Systems via Path Grounding,https://openalex.org/W3153046263,2021.0,71.0,"['https://openalex.org/W145832685', 'https://openalex.org/W182831726', 'https://openalex.org/W1518951372', 'https://openalex.org/W1522301498', 'https://openalex.org/W1591706642', 'https://openalex.org/W1984205520', 'https://openalex.org/W2094728533', 'https://openalex.org/W2095705004', 'https://openalex.org/W2101105183', 'https://openalex.org/W2132453167', 'https://openalex.org/W2148721079', 'https://openalex.org/W2152790380', 'https://openalex.org/W2250930514', 'https://openalex.org/W2252136820', 'https://openalex.org/W2270070752', 'https://openalex.org/W2283196293', 'https://openalex.org/W2295754318', 'https://openalex.org/W2519887557', 'https://openalex.org/W2739046565', 'https://openalex.org/W2739716023', 'https://openalex.org/W2754194354', 'https://openalex.org/W2807873315', 'https://openalex.org/W2909737760', 'https://openalex.org/W2914397182', 'https://openalex.org/W2938704169', 'https://openalex.org/W2949413855', 'https://openalex.org/W2950457956', 'https://openalex.org/W2952523122', 'https://openalex.org/W2962729880', 'https://openalex.org/W2962735233', 'https://openalex.org/W2962816513', 'https://openalex.org/W2962883855', 'https://openalex.org/W2963341956', 'https://openalex.org/W2963506925', 'https://openalex.org/W2963520511', 'https://openalex.org/W2964015378', 'https://openalex.org/W2964121744', 'https://openalex.org/W2964303773', 'https://openalex.org/W2965373594', 'https://openalex.org/W2970476646', 'https://openalex.org/W2970988759', 'https://openalex.org/W2971236040', 'https://openalex.org/W2972916088', 'https://openalex.org/W2973049837', 'https://openalex.org/W2975059944', 'https://openalex.org/W2979826702', 'https://openalex.org/W2981259322', 'https://openalex.org/W2988937804', 'https://openalex.org/W2995448904', 'https://openalex.org/W2996287690', 'https://openalex.org/W3011411500', 'https://openalex.org/W3015322406', 'https://openalex.org/W3022463379', 'https://openalex.org/W3022814719', 'https://openalex.org/W3034188538', 'https://openalex.org/W3034383590', 'https://openalex.org/W3082549344', 'https://openalex.org/W3098196327', 'https://openalex.org/W3098495697', 'https://openalex.org/W3098824823', 'https://openalex.org/W3099453223', 'https://openalex.org/W3099766584', 'https://openalex.org/W3102659883', 'https://openalex.org/W3106234277', 'https://openalex.org/W3115944734', 'https://openalex.org/W3158244987', 'https://openalex.org/W3176098057', 'https://openalex.org/W4287684041', 'https://openalex.org/W4288091035']",Neural Path Hunter: Reducing Hallucination in Dialogue Systems via Path Grounding,0.9937888198757764
9,NOVEL,Dia2021,"Thinking Clearly, Talking Fast Concept-Guided Non-Autoregressive Generation for Open-Domain Dialogue Systems",https://openalex.org/W3197754599,2021.0,27.0,"['https://openalex.org/W1522301498', 'https://openalex.org/W1591706642', 'https://openalex.org/W2101105183', 'https://openalex.org/W2130942839', 'https://openalex.org/W2153579005', 'https://openalex.org/W2154652894', 'https://openalex.org/W2157331557', 'https://openalex.org/W2159637323', 'https://openalex.org/W2507756961', 'https://openalex.org/W2521114121', 'https://openalex.org/W2554952599', 'https://openalex.org/W2767206889', 'https://openalex.org/W2807873315', 'https://openalex.org/W2890560993', 'https://openalex.org/W2891826200', 'https://openalex.org/W2898875342', 'https://openalex.org/W2900629321', 'https://openalex.org/W2920538220', 'https://openalex.org/W2925513271', 'https://openalex.org/W2949644922', 'https://openalex.org/W2949769095', 'https://openalex.org/W2950299257', 'https://openalex.org/W2950457956', 'https://openalex.org/W2962883855', 'https://openalex.org/W2962896208', 'https://openalex.org/W2963035145', 'https://openalex.org/W2963206148', 'https://openalex.org/W2963341956', 'https://openalex.org/W2963403868', 'https://openalex.org/W2963434219', 'https://openalex.org/W2963475460', 'https://openalex.org/W2963825865', 'https://openalex.org/W2963963856', 'https://openalex.org/W2963986868', 'https://openalex.org/W2964121744', 'https://openalex.org/W2964587107', 'https://openalex.org/W2968297680', 'https://openalex.org/W2970832665', 'https://openalex.org/W2985694911', 'https://openalex.org/W2995404354', 'https://openalex.org/W2997219446', 'https://openalex.org/W2997260297', 'https://openalex.org/W2997300509', 'https://openalex.org/W3005768470', 'https://openalex.org/W3034548376', 'https://openalex.org/W3034569646', 'https://openalex.org/W3034696087', 'https://openalex.org/W3034720580', 'https://openalex.org/W3039805635', 'https://openalex.org/W3098295156', 'https://openalex.org/W3114869109', 'https://openalex.org/W3167303745', 'https://openalex.org/W4294170691', 'https://openalex.org/W4322614756', 'https://openalex.org/W4385245566']","Thinking Clearly, Talking Fast: Concept-Guided Non-Autoregressive Generation for Open-Domain Dialogue Systems",0.9953917050691244
