source,target,year
NOVEL_DIA_1,SKG_MT_280,2021
NOVEL_DIA_1,SKG_MT_281,2021
NOVEL_DIA_1,SKG_MT_709,2021
NOVEL_DIA_1,SKG_MT_952,2021
NOVEL_DIA_1,SKG_MT_1043,2021
NOVEL_DIA_1,SKG_QA_231,2021
NOVEL_DIA_1,SKG_MT_444,2021
NOVEL_DIA_1,SKG_MT_172,2021
NOVEL_DIA_1,SKG_MT_112,2021
NOVEL_DIA_1,SKG_MT_81,2021
NOVEL_DIA_1,SKG_MT_1051,2021
NOVEL_DIA_1,SKG_MT_383,2021
NOVEL_DIA_1,SKG_DIA_72,2021
NOVEL_DIA_1,SKG_MT_407,2021
NOVEL_DIA_1,NOVEL_MT_37,2021
NOVEL_DIA_1,NOVEL_MT_243,2021
NOVEL_DIA_2,SKG_DIA_97,2021
NOVEL_DIA_3,SKG_DIA_216,2021
NOVEL_DIA_3,SKG_MT_1020,2021
NOVEL_DIA_3,SKG_MT_1219,2021
NOVEL_DIA_3,SKG_MT_1043,2021
NOVEL_DIA_4,SKG_DIA_150,2021
NOVEL_DIA_4,SKG_DIA_49,2021
NOVEL_DIA_4,SKG_DIA_309,2021
NOVEL_DIA_4,SKG_MT_1289,2021
NOVEL_DIA_5,SKG_SA_597,2021
NOVEL_DIA_5,SKG_DIA_27,2021
NOVEL_DIA_5,SKG_DIA_128,2021
NOVEL_DIA_6,SKG_DIA_88,2021
NOVEL_DIA_8,SKG_DIA_153,2021
NOVEL_DIA_8,SKG_DIA_187,2021
NOVEL_DIA_10,SKG_MT_818,2021
NOVEL_DIA_10,SKG_DIA_139,2021
NOVEL_DIA_10,SKG_DIA_27,2021
NOVEL_DIA_10,SKG_DIA_128,2021
NOVEL_DIA_10,SKG_DIA_226,2021
NOVEL_DIA_10,SKG_DIA_29,2021
NOVEL_DIA_12,SKG_DIA_102,2021
NOVEL_DIA_13,SKG_DIA_137,2021
NOVEL_DIA_13,SKG_DIA_29,2021
NOVEL_DIA_14,SKG_DIA_128,2021
NOVEL_DIA_14,SKG_DIA_76,2021
NOVEL_DIA_14,SKG_DIA_126,2021
NOVEL_DIA_14,SKG_DIA_97,2021
NOVEL_DIA_16,SKG_DIA_90,2021
NOVEL_DIA_16,SKG_MT_1409,2021
NOVEL_DIA_17,SKG_DIA_36,2021
NOVEL_DIA_17,SKG_MT_173,2021
NOVEL_DIA_17,SKG_DIA_317,2021
NOVEL_DIA_17,SKG_DIA_145,2021
