source,target,year
NOVEL_DIA_1,SKG_DIA_72,2021.0
NOVEL_DIA_2,SKG_DIA_97,2021.0
NOVEL_DIA_3,SKG_DIA_216,2021.0
NOVEL_DIA_4,SKG_DIA_150,2021.0
NOVEL_DIA_4,SKG_DIA_49,2021.0
NOVEL_DIA_4,SKG_DIA_309,2021.0
NOVEL_DIA_5,SKG_DIA_27,2021.0
NOVEL_DIA_5,SKG_DIA_128,2021.0
NOVEL_DIA_6,SKG_DIA_88,2021.0
NOVEL_DIA_8,SKG_DIA_153,2021.0
NOVEL_DIA_8,SKG_DIA_187,2021.0
NOVEL_DIA_10,SKG_DIA_139,2021.0
NOVEL_DIA_10,SKG_DIA_27,2021.0
NOVEL_DIA_10,SKG_DIA_128,2021.0
NOVEL_DIA_10,SKG_DIA_226,2021.0
NOVEL_DIA_10,SKG_DIA_29,2021.0
NOVEL_DIA_12,SKG_DIA_102,2021.0
NOVEL_DIA_13,SKG_DIA_137,2021.0
NOVEL_DIA_13,SKG_DIA_29,2021.0
NOVEL_DIA_14,SKG_DIA_128,2021.0
NOVEL_DIA_14,SKG_DIA_76,2021.0
NOVEL_DIA_14,SKG_DIA_126,2021.0
NOVEL_DIA_14,SKG_DIA_97,2021.0
NOVEL_DIA_16,SKG_DIA_90,2021.0
NOVEL_DIA_17,SKG_DIA_36,2021.0
NOVEL_DIA_17,SKG_DIA_317,2021.0
NOVEL_DIA_17,SKG_DIA_145,2021.0
NOVEL_DIA_18,SKG_DIA_120,2021.0
NOVEL_DIA_18,SKG_DIA_0,2021.0
NOVEL_DIA_18,SKG_DIA_126,2021.0
NOVEL_DIA_18,SKG_DIA_317,2021.0
NOVEL_DIA_20,SKG_DIA_266,2021.0
NOVEL_DIA_20,SKG_DIA_186,2021.0
NOVEL_DIA_21,SKG_DIA_280,2021.0
NOVEL_DIA_21,SKG_DIA_78,2021.0
NOVEL_DIA_21,SKG_DIA_188,2021.0
NOVEL_DIA_21,SKG_DIA_10,2021.0
NOVEL_DIA_22,SKG_DIA_66,2021.0
NOVEL_DIA_22,SKG_DIA_128,2021.0
NOVEL_DIA_22,SKG_DIA_226,2021.0
NOVEL_DIA_23,SKG_DIA_166,2021.0
NOVEL_DIA_23,SKG_DIA_266,2021.0
NOVEL_DIA_23,SKG_DIA_186,2021.0
NOVEL_DIA_23,SKG_DIA_185,2021.0
NOVEL_DIA_24,SKG_DIA_109,2021.0
NOVEL_DIA_25,SKG_DIA_300,2021.0
NOVEL_DIA_25,SKG_DIA_24,2021.0
NOVEL_DIA_25,SKG_DIA_77,2021.0
NOVEL_DIA_25,SKG_DIA_234,2021.0
NOVEL_DIA_25,SKG_DIA_15,2021.0
NOVEL_DIA_25,SKG_DIA_58,2021.0
NOVEL_DIA_25,SKG_DIA_119,2021.0
NOVEL_DIA_28,SKG_DIA_166,2021.0
NOVEL_DIA_28,SKG_DIA_266,2021.0
NOVEL_DIA_28,SKG_DIA_102,2021.0
NOVEL_DIA_28,SKG_DIA_283,2021.0
NOVEL_DIA_28,NOVEL_DIA_59,2021.0
NOVEL_DIA_29,SKG_DIA_128,2021.0
NOVEL_DIA_29,SKG_DIA_165,2021.0
NOVEL_DIA_30,NOVEL_DIA_56,2021.0
NOVEL_DIA_31,SKG_DIA_128,2021.0
NOVEL_DIA_31,SKG_DIA_2,2021.0
NOVEL_DIA_31,SKG_DIA_145,2021.0
NOVEL_DIA_33,SKG_DIA_191,2021.0
NOVEL_DIA_33,SKG_DIA_88,2021.0
NOVEL_DIA_33,SKG_DIA_60,2021.0
NOVEL_DIA_34,SKG_DIA_166,2021.0
NOVEL_DIA_34,SKG_DIA_128,2021.0
NOVEL_DIA_34,SKG_DIA_268,2021.0
NOVEL_DIA_35,SKG_DIA_284,2021.0
NOVEL_DIA_41,SKG_DIA_34,2021.0
NOVEL_DIA_41,SKG_DIA_266,2021.0
NOVEL_DIA_41,SKG_DIA_186,2021.0
NOVEL_DIA_41,SKG_DIA_191,2021.0
NOVEL_DIA_41,SKG_DIA_45,2021.0
NOVEL_DIA_41,SKG_DIA_105,2021.0
NOVEL_DIA_41,SKG_DIA_311,2021.0
NOVEL_DIA_42,SKG_DIA_128,2021.0
NOVEL_DIA_42,SKG_DIA_73,2021.0
NOVEL_DIA_43,NOVEL_DIA_4,2021.0
NOVEL_DIA_43,SKG_DIA_10,2021.0
NOVEL_DIA_44,SKG_DIA_266,2021.0
NOVEL_DIA_44,SKG_DIA_186,2021.0
NOVEL_DIA_44,SKG_DIA_102,2021.0
NOVEL_DIA_44,SKG_DIA_283,2021.0
NOVEL_DIA_45,SKG_DIA_90,2021.0
NOVEL_DIA_45,SKG_DIA_36,2021.0
NOVEL_DIA_49,SKG_DIA_24,2021.0
NOVEL_DIA_49,SKG_DIA_57,2021.0
NOVEL_DIA_49,SKG_DIA_303,2021.0
NOVEL_DIA_49,SKG_DIA_259,2021.0
NOVEL_DIA_49,SKG_DIA_77,2021.0
NOVEL_DIA_49,SKG_DIA_234,2021.0
NOVEL_DIA_49,SKG_DIA_306,2021.0
NOVEL_DIA_49,SKG_DIA_58,2021.0
NOVEL_DIA_49,SKG_DIA_16,2021.0
NOVEL_DIA_49,SKG_DIA_108,2021.0
NOVEL_DIA_50,SKG_DIA_166,2021.0
NOVEL_DIA_50,SKG_DIA_30,2021.0
NOVEL_DIA_50,SKG_DIA_98,2021.0
NOVEL_DIA_51,SKG_DIA_300,2021.0
NOVEL_DIA_51,SKG_DIA_128,2021.0
NOVEL_DIA_52,SKG_DIA_128,2021.0
NOVEL_DIA_52,SKG_DIA_188,2021.0
NOVEL_DIA_53,SKG_DIA_30,2021.0
NOVEL_DIA_53,SKG_DIA_164,2021.0
NOVEL_DIA_53,SKG_DIA_103,2021.0
NOVEL_DIA_53,SKG_DIA_232,2021.0
NOVEL_DIA_54,SKG_DIA_266,2021.0
NOVEL_DIA_54,SKG_DIA_186,2021.0
NOVEL_DIA_54,SKG_DIA_61,2021.0
NOVEL_DIA_54,SKG_DIA_191,2021.0
NOVEL_DIA_54,SKG_DIA_218,2021.0
NOVEL_DIA_54,SKG_DIA_45,2021.0
NOVEL_DIA_54,SKG_DIA_105,2021.0
NOVEL_DIA_56,SKG_DIA_10,2021.0
NOVEL_DIA_59,SKG_DIA_266,2021.0
NOVEL_DIA_59,SKG_DIA_186,2021.0
NOVEL_DIA_59,SKG_DIA_102,2021.0
NOVEL_DIA_59,SKG_DIA_283,2021.0
NOVEL_DIA_63,SKG_DIA_128,2021.0
NOVEL_DIA_63,SKG_DIA_317,2021.0
NOVEL_DIA_63,SKG_DIA_145,2021.0
NOVEL_DIA_65,SKG_DIA_34,2021.0
NOVEL_DIA_65,SKG_DIA_166,2021.0
NOVEL_DIA_65,SKG_DIA_266,2021.0
NOVEL_DIA_65,SKG_DIA_285,2021.0
NOVEL_DIA_65,SKG_DIA_276,2021.0
NOVEL_DIA_65,SKG_DIA_186,2021.0
NOVEL_DIA_65,SKG_DIA_191,2021.0
NOVEL_DIA_65,SKG_DIA_218,2021.0
NOVEL_DIA_65,SKG_DIA_45,2021.0
NOVEL_DIA_66,SKG_DIA_227,2021.0
NOVEL_DIA_67,SKG_DIA_1,2021.0
NOVEL_DIA_67,SKG_DIA_128,2021.0
NOVEL_DIA_69,SKG_DIA_166,2021.0
NOVEL_DIA_69,SKG_DIA_266,2021.0
NOVEL_DIA_69,SKG_DIA_285,2021.0
NOVEL_DIA_69,SKG_DIA_186,2021.0
NOVEL_DIA_71,SKG_DIA_227,2021.0
NOVEL_DIA_71,SKG_DIA_30,2021.0
NOVEL_DIA_71,SKG_DIA_75,2021.0
SKG_DIA_0,SKG_DIA_256,2019.0
SKG_DIA_0,SKG_DIA_128,2019.0
SKG_DIA_2,SKG_DIA_235,2020.0
SKG_DIA_3,SKG_DIA_280,2020.0
SKG_DIA_3,SKG_DIA_139,2020.0
SKG_DIA_3,SKG_DIA_128,2020.0
SKG_DIA_7,SKG_DIA_166,2020.0
SKG_DIA_7,SKG_DIA_306,2020.0
SKG_DIA_8,SKG_DIA_300,2019.0
SKG_DIA_8,SKG_DIA_231,2019.0
SKG_DIA_10,SKG_DIA_282,2020.0
SKG_DIA_11,SKG_DIA_216,2020.0
SKG_DIA_11,SKG_DIA_66,2020.0
