global_paper_id,local_paper_id,title,domain,split,score,method
NOVEL_DIA_0,0,MRF-Chat Improving Dialogue with Markov Random Fields,DIA,NOVEL,0.606480832676249,tfidf
NOVEL_DIA_1,1,Towards Making the Most of Dialogue Characteristics for Neural Chat Translation,DIA,NOVEL,0.6639801791784395,tfidf
NOVEL_DIA_2,2,Domain-Adaptive Pretraining Methods for Dialogue Understanding,DIA,NOVEL,0.6681123619566519,tfidf
NOVEL_DIA_3,3,Adaptive Bridge between Training and Inference for Dialogue Generation,DIA,NOVEL,0.6368466081691573,tfidf
NOVEL_DIA_4,4,Controlling Dialogue Generation with Semantic Exemplars,DIA,NOVEL,0.8115831881603016,tfidf
NOVEL_DIA_5,5,Proxy Indicators for the Quality of Open-domain Dialogues,DIA,NOVEL,0.5603845142486377,tfidf
NOVEL_DIA_6,6,Cross-lingual Intermediate Fine-tuning improves Dialogue State Tracking,DIA,NOVEL,0.8291579516515237,tfidf
NOVEL_DIA_8,8,"Continual Learning for Task-oriented Dialogue System with Iterative Network Pruning, Expanding and Masking",DIA,NOVEL,0.7839010465535245,tfidf
NOVEL_DIA_10,10,Transferable Persona-Grounded Dialogues via Grounded Minimal Edits,DIA,NOVEL,0.7908246636111232,tfidf
NOVEL_DIA_11,11,Bot-Adversarial Dialogue for Safe Conversational Agents,DIA,NOVEL,0.5015595558777376,tfidf
NOVEL_DIA_12,12,Different Strokes for Different Folks Investigating Appropriate Further Pre-training Approaches for Diverse Dialogue Tasks,DIA,NOVEL,0.7350550200422108,tfidf
NOVEL_DIA_13,13,Reference-Centric Models for Grounded Collaborative Dialogue,DIA,NOVEL,0.6711792945861816,semantic
NOVEL_DIA_14,14,RAST Domain-Robust Dialogue Rewriting as Sequence Tagging,DIA,NOVEL,0.5172872147568967,tfidf
NOVEL_DIA_16,16,"“Nice Try, Kiddo” Investigating Ad Hominems in Dialogue Responses",DIA,NOVEL,0.7675490876362483,tfidf
NOVEL_DIA_17,17,A Three-Stage Learning Framework for Low-Resource Knowledge-Grounded Dialogue Generation,DIA,NOVEL,0.6794986963787517,tfidf
NOVEL_DIA_18,18,CoLV A Collaborative Latent Variable Model for Knowledge-Grounded Dialogue Generation,DIA,NOVEL,0.7533160827837886,tfidf
NOVEL_DIA_20,20,A Comparative Study on Schema-Guided Dialogue State Tracking,DIA,NOVEL,0.5027598969208114,tfidf
NOVEL_DIA_21,21,Simple Conversational Data Augmentation for Semi-supervised Abstractive Dialogue Summarization,DIA,NOVEL,0.7717041080341753,tfidf
NOVEL_DIA_22,22,"Thinking Clearly, Talking Fast Concept-Guided Non-Autoregressive Generation for Open-Domain Dialogue Systems",DIA,NOVEL,0.7438638572946213,tfidf
NOVEL_DIA_23,23,Effective Sequence-to-Sequence Dialogue State Tracking,DIA,NOVEL,0.5646980876878005,tfidf
NOVEL_DIA_24,24,Looking for Confirmations An Effective and Human-Like Visual Dialogue Strategy,DIA,NOVEL,0.6032394175454586,tfidf
NOVEL_DIA_25,25,Clipping Loops for Sample-Efficient Dialogue Policy Optimisation,DIA,NOVEL,0.7546664423467782,tfidf
NOVEL_DIA_26,26,Low-Resource Dialogue Summarization with Domain-Agnostic Multi-Source Pretraining,DIA,NOVEL,0.5976260710801453,tfidf
NOVEL_DIA_28,28,Zero-Shot Dialogue State Tracking via Cross-Task Transfer,DIA,NOVEL,0.7532915118880041,tfidf
NOVEL_DIA_29,29,Just Say No Analyzing the Stance of Neural Dialogue Generation in Offensive Contexts,DIA,NOVEL,0.5766658980932035,tfidf
NOVEL_DIA_30,30,CSDS A Fine-Grained Chinese Dataset for Customer Service Dialogue Summarization,DIA,NOVEL,0.5096469572068544,tfidf
NOVEL_DIA_31,31,DIALKI Knowledge Identification in Conversational Systems through Dialogue-Document Contextualization,DIA,NOVEL,0.6657202521929985,tfidf
NOVEL_DIA_33,33,Uncertainty Measures in Neural Belief Tracking and the Effects on Dialogue Policy Performance,DIA,NOVEL,0.7390749574177914,tfidf
NOVEL_DIA_34,34,Learning Neural Templates for Recommender Dialogue System,DIA,NOVEL,0.7292700588122651,tfidf
NOVEL_DIA_35,35,Fine-grained Post-training for Improving Retrieval-based Dialogue Systems,DIA,NOVEL,0.5249311388235227,tfidf
NOVEL_DIA_37,37,Graph Based Network with Contextualized Representations of Turns in Dialogue,DIA,NOVEL,0.6966240614933653,tfidf
NOVEL_DIA_39,39,Exophoric Pronoun Resolution in Dialogues with Topic Regularization,DIA,NOVEL,0.5453355562060702,tfidf
NOVEL_DIA_40,40,Zero-Shot Dialogue Disentanglement by Self-Supervised Entangled Response Selection,DIA,NOVEL,0.5081009762547373,tfidf
NOVEL_DIA_41,41,"Preview, Attend and Review Schema-Aware Curriculum Learning for Multi-Domain Dialogue State Tracking",DIA,NOVEL,0.7471756373461683,tfidf
NOVEL_DIA_42,42,A Simple and Efficient Multi-Task Learning Approach for Conditioned Dialogue Generation,DIA,NOVEL,0.7229376414624745,tfidf
NOVEL_DIA_43,43,Controllable Neural Dialogue Summarization with Personal Named Entity Planning,DIA,NOVEL,0.5242259397495842,tfidf
NOVEL_DIA_44,44,Dialogue State Tracking with a Language Model using Schema-Driven Prompting,DIA,NOVEL,0.6008366088235726,tfidf
NOVEL_DIA_45,45,Neural Path Hunter Reducing Hallucination in Dialogue Systems via Path Grounding,DIA,NOVEL,0.5714537772013106,tfidf
NOVEL_DIA_47,47,Spoken Language Understanding for Task-oriented Dialogue Systems with Augmented Memory Networks,DIA,NOVEL,0.8629515669928276,tfidf
NOVEL_DIA_49,49,Efficient Dialogue Complementary Policy Learning via Deep Q-network Policy and Episodic Memory Policy,DIA,NOVEL,0.6649695040860768,tfidf
NOVEL_DIA_50,50,Contextualize Knowledge Bases with Transformer for End-to-end Task-Oriented Dialogue Systems,DIA,NOVEL,0.7869567609760105,tfidf
NOVEL_DIA_51,51,Adding Chit-Chat to Enhance Task-Oriented Dialogues,DIA,NOVEL,0.7435051180811271,tfidf
NOVEL_DIA_52,52,GOLD Improving Out-of-Scope Detection in Dialogues using Data Augmentation,DIA,NOVEL,0.5394910494769813,tfidf
NOVEL_DIA_53,53,More is Better Enhancing Open-Domain Dialogue Generation via Multi-Source Heterogeneous Knowledge,DIA,NOVEL,0.6641831011941388,tfidf
NOVEL_DIA_54,54,Knowledge-Aware Graph-Enhanced GPT-2 for Dialogue State Tracking,DIA,NOVEL,0.698535305258517,tfidf
NOVEL_DIA_55,55,Contextual Rephrase Detection for Reducing Friction in Dialogue Systems,DIA,NOVEL,0.6002169766556684,tfidf
NOVEL_DIA_56,56,MediaSum A Large-scale Media Interview Dataset for Dialogue Summarization,DIA,NOVEL,0.6433006263164684,tfidf
NOVEL_DIA_59,59,Leveraging Slot Descriptions for Zero-Shot Cross-Domain Dialogue StateTracking,DIA,NOVEL,0.832491056060026,tfidf
NOVEL_DIA_63,63,Knowledge Enhanced Fine-Tuning for Better Handling Unseen Entities in Dialogue Generation,DIA,NOVEL,0.7019180499800725,tfidf
NOVEL_DIA_65,65,Domain-Lifelong Learning for Dialogue State Tracking via Knowledge Preservation Networks,DIA,NOVEL,0.6350709649828274,tfidf
NOVEL_DIA_66,66,CREAD Combined Resolution of Ellipses and Anaphora in Dialogues,DIA,NOVEL,0.6861409980387149,tfidf
NOVEL_DIA_67,67,Multi-Modal Open-Domain Dialogue,DIA,NOVEL,0.6664591837604111,tfidf
NOVEL_DIA_68,68,DialogueCSE Dialogue-based Contrastive Learning of Sentence Embeddings,DIA,NOVEL,0.5615759378330573,tfidf
NOVEL_DIA_69,69,Generation and Extraction Combined Dialogue State Tracking with Hierarchical Ontology Integration,DIA,NOVEL,0.6059812919965587,tfidf
NOVEL_DIA_70,70,NDH-Full Learning and Evaluating Navigational Agents on Full-Length Dialogue,DIA,NOVEL,0.7056834445714144,tfidf
NOVEL_DIA_71,71,Intention Reasoning Network for Multi-Domain End-to-end Task-Oriented Dialogue,DIA,NOVEL,0.5874544081994618,tfidf
SKG_DIA_0,0,Are Training Samples Correlated Learning to Generate Dialogue Responses with Multiple References,DIA,SKG,0.6909517409405874,tfidf
SKG_DIA_2,2,doc2dial A Goal-Oriented Document-Grounded Dialogue Dataset,DIA,SKG,0.7339877486228943,semantic
SKG_DIA_3,3,Learning to Customize Model Structures for Few-shot Dialogue Generation Tasks,DIA,SKG,0.7089278433948566,tfidf
SKG_DIA_4,4,Memory Consolidation for Contextual Spoken Language Understanding with Dialogue Logistic Inference,DIA,SKG,0.7959597253442249,tfidf
SKG_DIA_6,6,Toward Dialogue Modeling A Semantic Annotation Scheme for Questions and Answers,DIA,SKG,0.7097178101539612,semantic
SKG_DIA_7,7,AirConcierge Generating Task-Oriented Dialogue via Efficient Large-Scale Knowledge Retrieval,DIA,SKG,0.6267829903317325,tfidf
SKG_DIA_8,8,Training Neural Response Selection for Task-Oriented Dialogue Systems,DIA,SKG,0.7101397947594541,tfidf
SKG_DIA_9,9,Auto-Dialabel Labeling Dialogue Data with Unsupervised Learning,DIA,SKG,0.6749764803410553,tfidf
