concept,year,n_papers,neighbourhood_size,total_co_occurrences
lstm,2010,1,24,46
lstm,2015,1,3,5
lstm,2016,5,71,173
lstm,2017,14,131,297
lstm,2018,24,233,673
lstm,2019,17,160,475
lstm,2020,18,205,558
lstm,2021,7,74,147
lstm,2023,1,43,79
word embeddings,2014,2,36,76
word embeddings,2015,14,106,223
word embeddings,2016,22,179,546
word embeddings,2017,28,207,566
word embeddings,2018,52,363,1350
word embeddings,2019,47,363,1304
word embeddings,2020,32,298,874
word embeddings,2021,9,88,212
word embeddings,2022,1,47,75
attention mechanism,2016,7,91,204
attention mechanism,2017,13,122,321
attention mechanism,2018,22,174,502
attention mechanism,2019,21,235,645
attention mechanism,2020,21,197,552
attention mechanism,2021,9,106,231
attention mechanism,2022,1,10,20
transformer,2018,6,79,178
transformer,2019,28,227,648
transformer,2020,41,294,1089
transformer,2021,30,224,614
transformer,2022,7,114,232
transformer,2023,7,123,624
bert,2014,1,32,66
bert,2018,1,41,87
bert,2019,32,217,628
bert,2020,53,324,1156
bert,2021,47,290,1099
bert,2022,2,88,156
