entity_id,name,domain,first_year,origin_domain,origin_year
E_01e549803b,longer sentences,MT,2011.0,MT,2011.0
E_01e549803b,longer sentences,SA,2013.0,MT,2011.0
E_01e549803b,longer sentences,QA,2019.0,MT,2011.0
E_020b6b5971,maximum sequence length,MT,2017.0,MT,2017.0
E_020b6b5971,maximum sequence length,DIA,2020.0,MT,2017.0
E_020b6b5971,maximum sequence length,QA,2020.0,MT,2017.0
E_020b6b5971,maximum sequence length,SA,2020.0,MT,2017.0
E_027b320e84,parallel corpus,MT,2010.0,MT,2010.0
E_027b320e84,parallel corpus,SA,2012.0,MT,2010.0
E_027b320e84,parallel corpus,QA,2016.0,MT,2010.0
E_02b6a39b16,overcoming,MT,2022.0,SA,2022.0
E_02b6a39b16,overcoming,QA,2022.0,SA,2022.0
E_02b6a39b16,overcoming,SA,2022.0,SA,2022.0
E_02b6a39b16,overcoming,SUM,2022.0,SA,2022.0
E_02bd92faa3,author,QA,2018.0,QA,2018.0
E_02bd92faa3,author,DIA,2022.0,QA,2018.0
E_02bd92faa3,author,MT,2022.0,QA,2018.0
E_02bd92faa3,author,SA,2022.0,QA,2018.0
E_02bd92faa3,author,SUM,2022.0,QA,2018.0
E_033555b716,hotpotqa,QA,2018.0,QA,2018.0
E_033555b716,hotpotqa,SA,2021.0,QA,2018.0
E_033555b716,hotpotqa,DIA,2023.0,QA,2018.0
E_033555b716,hotpotqa,MT,2023.0,QA,2018.0
E_0351f635d5,translation model,MT,2010.0,MT,2010.0
E_0351f635d5,translation model,SUM,2020.0,MT,2010.0
E_03c88dfb2e,full model,MT,2011.0,MT,2011.0
E_03c88dfb2e,full model,SUM,2015.0,MT,2011.0
E_03c88dfb2e,full model,QA,2016.0,MT,2011.0
E_03c88dfb2e,full model,SA,2019.0,MT,2011.0
E_03c88dfb2e,full model,DIA,2021.0,MT,2011.0
E_0456454f03,dialogue,DIA,2014.0,DIA,2014.0
E_0456454f03,dialogue,SUM,2021.0,DIA,2014.0
E_0456454f03,dialogue,SA,2022.0,DIA,2014.0
E_05199deca1,impact,QA,2012.0,QA,2012.0
E_05199deca1,impact,SA,2013.0,QA,2012.0
E_05199deca1,impact,MT,2014.0,QA,2012.0
E_05199deca1,impact,DIA,2020.0,QA,2012.0
E_05199deca1,impact,SUM,2022.0,QA,2012.0
E_057d1fbf7a,overall accuracy,SA,2011.0,SA,2011.0
E_057d1fbf7a,overall accuracy,QA,2012.0,SA,2011.0
E_057d1fbf7a,overall accuracy,MT,2021.0,SA,2011.0
E_05e7d19a6d,energy,MT,2020.0,MT,2020.0
E_05e7d19a6d,energy,QA,2022.0,MT,2020.0
E_05e7d19a6d,energy,SUM,2022.0,MT,2020.0
E_05e7d19a6d,energy,DIA,2023.0,MT,2020.0
E_061c0f6074,having,DIA,2022.0,SUM,2022.0
E_061c0f6074,having,MT,2022.0,SUM,2022.0
E_061c0f6074,having,QA,2022.0,SUM,2022.0
E_061c0f6074,having,SA,2022.0,SUM,2022.0
E_061c0f6074,having,SUM,2022.0,SUM,2022.0
E_069796ba08,bilstm,SA,2016.0,SA,2016.0
E_069796ba08,bilstm,MT,2017.0,SA,2016.0
E_069796ba08,bilstm,QA,2017.0,SA,2016.0
E_069796ba08,bilstm,DIA,2019.0,SA,2016.0
E_06a943c59f,search,MT,2012.0,MT,2012.0
E_06a943c59f,search,DIA,2019.0,MT,2012.0
E_06a943c59f,search,QA,2022.0,MT,2012.0
E_06a943c59f,search,SA,2022.0,MT,2012.0
E_06a943c59f,search,SUM,2024.0,MT,2012.0
E_06c5b10273,relations,SUM,2014.0,SUM,2014.0
E_06c5b10273,relations,QA,2015.0,SUM,2014.0
E_06c5b10273,relations,SA,2015.0,SUM,2014.0
E_06c5b10273,relations,DIA,2020.0,SUM,2014.0
E_06c5b10273,relations,MT,2020.0,SUM,2014.0
E_06eaeb413e,perplexity,MT,2012.0,MT,2012.0
E_06eaeb413e,perplexity,QA,2016.0,MT,2012.0
E_06eaeb413e,perplexity,SA,2019.0,MT,2012.0
E_06eaeb413e,perplexity,DIA,2020.0,MT,2012.0
E_06eaeb413e,perplexity,SUM,2021.0,MT,2012.0
E_07213a0161,errors,MT,2012.0,MT,2012.0
E_07213a0161,errors,DIA,2019.0,MT,2012.0
E_07213a0161,errors,SA,2019.0,MT,2012.0
E_07213a0161,errors,SUM,2020.0,MT,2012.0
E_076af42e96,all other models,MT,2010.0,MT,2010.0
E_076af42e96,all other models,DIA,2014.0,MT,2010.0
E_076af42e96,all other models,QA,2019.0,MT,2010.0
E_076af42e96,all other models,SA,2019.0,MT,2010.0
E_07ef81225e,word embedding dimension,MT,2016.0,MT,2016.0
E_07ef81225e,word embedding dimension,QA,2016.0,MT,2016.0
E_07ef81225e,word embedding dimension,SUM,2018.0,MT,2016.0
E_07ef81225e,word embedding dimension,DIA,2019.0,MT,2016.0
E_0868818ce8,retrieval,MT,2016.0,MT,2016.0
E_0868818ce8,retrieval,SA,2017.0,MT,2016.0
E_0868818ce8,retrieval,QA,2018.0,MT,2016.0
E_0868818ce8,retrieval,DIA,2022.0,MT,2016.0
E_08dd5c33e8,classifier,SA,2011.0,SA,2011.0
E_08dd5c33e8,classifier,QA,2012.0,SA,2011.0
E_08dd5c33e8,classifier,MT,2014.0,SA,2011.0
E_08dd5c33e8,classifier,DIA,2017.0,SA,2011.0
E_0b347a8c26,qa model,QA,2017.0,QA,2017.0
E_0b347a8c26,qa model,SUM,2020.0,QA,2017.0
E_0ba53fb94f,neural model,SA,2015.0,SA,2015.0
E_0ba53fb94f,neural model,MT,2016.0,SA,2015.0
E_0ba53fb94f,neural model,DIA,2017.0,SA,2015.0
E_0ba53fb94f,neural model,QA,2017.0,SA,2015.0
E_0ba53fb94f,neural model,SUM,2019.0,SA,2015.0
E_0bc81fe876,representations,MT,2014.0,MT,2014.0
E_0bc81fe876,representations,SUM,2014.0,MT,2014.0
E_0bc81fe876,representations,QA,2015.0,MT,2014.0
E_0bc81fe876,representations,SA,2015.0,MT,2014.0
E_0bc81fe876,representations,DIA,2018.0,MT,2014.0
E_0c390c0f18,sentence representation,SA,2015.0,SA,2015.0
E_0c390c0f18,sentence representation,QA,2017.0,SA,2015.0
E_0c390c0f18,sentence representation,DIA,2018.0,SA,2015.0
E_0c390c0f18,sentence representation,MT,2018.0,SA,2015.0
E_0d754e83f7,slightly outperforms,MT,2010.0,MT,2010.0
E_0d754e83f7,slightly outperforms,SA,2010.0,MT,2010.0
E_0d754e83f7,slightly outperforms,QA,2020.0,MT,2010.0
E_0d9545da20,endothelial,DIA,2022.0,SUM,2022.0
E_0d9545da20,endothelial,MT,2022.0,SUM,2022.0
