origin_domain,target_domain,mean_lag,median_lag,n_concepts
DIA,MT,0.6241610738255033,0.0,149
DIA,QA,0.6622516556291391,0.0,151
DIA,SA,0.7753623188405797,0.0,138
DIA,SUM,0.9142857142857143,0.0,140
QA,MT,2.04,1.0,75
SUM,MT,2.296875,2.0,64
SA,MT,2.4275862068965517,1.0,145
QA,SA,2.6027397260273974,2.0,73
QA,DIA,3.2777777777777777,3.0,72
QA,SUM,3.4126984126984126,3.0,63
SUM,SA,3.418181818181818,2.0,55
SUM,QA,3.515625,3.0,64
MT,SA,3.9884057971014495,3.0,345
SUM,DIA,4.029850746268656,4.0,67
SA,QA,4.055172413793104,4.0,145
SA,SUM,4.3559322033898304,4.0,118
MT,QA,4.671511627906977,4.0,344
SA,DIA,4.676470588235294,5.0,136
MT,SUM,5.195876288659794,5.0,291
MT,DIA,5.406349206349207,6.0,315
