entity,total_degree,early_count,late_count,growth_score,name
E_5fe05153b7,165,0,165,5.111987788356544,transformer
E_3de0746a7d,247,1,246,4.816241156068032,bert
E_8f26755056,114,0,114,4.74493212836325,transformer model
E_d3052a2680,93,0,93,4.543294782270004,label smoothing
E_1d7c2923c1,97,0,83,4.430816798843313,adam
E_a9784ab70a,90,0,75,4.330733340286331,hidden states
E_10b3bbed74,91,0,69,4.248495242049359,each word
E_434bac5ae0,329,4,314,4.143134726391533,adam optimizer
E_030bde5f90,60,0,60,4.110873864173311,seq2seq
E_3ab49a5de3,58,0,58,4.07753744390572,multi-head attention
E_4ae35cd73a,65,0,57,4.060443010546419,reinforcement learning
E_8002477499,53,0,51,3.9512437185814275,adversarial training
E_45614f2250,53,0,50,3.9318256327243257,"adam optimizer ( kingma and ba , 2014 )"
E_b5dc07c408,48,0,48,3.8918202981106265,self-attention
E_75cf4b74c5,48,0,48,3.8918202981106265,copy mechanism
E_d99ad5ec30,49,0,46,3.8501476017100584,data augmentation
E_24d2a3cd80,45,0,45,3.828641396489095,6 layers
E_7c899632ce,44,0,44,3.8066624897703196,transformer architecture
E_d2693ee4a5,53,0,43,3.784189633918261,byte pair encoding ( bpe )
E_4fe0641279,44,0,43,3.784189633918261,back - translation
E_6ea2a9e265,43,0,41,3.7376696182833684,maximum length
E_bc92683377,41,0,41,3.7376696182833684,"transformer ( vaswani et al. , 2017 )"
E_6831ab04c5,44,0,40,3.713572066704308,discriminator
E_0b347a8c26,42,0,40,3.713572066704308,qa model
E_276b2fd681,42,0,40,3.713572066704308,multilingual models
E_cab58848ef,48,0,40,3.713572066704308,number of layers
E_e0f595d2c0,88,1,79,3.688879454113936,validation set
E_8efbc76bb9,38,0,38,3.6635616461296463,finetuning
E_aaddc3454c,41,0,38,3.6635616461296463,noise
E_6794250387,46,0,38,3.6635616461296463,rate
