year,edges_added,novel_triples,cumulative_edges,cumulative_entities
2010,4242,4242,4242,1953
2011,4421,4421,8663,3817
2012,5648,5648,14311,6072
2013,10869,10869,25180,10108
2014,7525,7525,32705,12820
2015,10824,10824,43529,16636
2016,14643,14643,58172,21508
2017,22937,22937,81109,28692
2018,34647,34647,115756,39210
2019,54148,54148,169904,54881
2020,64956,64956,234860,73504
2021,51435,51435,286295,87455
2022,134200,134200,420495,138901
2023,131696,131696,552191,175202
2024,23783,23783,575974,183367
2025,1050,1050,577024,183693
