source,target,predicate,year
NOVEL_DIA_0,E_a83c35a686,pre-trained on,2021.0
NOVEL_DIA_0,E_a56f5c8422,pre-trained on,2021.0
NOVEL_DIA_0,E_a83c35a686,evaluated on,2021.0
NOVEL_DIA_0,E_84e314f125,evaluated on,2021.0
NOVEL_DIA_0,E_b575844c21,has,2021.0
NOVEL_DIA_0,E_a83c35a686,has,2021.0
NOVEL_DIA_0,E_abf6f304f4,pre-trained on,2021.0
NOVEL_DIA_0,E_fa7395938a,pre-trained on,2021.0
NOVEL_DIA_0,E_abf6f304f4,evaluated on,2021.0
NOVEL_DIA_0,E_307ba1eb11,evaluated on,2021.0
NOVEL_DIA_0,E_307ba1eb11,from,2021.0
NOVEL_DIA_0,E_2cb3380e02,from,2021.0
NOVEL_DIA_0,E_abf6f304f4,has,2021.0
NOVEL_DIA_0,E_fb2f4acb59,used,2021.0
NOVEL_DIA_0,E_7c6cc71037,used,2021.0
NOVEL_DIA_0,E_7c6cc71037,with,2021.0
NOVEL_DIA_0,E_727d305d51,with,2021.0
NOVEL_DIA_0,E_727d305d51,for adding,2021.0
NOVEL_DIA_0,E_09039bd162,for adding,2021.0
NOVEL_DIA_0,E_09039bd162,between,2021.0
NOVEL_DIA_0,E_ca15fd43df,between,2021.0
NOVEL_DIA_0,E_85799ff4e5,For building,2021.0
NOVEL_DIA_0,E_fb2f4acb59,For building,2021.0
NOVEL_DIA_0,E_bfd2904e5f,using,2021.0
NOVEL_DIA_0,E_c0118e6392,using,2021.0
NOVEL_DIA_0,E_52912d5134,for,2021.0
NOVEL_DIA_0,E_cd058c0ffb,for,2021.0
NOVEL_DIA_0,E_20f35e630d,propose,2021.0
NOVEL_DIA_0,E_bfd2904e5f,propose,2021.0
NOVEL_DIA_0,E_c0118e6392,to model,2021.0
NOVEL_DIA_0,E_c12ecf1566,to model,2021.0
NOVEL_DIA_0,E_70c8c30969,to model,2021.0
NOVEL_DIA_0,E_52912d5134,with,2021.0
NOVEL_DIA_0,E_e9dac1cd16,with,2021.0
NOVEL_DIA_0,E_e9dac1cd16,for,2021.0
NOVEL_DIA_0,E_20f35e630d,augment,2021.0
NOVEL_DIA_0,E_52912d5134,augment,2021.0
NOVEL_DIA_0,E_2893148e44,to augment,2021.0
NOVEL_DIA_0,E_9b060b4e04,to augment,2021.0
NOVEL_DIA_0,E_9b060b4e04,to improve,2021.0
NOVEL_DIA_0,E_c05f6c2335,to improve,2021.0
NOVEL_DIA_0,E_c05f6c2335,of,2021.0
NOVEL_DIA_0,E_ef515e7df2,of,2021.0
NOVEL_DIA_0,E_dfeefae098,is,2021.0
NOVEL_DIA_0,E_8a49bd3abd,is,2021.0
NOVEL_DIA_0,E_dfeefae098,independent of,2021.0
NOVEL_DIA_0,E_358dbc9e59,independent of,2021.0
NOVEL_DIA_0,E_53e61336bb,has,2021.0
NOVEL_DIA_0,E_dfeefae098,has,2021.0
NOVEL_DIA_0,E_5602d82ee5,performs better,2021.0
NOVEL_DIA_0,E_f62a92dd6c,performs better,2021.0
NOVEL_DIA_0,E_59a2e7f36a,has,2021.0
NOVEL_DIA_0,E_fb7637330e,has,2021.0
NOVEL_DIA_0,E_5602d82ee5,has,2021.0
NOVEL_DIA_0,E_53e61336bb,For,2021.0
NOVEL_DIA_0,E_59a2e7f36a,For,2021.0
NOVEL_DIA_0,E_6825f454af,on,2021.0
NOVEL_DIA_0,E_71e526b496,on,2021.0
NOVEL_DIA_0,E_1c1c390496,on,2021.0
NOVEL_DIA_0,E_1588cd95a4,has,2021.0
NOVEL_DIA_0,E_6825f454af,has,2021.0
NOVEL_DIA_0,E_1c1c390496,has,2021.0
NOVEL_DIA_0,E_2660da60c6,has,2021.0
NOVEL_DIA_0,E_bae5636823,on,2021.0
NOVEL_DIA_0,E_f224df9041,on,2021.0
NOVEL_DIA_0,E_f224df9041,for,2021.0
NOVEL_DIA_0,E_ba8f7ad108,for,2021.0
NOVEL_DIA_0,E_2f9ac9cd73,for,2021.0
NOVEL_DIA_0,E_ba8f7ad108,is,2021.0
NOVEL_DIA_0,E_2f9ac9cd73,is,2021.0
NOVEL_DIA_0,E_bae5636823,has,2021.0
NOVEL_DIA_0,E_a55fff0fb9,for,2021.0
NOVEL_DIA_0,E_8097371a20,for,2021.0
NOVEL_DIA_0,E_8097371a20,is,2021.0
NOVEL_DIA_0,E_a55fff0fb9,has,2021.0
NOVEL_DIA_0,E_46bc8b2510,is,2021.0
NOVEL_DIA_0,E_00bd624b5b,is,2021.0
NOVEL_DIA_0,E_00bd624b5b,to,2021.0
NOVEL_DIA_0,E_0162cefc49,to,2021.0
NOVEL_DIA_0,E_8eb3d69718,to,2021.0
NOVEL_DIA_0,E_8eb3d69718,in,2021.0
NOVEL_DIA_0,E_112db776f5,in,2021.0
NOVEL_DIA_0,E_53e61336bb,see that,2021.0
NOVEL_DIA_0,E_46bc8b2510,see that,2021.0
NOVEL_DIA_0,E_f98b7c31e4,improves,2021.0
NOVEL_DIA_0,E_c05f6c2335,improves,2021.0
NOVEL_DIA_0,E_b1a64e3c06,of,2021.0
NOVEL_DIA_0,E_b1a64e3c06,by selecting,2021.0
NOVEL_DIA_0,E_e168af1b6b,by selecting,2021.0
NOVEL_DIA_0,E_e168af1b6b,with,2021.0
NOVEL_DIA_0,E_166aebeab2,with,2021.0
NOVEL_DIA_0,E_dfeefae098,produced,2021.0
NOVEL_DIA_0,E_addec42693,produced,2021.0
NOVEL_DIA_0,E_1645153b50,produced,2021.0
NOVEL_DIA_0,E_1645153b50,than,2021.0
NOVEL_DIA_0,E_e5ef2a445e,than,2021.0
NOVEL_DIA_0,E_aa332c3cd2,has,2021.0
NOVEL_DIA_0,E_addec42693,has,2021.0
NOVEL_DIA_0,E_1645153b50,has,2021.0
NOVEL_DIA_1,E_51762626b4,makes,2021.0
NOVEL_DIA_1,E_bf693d018c,makes,2021.0
NOVEL_DIA_1,E_bf693d018c,to,2021.0
NOVEL_DIA_1,E_1fed802b64,to,2021.0
NOVEL_DIA_1,E_1fed802b64,in terms of,2021.0
NOVEL_DIA_1,E_12bbd9846d,in terms of,2021.0
NOVEL_DIA_1,E_6e267ce617,than,2021.0
NOVEL_DIA_1,E_84ac41d7c5,than,2021.0
NOVEL_DIA_1,E_b12965637d,has,2021.0
NOVEL_DIA_1,E_51762626b4,has,2021.0
NOVEL_DIA_1,E_b3a3d1e6b9,is,2021.0
NOVEL_DIA_1,E_b6a4c1c1dc,is,2021.0
NOVEL_DIA_1,E_fd3fcb39ab,to incorporate,2021.0
NOVEL_DIA_1,E_cf55a8cac2,to incorporate,2021.0
NOVEL_DIA_1,E_fb0370d2d4,has,2021.0
NOVEL_DIA_1,E_b3a3d1e6b9,has,2021.0
NOVEL_DIA_1,E_d1addc1e9e,contain,2021.0
NOVEL_DIA_1,E_f6d2f8324a,contain,2021.0
NOVEL_DIA_1,E_80a663b3a1,contain,2021.0
NOVEL_DIA_1,E_c0389af2bd,has,2021.0
