paper_id,year,semantic_knn,structural_novelty,triple_count,cited_by_count,reference_count,citation_signal,struct_norm,semantic_norm,citation_norm,composite_novelty,transE_score,final_novelty_score
SKG_MT_1151,2010,1.0,1.0,70.0,3,17,1.3862943611198906,0.999999999,0.9999999976718494,0.1491050326479578,0.9149105014350905,13.674560546875,0.26848212491637496
SKG_SUM_67,2010,1.0,1.0,68.0,37,16,3.6375861597263857,0.999999999,0.9999999976718494,0.391246201613061,0.9391246183316008,13.442057609558105,0.321713566011594
SKG_MT_287,2010,1.0,1.0,85.0,0,14,0.0,0.999999999,0.9999999976718494,0.0,0.8999999981702946,14.026256561279297,0.18796148336994545
SKG_SUM_83,2010,1.0,1.0,35.0,56,18,4.04305126783455,0.999999999,0.9999999976718494,0.4348566279969905,0.9434856609699936,13.690240859985352,0.2648921244057551
SKG_SUM_42,2010,1.0,1.0,89.0,18,31,2.9444389791664403,0.999999999,0.9999999976718494,0.3166936852890821,0.9316693666992028,13.756760597229004,0.2496624610061537
SKG_MT_1074,2010,1.0,1.0,99.0,59,30,4.0943445622221,0.999999999,0.9999999976718494,0.4403735575530616,0.9440373539256008,13.63841438293457,0.27675777260847534
SKG_PAR_202,2010,1.0,1.0,53.0,4,20,1.6094379124341005,0.999999999,0.9999999976718494,0.1731055821971953,0.917310556390014,13.803919792175293,0.2388653849053051
SKG_MT_390,2010,1.0,1.0,25.0,20,10,3.044522437723423,0.999999999,0.9999999976718494,0.3274583163618105,0.9327458298064756,13.610213279724121,0.2832144022824529
SKG_MT_488,2010,1.0,1.0,121.0,18,11,2.9444389791664403,0.999999999,0.9999999976718494,0.3166936852890821,0.9316693666992028,13.947844505310059,0.20591388769932606
SKG_MT_157,2010,1.0,1.0,47.0,19,17,2.995732273553991,0.999999999,0.9999999976718494,0.3222106148451532,0.93222105965481,13.645675659179688,0.2750953067352324
SKG_SUM_7,2010,1.0,1.0,336.0,20,26,3.044522437723423,0.999999999,0.9999999976718494,0.3274583163618105,0.9327458298064756,13.899434089660645,0.21699743020754195
SKG_MT_194,2010,1.0,1.0,97.0,30,63,3.4339872044851463,0.999999999,0.9999999976718494,0.3693478013023136,0.936934778300526,13.701744079589844,0.2622584675416816
SKG_MT_478,2010,1.0,1.0,58.0,15,25,2.772588722239781,0.999999999,0.9999999976718494,0.2982100652959156,0.9298210046998862,13.6489896774292,0.274336563773646
SKG_MT_1199,2010,1.0,1.0,22.0,3,18,1.3862943611198906,0.999999999,0.9999999976718494,0.1491050326479578,0.9149105014350905,13.565041542053223,0.29355645094964794
SKG_MT_196,2010,1.0,1.0,17.0,61,9,4.127134385045092,0.999999999,0.9999999976718494,0.4439003176262926,0.944390029932924,14.080787658691406,0.1754766135732514
SKG_PAR_219,2010,1.0,1.0,116.0,29,25,3.4011973816621555,0.999999999,0.9999999976718494,0.3658210412290827,0.9365821022932028,14.023338317871094,0.1886296138627381
SKG_MT_174,2010,1.0,1.0,18.0,24,15,3.218875824868201,0.999999999,0.9999999976718494,0.3462111643943907,0.9346211146097336,13.694198608398438,0.26398599971781733
SKG_QA_101,2010,1.0,1.0,23.0,246,35,5.5093883366279774,0.999999999,0.9999999976718494,0.5925707777816959,0.9592570759484642,13.768704414367676,0.2469279295382664
SKG_MT_1231,2010,1.0,1.0,59.0,4,14,1.6094379124341005,0.999999999,0.9999999976718494,0.1731055821971953,0.917310556390014,13.541769981384277,0.2988844641147219
SKG_MT_15,2010,1.0,1.0,22.0,8,7,2.19722457733622,0.999999999,0.9999999976718494,0.2363258854158169,0.9236325867118764,13.954377174377441,0.20441823610598303
SKG_MT_17,2010,1.0,1.0,2.0,41,3,3.737669618283368,0.999999999,0.9999999976718494,0.4020108326857894,0.9402010814388736,13.936652183532715,0.20847636464815436
SKG_MT_1232,2010,1.0,1.0,95.0,14,13,2.70805020110221,0.999999999,0.9999999976718494,0.2912685249051038,0.929126850660805,13.77165412902832,0.2462525937166299
SKG_MT_603,2010,1.0,1.0,49.0,15,27,2.772588722239781,0.999999999,0.9999999976718494,0.2982100652959156,0.9298210046998862,13.93934440612793,0.20785998151705837
SKG_MT_567,2010,1.0,1.0,56.0,15,13,2.772588722239781,0.999999999,0.9999999976718494,0.2982100652959156,0.9298210046998862,13.797187805175781,0.24040667024799248
SKG_MT_61,2010,1.0,1.0,91.0,13,27,2.6390573296152584,0.999999999,0.9999999976718494,0.283847889977881,0.9283847871680828,13.613851547241211,0.2823814225994451
SKG_SA_544,2010,1.0,1.0,114.0,132,46,4.890349128221754,0.999999999,0.9999999976718494,0.5259890589429842,0.952598904064593,13.919326782226562,0.21244300734833868
SKG_MT_968,2010,1.0,1.0,66.0,7,15,2.079441541679836,0.999999999,0.9999999976718494,0.2236575489719367,0.9223657530674884,13.33086109161377,0.3471719579065737
SKG_MT_547,2010,1.0,1.0,60.0,79,29,4.382026634673881,0.999999999,0.9999999976718494,0.471315647493111,0.9471315629196058,13.47171401977539,0.31492374446441324
SKG_PAR_87,2010,1.0,1.0,149.0,9,31,2.302585092994046,0.999999999,0.9999999976718494,0.2476580985211743,0.924765808022412,13.605873107910156,0.2842080826330083
SKG_DIA_104,2010,1.0,1.0,56.0,29,27,3.4011973816621555,0.999999999,0.9999999976718494,0.3658210412290827,0.9365821022932028,14.054949760437012,0.18139218855404593
SKG_PAR_69,2010,1.0,1.0,61.0,75,34,4.330733340286331,0.999999999,0.9999999976718494,0.4657987179370399,0.9465798699639988,13.71251106262207,0.25979337170389427
SKG_MT_137,2010,1.0,1.0,46.0,90,12,4.51085950651685,0.999999999,0.9999999976718494,0.4851724661465158,0.9485172447849464,13.54005241394043,0.29927770039495705
SKG_MT_606,2010,1.0,1.0,109.0,12,24,2.5649493574615367,0.999999999,0.9999999976718494,0.2758770924926137,0.927587707419556,13.937039375305176,0.20838771726904526
SKG_SA_527,2010,1.0,1.0,106.0,41,18,3.737669618283368,0.999999999,0.9999999976718494,0.4020108326857894,0.9402010814388736,14.011808395385742,0.19126938433916396
SKG_MT_585,2010,1.0,1.0,104.0,6,18,1.9459101490553128,0.999999999,0.9999999976718494,0.2092953736539021,0.9209295355356848,13.497875213623047,0.3089341511054956
