year,split,mean,std,count
2010,SKG,0.25335094544650766,0.04247068197468559,59
2011,SKG,0.3414641095300211,0.06323406088061276,64
2012,SKG,0.3437216407090261,0.08311930176176298,73
2013,SKG,0.33043584657398756,0.0555359265079154,122
2014,SKG,0.32994719477323875,0.0582394431897244,89
2015,SKG,0.39887673716163263,0.11279456413299749,116
2016,SKG,0.3340977318290831,0.058650848908953904,129
2017,SKG,0.33309335820990343,0.06623090487542029,221
2018,SKG,0.33828220757200284,0.0663044179048291,290
2019,SKG,0.38123650689382127,0.09639294200139953,436
2020,NOVEL,0.34014404884539307,0.05462460241387909,4
2020,SKG,0.32240884523553826,0.04910549922391772,500
2021,NOVEL,0.37292249578721576,0.09591701039051845,403
2022,NOVEL,0.41074779142387596,0.05530525052349039,106
2022,SKG,0.38910797470918984,0.055031084098687795,326
2023,NOVEL,0.36737007838456104,0.0351414753446053,218
2023,SKG,0.36681213513986183,0.04295054003131136,418
2024,NOVEL,0.3569421514588542,0.02955847168225284,24
2024,SKG,0.3523128504929734,0.03416179645922586,69
2025,NOVEL,0.42616630366080394,0.13311063039090806,7
2025,SKG,0.343150090951434,0.031657889771936294,4
