paper_id,structural_novelty,triple_count
SKG_MT_1313,1.0,50
SKG_MT_1167,1.0,74
SKG_MT_287,1.0,85
SKG_MT_1375,1.0,71
SKG_DIA_210,1.0,50
SKG_QA_416,1.0,42
SKG_MT_850,1.0,128
SKG_MT_838,1.0,133
SKG_SA_217,1.0,35
SKG_SUM_7,1.0,336
SKG_MT_853,1.0,66
SKG_MT_157,1.0,47
SKG_DIA_209,1.0,54
SKG_MT_547,1.0,60
SKG_MT_1151,1.0,70
SKG_MT_1193,1.0,95
SKG_MT_1199,1.0,22
SKG_MT_137,1.0,46
SKG_MT_15,1.0,22
SKG_MT_17,1.0,2
SKG_QA_101,1.0,23
SKG_MT_174,1.0,18
SKG_MT_1320,1.0,54
SKG_MT_968,1.0,66
SKG_MT_646,1.0,30
SKG_MT_743,1.0,92
SKG_MT_388,1.0,61
SKG_MT_660,1.0,36
SKG_MT_390,1.0,25
SKG_MT_1325,1.0,107
SKG_MT_771,1.0,57
SKG_MT_1394,1.0,28
SKG_MT_61,1.0,91
SKG_SUM_42,1.0,89
SKG_MT_567,1.0,56
SKG_MT_194,1.0,97
SKG_MT_1384,1.0,146
SKG_SA_420,1.0,46
SKG_MT_715,1.0,30
SKG_MT_196,1.0,17
SKG_MT_585,1.0,104
SKG_DIA_104,1.0,56
SKG_MT_1231,1.0,59
SKG_SA_544,1.0,114
SKG_MT_1232,1.0,95
SKG_PAR_87,1.0,149
SKG_PAR_69,1.0,61
SKG_SUM_67,1.0,68
SKG_MT_1074,1.0,99
SKG_PAR_219,1.0,116
SKG_SA_527,1.0,106
SKG_MT_795,1.0,78
SKG_SUM_83,1.0,35
SKG_MT_488,1.0,121
SKG_MT_603,1.0,49
SKG_MT_606,1.0,109
SKG_PAR_202,1.0,53
SKG_SA_83,1.0,55
SKG_MT_478,1.0,58
SKG_DIA_213,0.8157894736842105,38
SKG_MT_368,0.8672566371681416,113
SKG_MT_87,0.8852459016393442,61
SKG_MT_1111,0.8717948717948718,39
SKG_SUM_110,0.8846153846153846,52
SKG_SA_505,0.9066666666666666,75
SKG_SA_77,0.8581560283687943,141
SKG_MT_409,0.88,100
SKG_PAR_215,0.8181818181818182,22
SKG_MT_800,0.875,104
SKG_MT_595,0.8243243243243243,74
SKG_SUM_80,0.9345794392523364,107
SKG_MT_919,0.953125,64
SKG_QA_302,0.9157894736842105,95
SKG_SUM_130,0.8333333333333334,24
