year,split,tgnn_mean,tgnn_std
2010,SKG,8.1006465e-06,6.120867e-07
2011,SKG,1.073316e-05,1.0664115e-06
2012,SKG,1.1018093e-05,1.3203684e-06
2013,SKG,1.107856e-05,1.2842415e-06
2014,SKG,1.1209175e-05,1.6591216e-06
2015,SKG,1.1250201e-05,1.7351706e-06
2016,SKG,1.09338225e-05,1.5758543e-06
2017,SKG,1.1654389e-05,1.8693756e-06
2018,SKG,1.1581347e-05,1.4822033e-06
2019,SKG,1.2365679e-05,2.1070484e-06
2020,NOVEL,1.4615726e-05,2.2691804e-06
2020,SKG,1.2742317e-05,1.6727917e-06
2021,NOVEL,1.2814786e-05,1.7095842e-06
2022,NOVEL,2.365214e-05,7.614483e-06
2022,SKG,1.8699917e-05,9.2739165e-06
2023,NOVEL,2.1013357e-05,6.626523e-06
2023,SKG,1.9687379e-05,7.0493875e-06
2024,NOVEL,2.2228827e-05,5.1286997e-06
2024,SKG,2.1248325e-05,6.2305035e-06
2025,NOVEL,2.319737e-05,6.653907e-06
2025,SKG,2.1795335e-05,6.5539566e-06
