paper_id,n_triples,mean_dist,min_dist,max_dist,std_dist,pct_unseen_entity,pct_unseen_pred,transe_unexpectedness
NOVEL_DIA_0,99,2.223738,1.4809476,2.7374272,0.47562945,0.0,0.0,0.71006274
NOVEL_DIA_1,132,2.0680594,1.4007527,2.7693346,0.4844812,0.0,0.0,0.55335355
NOVEL_DIA_10,134,2.0908988,1.456547,2.808419,0.45215067,0.0,0.0,0.5763441
NOVEL_DIA_11,67,2.0835743,1.434995,2.7341034,0.44765827,0.0,0.0,0.5689711
NOVEL_DIA_12,132,2.051442,1.4442235,2.70996,0.47017616,0.0,0.0,0.536626
NOVEL_DIA_13,58,1.962354,1.4238869,2.7712922,0.47084835,0.0,0.0,0.44694823
NOVEL_DIA_14,72,2.0299988,1.4644088,2.7506106,0.48239943,0.0,0.0,0.51504093
NOVEL_DIA_16,74,2.1327293,1.4496813,2.7919874,0.4893351,0.0,0.0,0.61845154
NOVEL_DIA_17,149,2.1085443,1.4130012,2.8271835,0.49725738,0.0,0.0,0.5941065
NOVEL_DIA_18,158,2.0357723,1.3492754,2.85335,0.4580242,0.0,0.0,0.5208527
NOVEL_DIA_2,94,2.0214436,1.5104892,2.8808777,0.4784464,0.0,0.0,0.5064291
NOVEL_DIA_20,79,2.2606556,1.4724188,2.8959963,0.4453283,0.0,0.0,0.7472248
NOVEL_DIA_21,47,2.271885,1.4984769,2.654482,0.4164597,0.0,0.0,0.7585285
NOVEL_DIA_22,35,2.225833,1.540372,2.8299007,0.39514434,0.0,0.0,0.71217155
NOVEL_DIA_23,108,2.1090589,1.413722,2.7532582,0.49251285,0.0,0.0,0.5946244
NOVEL_DIA_24,54,2.1189878,1.4892707,2.7904234,0.46361428,0.0,0.0,0.6046191
NOVEL_DIA_25,125,2.1195297,1.432429,2.827327,0.47177696,0.0,0.0,0.6051646
NOVEL_DIA_26,40,2.1887445,1.4822354,2.887386,0.4692557,0.0,0.0,0.67483765
NOVEL_DIA_28,196,2.1784353,1.4525547,2.7673938,0.46971148,0.0,0.0,0.6644602
NOVEL_DIA_29,60,2.1951928,1.4747341,2.8594627,0.47039208,0.0,0.0,0.6813286
NOVEL_DIA_3,206,2.067686,1.4339361,2.8206296,0.4918597,0.0,0.0,0.55297774
NOVEL_DIA_30,84,2.0653026,1.5064243,2.7003822,0.48336217,0.0,0.0,0.5505785
NOVEL_DIA_31,194,2.0890527,1.3537844,2.7304223,0.45826057,0.0,0.0,0.5744858
NOVEL_DIA_33,37,2.2190766,1.5241907,2.6976683,0.45823532,0.0,0.0,0.70537055
NOVEL_DIA_34,172,2.1643534,1.4207841,2.850696,0.462826,0.0,0.0,0.650285
NOVEL_DIA_35,25,2.1773667,1.4760089,2.6732974,0.4476535,0.0,0.0,0.6633845
NOVEL_DIA_37,211,2.2235136,1.4205141,2.8086836,0.4686416,0.0,0.0,0.7098369
NOVEL_DIA_39,100,1.9899652,1.3655978,2.8585503,0.47181153,0.0,0.0,0.4747423
NOVEL_DIA_4,206,2.1866047,1.4537172,2.85376,0.45695096,0.0,0.0,0.67268366
NOVEL_DIA_40,29,1.7968518,1.4773909,2.6388443,0.39297315,0.0,0.0,0.28035036
NOVEL_DIA_41,152,2.1671953,1.4727666,2.823424,0.47557476,0.0,0.0,0.65314573
NOVEL_DIA_42,156,2.0829756,1.4433079,2.7398589,0.4667914,0.0,0.0,0.5683685
NOVEL_DIA_43,25,2.1830077,1.4491725,2.642538,0.4845452,0.0,0.0,0.66906285
NOVEL_DIA_44,158,2.1085594,1.4579551,2.9671478,0.48617032,0.0,0.0,0.59412163
NOVEL_DIA_45,207,2.2461398,1.2726692,2.7462883,0.45125455,0.0,0.0,0.73261285
NOVEL_DIA_47,124,2.0758696,1.3917445,2.7734585,0.47238547,0.0,0.0,0.5612154
NOVEL_DIA_49,16,2.5117683,1.554746,2.6337967,0.26031,0.0,0.0,1.0
NOVEL_DIA_5,103,2.1399944,1.474432,2.6955795,0.45890474,0.0,0.0,0.6257647
NOVEL_DIA_50,206,2.1114202,1.2888637,2.8281388,0.4529371,0.0,0.0,0.5970013
NOVEL_DIA_51,122,2.2079723,1.4674172,2.8015552,0.4490109,0.0,0.0,0.6941927
NOVEL_DIA_52,48,2.2930596,1.486746,2.7991605,0.4543763,0.0,0.0,0.7798433
NOVEL_DIA_53,134,2.1592948,1.5086386,2.803771,0.45047125,0.0,0.0,0.645193
NOVEL_DIA_54,183,2.1423037,1.447274,2.9726937,0.4861694,0.0,0.0,0.62808937
NOVEL_DIA_55,93,2.2874248,1.3199514,2.7550435,0.4514507,0.0,0.0,0.77417123
NOVEL_DIA_56,25,2.0840163,1.5182308,2.6816616,0.51514477,0.0,0.0,0.5694161
NOVEL_DIA_59,160,2.0613081,1.4532158,2.9009733,0.48130935,0.0,0.0,0.54655755
NOVEL_DIA_6,166,2.1433382,1.4116497,2.8724105,0.47183764,0.0,0.0,0.6291307
NOVEL_DIA_63,118,2.041571,1.4849725,2.8202822,0.466519,0.0,0.0,0.52668965
NOVEL_DIA_65,171,2.1300514,1.436384,2.810806,0.4894852,0.0,0.0,0.6157559
NOVEL_DIA_66,196,1.9858224,1.4265379,2.7295067,0.46629286,0.0,0.0,0.4705721
NOVEL_DIA_67,131,2.152334,1.4493951,2.752295,0.50084394,0.0,0.0,0.63818604
NOVEL_DIA_68,154,2.1611416,1.4022609,2.7750854,0.4704733,0.0,0.0,0.647052
NOVEL_DIA_69,89,2.1898212,1.4819086,2.7244966,0.47492516,0.0,0.0,0.6759215
NOVEL_DIA_70,99,2.239502,1.4966292,2.8171864,0.48394555,0.0,0.0,0.7259311
NOVEL_DIA_71,130,2.0560317,1.466697,2.7109084,0.45398384,0.0,0.0,0.5412462
NOVEL_DIA_8,163,2.0981777,1.408031,2.8744502,0.47605604,0.0,0.0,0.58367115
NOVEL_DIA_W3205786327,1549,1.9894309,1.2913405,2.7420292,0.33558318,0.0,0.0,0.47420445
NOVEL_DIA_W4284991798,358,1.8765709,1.3316698,2.6367767,0.29314145,0.0,0.0,0.3605973
NOVEL_DIA_W4308947461,209,1.7342199,1.3919282,2.3438687,0.20479982,0.0,0.0,0.21730386
NOVEL_DIA_W4312212221,87,1.8994102,1.293421,2.6039097,0.37317982,0.0,0.0,0.38358784
NOVEL_DIA_W4313479734,27,1.7949127,1.285815,2.38769,0.34797817,0.0,0.0,0.27839845
NOVEL_DIA_W4315797044,72,1.8210068,1.353396,2.6766927,0.33764094,0.0,0.0,0.3046653
NOVEL_DIA_W4317435136,43,1.9649237,1.391555,2.6820638,0.34627566,0.0,0.0,0.44953504
NOVEL_DIA_W4317853296,20,1.8178746,1.4003416,2.212063,0.2797489,0.0,0.0,0.30151233
NOVEL_DIA_W4319350602,52,1.5804517,1.4284977,1.9932414,0.13968192,0.0,0.0,0.062517665
NOVEL_DIA_W4319460874,169,1.5853285,1.3183529,2.2500167,0.14635247,0.0,0.0,0.06742668
NOVEL_DIA_W4319662928,197,1.6074406,1.3165762,2.5070264,0.16043547,0.0,0.0,0.0896852
NOVEL_DIA_W4319663047,47,2.009768,1.3768623,2.6357665,0.36912015,0.0,0.0,0.4946762
NOVEL_DIA_W4320495408,77,1.7897682,1.3627313,2.3398356,0.2788018,0.0,0.0,0.2732199
NOVEL_DIA_W4321351832,63,1.914285,1.348295,2.6211529,0.36738634,0.0,0.0,0.398561
NOVEL_DIA_W4321499901,222,1.8880403,1.3263541,2.7150335,0.34029737,0.0,0.0,0.3721426
NOVEL_DIA_W4321504196,34,1.9254586,1.3445015,2.5892518,0.3606947,0.0,0.0,0.40980858
NOVEL_DIA_W4321748146,177,1.9031638,1.3335384,2.4947293,0.32511565,0.0,0.0,0.38736624
NOVEL_DIA_W4322631505,65,1.7931646,1.3029099,2.5326242,0.33209237,0.0,0.0,0.2766388
NOVEL_DIA_W4322761615,251,1.8935779,1.3096527,2.8379922,0.33827725,0.0,0.0,0.3777169
NOVEL_DIA_W4323050332,104,1.547247,1.349802,1.8644441,0.105676614,0.0,0.0,0.029093158
NOVEL_DIA_W4323313947,301,1.6831613,1.3018209,2.4511318,0.19479704,0.0,0.0,0.16590717
NOVEL_DIA_W4323359867,117,1.6230137,1.3595725,1.9577073,0.13500251,0.0,0.0,0.10536145
NOVEL_DIA_W4323568782,107,1.8930199,1.3416648,2.5863016,0.34103662,0.0,0.0,0.37715518
NOVEL_DIA_W4323655724,189,1.8274772,1.2398787,2.5755668,0.33265346,0.0,0.0,0.31117857
NOVEL_DIA_W4323848232,156,1.7958724,1.3460132,2.4929354,0.29407516,0.0,0.0,0.27936456
NOVEL_DIA_W4327672398,2036,1.6442837,1.3781849,2.4407072,0.14627297,0.0,0.0,0.12677218
NOVEL_DIA_W4353016766,208,1.7065684,1.1635724,2.358557,0.19564986,0.0,0.0,0.18946925
NOVEL_DIA_W4360980141,202,1.5792117,1.1911741,2.6385734,0.17231977,0.0,0.0,0.061269436
NOVEL_DIA_W4360980513,154,1.5494086,1.3251026,2.051903,0.13889131,0.0,0.0,0.03126897
NOVEL_DIA_W4361282369,172,1.8608998,1.3337097,2.4463348,0.28678647,0.0,0.0,0.34482244
NOVEL_DIA_W4362581834,181,1.5836588,1.3805555,2.3551443,0.14832161,0.0,0.0,0.06574598
NOVEL_DIA_W4364363895,92,1.818305,1.3355649,2.5062108,0.31670925,0.0,0.0,0.30194566
NOVEL_DIA_W4366703942,367,1.6133436,1.3165652,2.1454089,0.13637775,0.0,0.0,0.09562729
NOVEL_DIA_W4366989525,140,1.8155824,1.2938937,2.6037862,0.34335166,0.0,0.0,0.299205
NOVEL_DIA_W4367051110,107,1.6373918,1.3748176,2.2837243,0.17734547,0.0,0.0,0.119834706
NOVEL_DIA_W4368367885,85,1.8088447,1.3464341,2.4575121,0.3270655,0.0,0.0,0.29242268
NOVEL_DIA_W4376626501,307,1.686822,1.3594625,2.283105,0.19739734,0.0,0.0,0.16959222
NOVEL_DIA_W4376872703,246,1.9208974,1.3187625,2.6337125,0.33229128,0.0,0.0,0.4052172
NOVEL_DIA_W4377010595,149,1.8456367,1.3285291,2.5611777,0.33996212,0.0,0.0,0.3294583
NOVEL_DIA_W4377041488,89,1.7738979,1.3047323,2.575742,0.35808322,0.0,0.0,0.25724453
NOVEL_DIA_W4378214315,207,1.9097867,1.3206228,2.6498725,0.37089595,0.0,0.0,0.39403298
NOVEL_DIA_W4378470708,197,1.6754434,1.2152375,2.559906,0.21226197,0.0,0.0,0.15813823
NOVEL_DIA_W4379010216,208,1.55193,1.3239335,2.184406,0.13596039,0.0,0.0,0.033807058
NOVEL_DIA_W4379054888,217,1.6312118,1.3118602,2.4775121,0.17032143,0.0,0.0,0.11361375
NOVEL_DIA_W4379416244,103,1.9413342,1.3975643,2.6102488,0.31435704,0.0,0.0,0.4257894
