source,target,predicate,year
SKG_DIA_0,E_4616a006d0,discovered that,2019.0
SKG_DIA_0,E_ed84d47e33,discovered that,2019.0
SKG_DIA_0,E_ed84d47e33,key to,2019.0
SKG_DIA_0,E_250a0b27d0,key to,2019.0
SKG_DIA_0,E_b12965637d,tuning,2019.0
SKG_DIA_0,E_4616a006d0,tuning,2019.0
SKG_DIA_0,E_68a81f19c9,advances,2019.0
SKG_DIA_0,E_0221cdbe2a,advances,2019.0
SKG_DIA_0,E_0221cdbe2a,to,2019.0
SKG_DIA_0,E_b12965637d,has,2019.0
SKG_DIA_0,E_261b1f06fb,has,2019.0
SKG_DIA_0,E_b12965637d,has,2019.0
SKG_DIA_0,E_75d8f8f392,has,2019.0
SKG_DIA_0,E_aa8af3ebe1,between,2019.0
SKG_DIA_0,E_c286b9545a,between,2019.0
SKG_DIA_0,E_aa8af3ebe1,between,2019.0
SKG_DIA_0,E_e606139573,between,2019.0
SKG_DIA_0,E_541f98322e,crowd-sourced,2019.0
SKG_DIA_0,E_8689b49376,crowd-sourced,2019.0
SKG_DIA_0,E_8689b49376,with,2019.0
SKG_DIA_0,E_36a844df3d,with,2019.0
SKG_DIA_0,E_b2f5a14ef5,answer,2019.0
SKG_DIA_0,E_f7290e4e72,has,2019.0
SKG_DIA_0,E_b2f5a14ef5,has,2019.0
SKG_DIA_0,E_873b2176f8,has,2019.0
SKG_DIA_0,E_f00333c929,has,2019.0
SKG_DIA_0,E_9e76d075c3,asked to use,2019.0
SKG_DIA_0,E_4887c7fb10,asked to use,2019.0
SKG_DIA_0,E_4887c7fb10,to judge,2019.0
SKG_DIA_0,E_d1fc8eaf36,to judge,2019.0
SKG_DIA_0,E_d1fc8eaf36,is,2019.0
SKG_DIA_0,E_49704d431b,is,2019.0
SKG_DIA_0,E_49704d431b,in,2019.0
SKG_DIA_0,E_5c18ef7277,in,2019.0
SKG_DIA_0,E_50f5e9df7f,'s,2019.0
SKG_DIA_0,E_7c6483ddcd,'s,2019.0
SKG_DIA_0,E_724e205892,should be,2019.0
SKG_DIA_0,E_5bbf2d6725,should be,2019.0
SKG_DIA_0,E_50f5e9df7f,has,2019.0
SKG_DIA_0,E_10bf3b4221,collect,2019.0
SKG_DIA_0,E_f7640d0503,individual conversation turns through,2019.0
SKG_DIA_0,E_06eaeb413e,uncertainty of,2019.0
SKG_DIA_0,E_67fbfa4ece,uncertainty of,2019.0
SKG_DIA_0,E_06eaeb413e,represents,2019.0
SKG_DIA_0,E_4271dc7b67,represents,2019.0
SKG_DIA_0,E_46893f419f,minimize,2019.0
SKG_DIA_0,E_06eaeb413e,minimize,2019.0
SKG_DIA_0,E_85799ff4e5,has,2019.0
SKG_DIA_0,E_46893f419f,has,2019.0
SKG_DIA_0,E_59a2e7f36a,used for,2019.0
SKG_DIA_0,E_c185ddac8b,used for,2019.0
SKG_DIA_0,E_59a2e7f36a,organized as,2019.0
SKG_DIA_0,E_f6b6a3fa6f,organized as,2019.0
SKG_DIA_0,E_f6b6a3fa6f,where,2019.0
SKG_DIA_0,E_90cc5462e7,where,2019.0
SKG_DIA_0,E_85799ff4e5,has,2019.0
SKG_DIA_0,E_59a2e7f36a,has,2019.0
SKG_DIA_0,E_9179796085,with,2019.0
SKG_DIA_0,E_11016d2849,with,2019.0
SKG_DIA_0,E_11016d2849,of,2019.0
SKG_DIA_0,E_5c18ef7277,of,2019.0
SKG_DIA_0,E_11016d2849,one path through,2019.0
SKG_DIA_0,E_a356b066c4,one path through,2019.0
SKG_DIA_0,E_85799ff4e5,extract,2019.0
SKG_DIA_0,E_9179796085,extract,2019.0
SKG_DIA_0,E_bb3aec0fdc,as,2019.0
SKG_DIA_0,E_988598c2e7,as,2019.0
SKG_DIA_0,E_b3a22d3e4f,to train,2019.0
SKG_DIA_0,E_3d7fa3654b,to train,2019.0
SKG_DIA_0,E_5c12243df5,within,2019.0
SKG_DIA_0,E_5becdf3c92,within,2019.0
SKG_DIA_0,E_85799ff4e5,choose,2019.0
SKG_DIA_0,E_bb3aec0fdc,choose,2019.0
SKG_DIA_0,E_9b9ad02089,trained on,2019.0
SKG_DIA_0,E_67703fef18,trained on,2019.0
SKG_DIA_0,E_67703fef18,ltered from,2019.0
SKG_DIA_0,E_512ef4ea8f,ltered from,2019.0
SKG_DIA_0,E_9b9ad02089,has,2019.0
