paper_id,year,semantic_novelty,structural_novelty,triple_count,cited_by_count,reference_count
SKG_SUM_7,2010,1.0,0.9702380952380952,336.0,20,26
SKG_MT_1325,2010,1.0,0.9532710280373832,107.0,34,21
SKG_MT_1231,2010,1.0,0.9322033898305084,59.0,4,14
SKG_MT_1232,2010,1.0,0.9052631578947368,95.0,14,13
SKG_MT_388,2010,1.0,0.9344262295081968,61.0,32,29
SKG_MT_1313,2010,1.0,0.88,50.0,7,24
SKG_MT_1320,2010,1.0,0.9629629629629628,54.0,2,13
SKG_MT_157,2010,1.0,0.9361702127659576,47.0,19,17
SKG_MT_1199,2010,1.0,0.9545454545454546,22.0,3,18
SKG_MT_61,2010,1.0,0.8901098901098901,91.0,13,27
SKG_MT_1193,2010,1.0,0.936842105263158,95.0,4,29
SKG_MT_15,2010,1.0,0.9545454545454546,22.0,8,7
SKG_MT_17,2010,1.0,0.5,2.0,41,3
SKG_MT_1375,2010,1.0,0.6619718309859155,71.0,7,15
SKG_MT_1384,2010,1.0,0.8904109589041096,146.0,30,13
SKG_MT_1394,2010,1.0,0.8571428571428571,28.0,2,13
SKG_MT_646,2010,1.0,0.9,30.0,17,11
SKG_MT_174,2010,1.0,0.8888888888888888,18.0,24,15
SKG_MT_194,2010,1.0,0.8556701030927835,97.0,30,63
SKG_MT_196,2010,1.0,1.0,17.0,61,9
SKG_PAR_69,2010,1.0,0.9344262295081968,61.0,75,34
SKG_MT_1151,2010,1.0,0.9142857142857144,70.0,3,17
SKG_MT_1167,2010,1.0,0.945945945945946,74.0,7,15
SKG_PAR_87,2010,1.0,0.9261744966442952,149.0,9,31
SKG_MT_287,2010,1.0,0.9411764705882352,85.0,0,14
SKG_MT_1074,2010,1.0,0.8787878787878788,99.0,59,30
SKG_QA_101,2010,1.0,0.8695652173913043,23.0,246,35
SKG_PAR_202,2010,1.0,0.9056603773584906,53.0,4,20
SKG_PAR_219,2010,1.0,0.9051724137931034,116.0,29,25
SKG_MT_390,2010,1.0,0.96,25.0,20,10
SKG_MT_968,2010,1.0,1.0,66.0,7,15
SKG_QA_416,2010,1.0,0.9047619047619048,42.0,2,7
SKG_SA_527,2010,1.0,0.9339622641509434,106.0,41,18
SKG_MT_603,2010,1.0,0.979591836734694,49.0,15,27
SKG_MT_606,2010,1.0,0.8899082568807339,109.0,12,24
SKG_SA_83,2010,1.0,0.9454545454545454,55.0,8,14
SKG_DIA_210,2010,1.0,0.98,50.0,28,23
SKG_SA_217,2010,1.0,0.0,35.0,56,18
SKG_DIA_209,2010,1.0,0.925925925925926,54.0,43,28
SKG_MT_478,2010,1.0,0.8448275862068966,58.0,15,25
SKG_MT_850,2010,1.0,0.875,128.0,63,21
SKG_MT_853,2010,1.0,0.9393939393939394,66.0,5,7
SKG_MT_488,2010,1.0,0.950413223140496,121.0,18,11
SKG_MT_838,2010,1.0,0.9097744360902256,133.0,88,27
SKG_MT_795,2010,1.0,0.8846153846153846,78.0,35,27
SKG_DIA_104,2010,1.0,1.0,56.0,29,27
SKG_SA_420,2010,1.0,0.9347826086956522,46.0,65,15
SKG_MT_547,2010,1.0,0.8833333333333333,60.0,79,29
SKG_MT_771,2010,1.0,0.9473684210526316,57.0,32,38
SKG_MT_567,2010,1.0,0.9107142857142856,56.0,15,13
SKG_SA_544,2010,1.0,0.9035087719298246,114.0,132,46
SKG_MT_585,2010,1.0,0.8653846153846154,104.0,6,18
SKG_MT_743,2010,1.0,0.9347826086956522,92.0,5,21
SKG_MT_715,2010,1.0,0.9,30.0,296,15
SKG_MT_660,2010,1.0,0.8611111111111112,36.0,20,18
SKG_SUM_67,2010,1.0,0.9411764705882352,68.0,37,16
SKG_SUM_42,2010,1.0,0.898876404494382,89.0,18,31
SKG_MT_137,2010,1.0,0.9347826086956522,46.0,90,12
SKG_SUM_83,2010,1.0,1.0,35.0,56,18
SKG_SUM_45,2011,0.0975297093391418,0.8985507246376812,69.0,39,22
SKG_PAR_94,2011,0.0753032565116882,0.8983050847457628,59.0,25,37
SKG_SUM_80,2011,0.0803451538085937,0.897196261682243,107.0,76,26
SKG_SA_505,2011,0.080845832824707,0.88,75.0,164,31
SKG_MT_620,2011,0.0779096484184265,0.0,2.0,6,17
SKG_MT_1399,2011,0.0858824849128723,0.9791666666666666,48.0,18,46
SKG_MT_565,2011,0.072100281715393,0.8363636363636363,55.0,7,15
SKG_MT_87,2011,0.0623736381530761,0.8688524590163934,61.0,20,26
SKG_SA_423,2011,0.0969975590705871,0.8540145985401459,137.0,846,32
SKG_MT_789,2011,0.0627534985542297,0.8125,48.0,2,21
SKG_MT_1220,2011,0.0664681196212768,0.8818181818181818,110.0,2,23
SKG_PAR_34,2011,0.1081368327140808,0.8333333333333334,12.0,6,11
SKG_MT_1330,2011,0.093691349029541,0.8867924528301887,53.0,17,26
SKG_MT_557,2011,0.0920189619064331,0.896551724137931,58.0,37,23
SKG_MT_820,2011,0.0587814450263977,0.8928571428571429,224.0,14,15
SKG_PAR_215,2011,0.0637636184692382,0.8181818181818182,22.0,62,49
SKG_QA_336,2011,0.0817294120788574,0.8,55.0,139,21
SKG_MT_308,2011,0.0818246603012085,0.7931034482758621,116.0,3,14
SKG_MT_300,2011,0.0724267959594726,0.8958333333333334,48.0,14,38
SKG_MT_117,2011,0.0692388415336608,0.8088235294117647,68.0,3,16
SKG_SA_351,2011,0.074949562549591,0.85625,160.0,108,41
SKG_MT_800,2011,0.0801229476928711,0.875,104.0,12,24
SKG_QA_5,2011,0.0763927698135376,0.8737864077669902,206.0,15,60
SKG_QA_240,2011,0.0987774729728698,0.8846153846153846,52.0,9,27
SKG_MT_1277,2011,0.0725264549255371,0.8761904761904762,105.0,10,45
SKG_QA_302,2011,0.0791858434677124,0.9157894736842104,95.0,248,28
SKG_MT_1024,2011,0.0761007070541381,0.8181818181818182,55.0,26,27
SKG_MT_144,2011,0.0711493492126464,0.7692307692307693,26.0,15,17
SKG_MT_813,2011,0.0594828724861145,0.896551724137931,29.0,9,28
SKG_SA_343,2011,0.0871251225471496,0.8879310344827587,116.0,140,21
SKG_SA_567,2011,0.0781906247138977,0.8636363636363636,132.0,38,20
SKG_MT_368,2011,0.0713342428207397,0.7699115044247787,113.0,62,21
SKG_MT_697,2011,0.0596944689750671,0.8904109589041096,73.0,5,34
SKG_MT_595,2011,0.0712191462516784,0.8243243243243243,74.0,11,17
SKG_MT_964,2011,0.0698896646499633,0.8048780487804879,41.0,4,13
SKG_MT_966,2011,0.0831929445266723,0.5,12.0,17,10
SKG_MT_962,2011,0.0817294120788574,0.0,55.0,139,21
SKG_DIA_288,2011,0.0794779062271118,0.8842975206611571,121.0,14,37
SKG_MT_496,2011,0.0598970651626586,0.896551724137931,58.0,9,31
SKG_DIA_213,2011,0.0914127230644226,0.7631578947368421,38.0,53,43
SKG_MT_881,2011,0.0640358924865722,0.8431372549019608,102.0,43,24
SKG_SA_77,2011,0.0714505910873413,0.8581560283687943,141.0,167,27
SKG_MT_1306,2011,0.0639931559562683,0.905982905982906,117.0,18,34
SKG_MT_58,2011,0.0792745351791381,0.8804347826086957,92.0,10,16
SKG_MT_280,2011,0.0778099298477172,0.9047619047619048,42.0,97,25
SKG_MT_286,2011,0.0645549893379211,0.8695652173913043,69.0,17,46
SKG_MT_919,2011,0.0713245272636413,0.953125,64.0,8,82
SKG_MT_440,2011,0.0714189410209655,0.8875,80.0,11,20
SKG_MT_1111,2011,0.1582053303718567,0.8717948717948718,39.0,17,14
SKG_MT_1129,2011,0.0831929445266723,0.7037037037037037,27.0,17,10
SKG_SA_181,2011,0.1267598867416381,0.875,8.0,18,15
SKG_DIA_253,2011,0.1537460088729858,1.0,9.0,1,2
SKG_DIA_233,2011,0.1017923355102539,1.0,2.0,8,20
SKG_SA_192,2011,0.0742758512496948,0.811965811965812,117.0,246,10
SKG_MT_409,2011,0.0823343396186828,0.86,100.0,14,22
SKG_MT_1227,2011,0.1036261320114135,0.8888888888888888,9.0,56,15
SKG_QA_392,2011,0.0835984349250793,0.8863636363636364,44.0,8,26
SKG_PAR_14,2011,0.0810891985893249,0.9642857142857144,28.0,28,35
SKG_MT_1132,2011,0.1582053303718567,0.8181818181818182,22.0,17,14
SKG_PAR_89,2011,0.0779096484184265,1.0,2.0,6,17
SKG_MT_1003,2011,0.0673406720161438,0.875,56.0,6,9
SKG_MT_712,2011,0.0644801259040832,0.8313253012048193,83.0,15,35
SKG_SUM_130,2011,0.0881215929985046,0.8333333333333334,24.0,22,10
SKG_SUM_110,2011,0.0987774729728698,0.0,52.0,9,27
SKG_QA_219,2012,0.2247680425643921,0.9016393442622952,61.0,15,27
SKG_QA_203,2012,0.081044316291809,0.819672131147541,61.0,8,12
SKG_MT_1421,2012,0.0638030171394348,0.9175257731958762,97.0,24,28
SKG_MT_7,2012,0.0465515255928039,0.9020618556701032,194.0,22,26
SKG_MT_832,2012,0.0646654367446899,0.8571428571428571,70.0,25,30
SKG_MT_835,2012,0.0785533189773559,0.9545454545454546,22.0,1,21
SKG_MT_93,2012,0.057294487953186,0.813953488372093,43.0,48,45
SKG_SA_268,2012,0.0669161677360534,0.9142857142857144,35.0,163,40
SKG_PAR_200,2012,0.0904749035835266,0.8,50.0,21,19
SKG_MT_535,2012,0.0630649328231811,0.8245614035087719,114.0,40,24
SKG_PAR_3,2012,0.0882841348648071,0.912087912087912,91.0,44,35
SKG_SA_565,2012,0.0702971220016479,0.8666666666666667,60.0,23,24
SKG_MT_1327,2012,0.0649099349975586,0.8543689320388349,103.0,5,31
SKG_MT_1276,2012,0.0527820587158203,0.6363636363636364,121.0,15,25
SKG_MT_346,2012,0.0624645352363586,0.8468468468468469,111.0,56,21
SKG_MT_1165,2012,0.0577147603034973,0.8732394366197183,71.0,37,44
SKG_MT_1395,2012,0.0615200996398925,0.7830188679245284,106.0,13,18
SKG_MT_1400,2012,0.0607118606567382,0.7241379310344828,29.0,22,21
SKG_MT_613,2012,0.0706620216369628,0.8909090909090909,110.0,19,41
SKG_MT_622,2012,0.0853622555732727,0.9285714285714286,42.0,2,0
SKG_MT_576,2012,0.0871419906616211,0.8,10.0,3,25
SKG_SA_554,2012,0.0797170400619506,0.8737864077669902,103.0,61,16
SKG_MT_1177,2012,0.0565539598464965,0.8529411764705882,136.0,5,34
SKG_MT_1425,2012,0.0613471269607543,0.8225806451612904,62.0,8,20
SKG_MT_550,2012,0.3261781334877014,0.8837209302325582,86.0,121,33
SKG_MT_85,2012,0.0576705932617187,0.75,48.0,8,14
SKG_MT_92,2012,0.0638030767440795,0.8095238095238095,21.0,24,28
SKG_MT_89,2012,0.0713000297546386,0.7767857142857143,112.0,169,21
SKG_MT_1175,2012,0.2247680425643921,0.9166666666666666,12.0,7,17
SKG_MT_788,2012,0.0719618797302246,0.8414634146341463,82.0,15,33
SKG_MT_1376,2012,0.0544444918632507,0.797752808988764,89.0,8,18
SKG_MT_1473,2012,0.0548218488693237,0.851063829787234,47.0,34,30
SKG_SA_24,2012,0.0850467681884765,0.7735849056603774,53.0,966,21
SKG_MT_1361,2012,0.0618534088134765,0.8771929824561403,114.0,70,42
SKG_MT_1236,2012,0.1268393397331237,0.8723404255319149,47.0,26,11
SKG_MT_1228,2012,0.0527820587158203,0.8205128205128205,39.0,15,25
SKG_SA_148,2012,0.0815777778625488,0.9607843137254902,51.0,96,26
SKG_MT_78,2012,0.0638933181762695,0.9019607843137256,51.0,239,33
SKG_MT_74,2012,0.0711768865585327,0.7941176470588235,102.0,45,46
SKG_MT_451,2012,0.0752840042114257,0.0,104.0,27,22
SKG_MT_239,2012,0.0627366304397583,0.7894736842105263,19.0,87,26
SKG_MT_234,2012,0.0682916641235351,0.8468468468468469,111.0,87,17
SKG_MT_373,2012,0.0809394717216491,0.7659574468085106,47.0,16,31
SKG_MT_389,2012,0.193372905254364,0.6666666666666666,6.0,26,18
SKG_MT_259,2012,0.0677522420883178,0.8512396694214877,121.0,5,12
SKG_MT_480,2012,0.0843323469161987,0.8507462686567164,67.0,51,21
SKG_MT_865,2012,0.0649654269218444,0.8225806451612904,62.0,4,9
SKG_DIA_182,2012,0.075396180152893,0.88,25.0,37,37
SKG_MT_453,2012,0.0617653131484985,0.847457627118644,118.0,143,29
SKG_MT_469,2012,0.0702484250068664,0.8961038961038961,77.0,40,35
SKG_DIA_231,2012,0.0943211317062377,0.8666666666666667,15.0,175,16
SKG_MT_981,2012,0.1017748713493347,0.9444444444444444,18.0,1,9
SKG_QA_417,2012,0.1160544157028198,0.8,80.0,66,28
SKG_SA_5,2012,0.0684612393379211,0.8644986449864499,369.0,65,25
SKG_MT_1077,2012,0.0778141021728515,0.8301886792452831,106.0,138,32
SKG_QA_487,2012,0.0831014513969421,0.75,60.0,5,27
SKG_MT_283,2012,0.0653910636901855,0.8592592592592593,135.0,8,35
SKG_MT_1062,2012,0.0691310763359069,0.8625,80.0,25,16
SKG_MT_1065,2012,0.0589469671249389,0.7228915662650602,83.0,43,22
SKG_MT_945,2012,0.060080349445343,0.8363636363636363,55.0,3,12
SKG_MT_410,2012,0.0525129437446594,0.8055555555555556,108.0,4,33
SKG_PAR_127,2012,0.0798236727714538,0.9,50.0,9,32
SKG_MT_1174,2012,0.0695432424545288,0.82,100.0,5,11
SKG_MT_1191,2012,0.0602669715881347,0.8809523809523809,42.0,10,12
SKG_MT_1209,2012,0.0874096751213073,0.9142857142857144,70.0,102,52
SKG_MT_1349,2012,0.0647686123847961,0.7833333333333333,60.0,8,24
SKG_MT_415,2012,0.0758464932441711,0.8205128205128205,39.0,3,20
SKG_SUM_72,2012,0.0752841234207153,0.8365384615384616,104.0,27,22
SKG_MT_724,2012,0.052322506904602,0.8503937007874016,127.0,2,33
SKG_SUM_147,2012,0.0758377313613891,0.9310344827586208,29.0,62,11
SKG_SUM_59,2012,0.0770832896232605,0.9324324324324323,148.0,116,25
SKG_SUM_97,2012,0.2247680425643921,0.0,61.0,15,27
SKG_MT_131,2012,0.0604683756828308,0.7708333333333334,96.0,58,44
SKG_SUM_0,2013,0.0624143481254577,0.8181818181818182,187.0,69,34
SKG_SUM_34,2013,0.0767410397529602,0.8461538461538461,52.0,6,23
SKG_MT_1280,2013,0.0744708776473999,0.7884615384615384,52.0,46,21
SKG_MT_1282,2013,0.0525078773498535,0.6813186813186813,91.0,23,25
SKG_MT_1290,2013,0.060525894165039,0.8849557522123894,113.0,36,51
SKG_SUM_76,2013,0.0782910585403442,0.8727272727272727,55.0,4,29
SKG_SA_609,2013,0.0696278810501098,0.8045112781954887,133.0,14,20
SKG_SA_590,2013,0.0763561129570007,0.7818181818181819,55.0,1,21
SKG_SA_597,2013,0.138334572315216,0.9047619047619048,126.0,6646,42
SKG_MT_707,2013,0.0678014755249023,0.8188405797101449,138.0,15,36
SKG_MT_708,2013,0.0545026659965515,0.7073170731707317,82.0,41,17
SKG_SA_435,2013,0.0759094953536987,0.8741721854304636,151.0,460,15
SKG_MT_740,2013,0.0418449640274047,0.8616352201257862,159.0,4,16
SKG_MT_741,2013,0.0563573837280273,0.6511627906976745,86.0,20,23
SKG_MT_748,2013,0.0639790296554565,0.8205128205128205,78.0,54,35
SKG_MT_752,2013,0.0510318875312805,0.7721518987341772,158.0,14,33
SKG_MT_719,2013,0.0570704340934753,0.8309859154929577,71.0,17,17
SKG_MT_725,2013,0.0620109438896179,0.8048780487804879,82.0,1,25
SKG_SA_414,2013,0.0878200531005859,0.8518518518518519,54.0,216,27
SKG_SUM_154,2013,0.064860463142395,0.8297872340425532,47.0,29,19
SKG_SUM_155,2013,0.0877525210380554,0.9117647058823528,68.0,48,34
SKG_MT_682,2013,0.0614219903945922,0.77,100.0,14,49
SKG_SUM_180,2013,0.0831772089004516,0.9078947368421052,76.0,32,13
SKG_MT_80,2013,0.0624047517776489,0.8181818181818182,44.0,3,19
SKG_MT_1310,2013,0.0624639391899108,0.8142857142857143,140.0,83,61
SKG_MT_1242,2013,0.0610231161117553,0.7549019607843137,102.0,39,19
SKG_MT_147,2013,0.0627278089523315,0.7454545454545455,55.0,9,12
SKG_MT_156,2013,0.0712144970893859,0.684931506849315,73.0,3,27
SKG_MT_1211,2013,0.0696783065795898,0.7105263157894737,38.0,32,21
SKG_MT_940,2013,0.0631424188613891,0.7710843373493976,83.0,6,17
SKG_MT_1101,2013,0.0625160336494445,0.8172043010752689,93.0,31,36
SKG_MT_268,2013,0.0634828805923461,0.8785046728971962,107.0,26,32
SKG_MT_277,2013,0.0473617315292358,0.8258064516129032,155.0,8,22
SKG_PAR_106,2013,0.0696266889572143,0.8472222222222222,72.0,4,36
SKG_MT_282,2013,0.0601127743721008,0.8051948051948052,77.0,7,39
SKG_MT_290,2013,0.0908969640731811,0.8461538461538461,143.0,10,31
SKG_MT_1069,2013,0.0793808698654174,0.8627450980392157,51.0,11,23
SKG_MT_1082,2013,0.0689711570739746,0.8301886792452831,159.0,39,34
SKG_MT_955,2013,0.0622563362121582,0.8142857142857143,70.0,1,32
SKG_MT_922,2013,0.0773527026176452,0.8461538461538461,52.0,32,27
SKG_SA_32,2013,0.0758070945739746,0.8260869565217391,69.0,79,58
