paper_id,year,cited_by_count,reference_count
NOVEL_DIA_0,2021,0,23
NOVEL_DIA_1,2021,12,71
NOVEL_DIA_2,2021,19,21
NOVEL_DIA_3,2021,5,39
NOVEL_DIA_4,2021,6,50
NOVEL_DIA_5,2021,0,35
NOVEL_DIA_6,2021,11,41
NOVEL_DIA_8,2021,18,28
NOVEL_DIA_10,2021,14,70
NOVEL_DIA_11,2021,57,39
NOVEL_DIA_12,2021,1,8
NOVEL_DIA_13,2021,12,64
NOVEL_DIA_14,2021,1,32
NOVEL_DIA_16,2021,37,46
NOVEL_DIA_17,2021,24,48
NOVEL_DIA_18,2021,15,52
NOVEL_DIA_20,2021,10,42
NOVEL_DIA_21,2021,31,68
NOVEL_DIA_22,2021,27,55
NOVEL_DIA_23,2021,0,35
NOVEL_DIA_24,2021,6,27
NOVEL_DIA_25,2021,2,27
NOVEL_DIA_26,2021,18,58
NOVEL_DIA_28,2021,2,48
NOVEL_DIA_29,2021,49,71
NOVEL_DIA_30,2021,20,40
NOVEL_DIA_31,2021,22,40
NOVEL_DIA_33,2021,8,57
NOVEL_DIA_34,2021,39,70
NOVEL_DIA_35,2021,51,32
NOVEL_DIA_37,2021,42,45
NOVEL_DIA_39,2021,4,35
NOVEL_DIA_40,2021,1,18
NOVEL_DIA_41,2021,35,47
NOVEL_DIA_42,2021,13,49
NOVEL_DIA_43,2021,43,62
NOVEL_DIA_44,2021,85,48
NOVEL_DIA_45,2021,72,69
NOVEL_DIA_47,2021,12,33
NOVEL_DIA_49,2021,11,57
NOVEL_DIA_50,2021,9,33
NOVEL_DIA_51,2021,35,55
NOVEL_DIA_52,2021,18,69
NOVEL_DIA_53,2021,15,53
NOVEL_DIA_54,2021,3,20
NOVEL_DIA_55,2021,8,15
NOVEL_DIA_56,2021,85,21
NOVEL_DIA_59,2021,60,39
NOVEL_DIA_63,2021,19,31
NOVEL_DIA_65,2021,8,63
NOVEL_DIA_66,2021,13,32
NOVEL_DIA_67,2021,5,52
NOVEL_DIA_68,2021,26,47
NOVEL_DIA_69,2021,7,30
NOVEL_DIA_70,2021,10,63
NOVEL_DIA_71,2021,5,34
SKG_DIA_0,2019,46,41
SKG_DIA_2,2020,84,34
SKG_DIA_3,2020,33,61
SKG_DIA_4,2019,10,25
SKG_DIA_6,2019,1,12
SKG_DIA_7,2020,5,36
SKG_DIA_8,2019,84,102
SKG_DIA_9,2018,40,16
SKG_DIA_10,2020,121,48
SKG_DIA_11,2020,11,25
SKG_DIA_12,2020,8,42
SKG_DIA_13,2020,5,16
SKG_DIA_14,2020,12,22
SKG_DIA_15,2016,95,43
SKG_DIA_16,2020,17,33
SKG_DIA_17,2020,18,64
SKG_DIA_18,2020,141,44
SKG_DIA_21,2017,44,35
SKG_DIA_22,2020,18,45
SKG_DIA_23,2019,45,37
SKG_DIA_24,2017,145,24
SKG_DIA_25,2017,32,26
SKG_DIA_27,2019,247,28
SKG_DIA_29,2020,44,44
SKG_DIA_30,2019,57,34
SKG_DIA_31,2017,36,15
SKG_DIA_32,2018,14,29
SKG_DIA_34,2018,233,44
SKG_DIA_35,2020,3,29
SKG_DIA_36,2019,76,50
SKG_DIA_39,2020,57,56
SKG_DIA_40,2015,3,20
SKG_DIA_41,2020,32,38
SKG_DIA_42,2020,41,21
SKG_DIA_44,2019,16,12
SKG_DIA_45,2020,58,40
SKG_DIA_46,2017,9,62
SKG_DIA_47,2020,6,35
SKG_DIA_49,2020,9,24
SKG_DIA_50,2019,6,44
SKG_DIA_51,2019,8,27
SKG_DIA_53,2020,152,29
SKG_DIA_54,2018,53,32
SKG_DIA_55,2020,7,31
SKG_DIA_57,2017,17,22
SKG_DIA_58,2018,150,41
SKG_DIA_60,2020,20,32
SKG_DIA_61,2020,30,40
SKG_DIA_62,2019,39,46
SKG_DIA_64,2014,8,31
SKG_DIA_65,2020,21,27
SKG_DIA_66,2019,126,34
SKG_DIA_68,2017,9,23
SKG_DIA_69,2020,22,21
SKG_DIA_70,2020,2,38
SKG_DIA_72,2020,70,42
SKG_DIA_73,2020,227,42
SKG_DIA_75,2020,33,31
SKG_DIA_76,2019,53,28
SKG_DIA_77,2018,74,34
SKG_DIA_78,2017,24,40
SKG_DIA_84,2019,37,29
SKG_DIA_86,2016,4,27
SKG_DIA_87,2017,19,0
SKG_DIA_88,2020,67,32
SKG_DIA_89,2018,14,22
SKG_DIA_90,2019,74,52
SKG_DIA_96,2019,12,27
SKG_DIA_97,2020,21,34
SKG_DIA_98,2020,46,51
SKG_DIA_99,2020,21,40
SKG_DIA_101,2020,56,42
SKG_DIA_102,2020,207,47
SKG_DIA_103,2020,103,39
SKG_DIA_104,2010,29,27
SKG_DIA_105,2020,11,53
SKG_DIA_106,2019,12,42
SKG_DIA_107,2020,20,40
SKG_DIA_108,2017,153,68
SKG_DIA_109,2016,60,0
SKG_DIA_111,2019,15,34
SKG_DIA_112,2020,10,23
SKG_DIA_113,2019,62,33
SKG_DIA_115,2020,30,59
SKG_DIA_116,2020,31,35
SKG_DIA_119,2020,6,50
SKG_DIA_120,2018,181,28
SKG_DIA_123,2019,1,0
SKG_DIA_124,2020,30,51
SKG_DIA_126,2020,102,55
SKG_DIA_127,2018,0,35
SKG_DIA_128,2018,1157,34
SKG_DIA_129,2019,18,22
SKG_DIA_137,2018,128,38
SKG_DIA_139,2019,185,45
