paper_id,year,semantic_knn,structural_novelty,triple_count,cited_by_count,reference_count
SKG_SUM_7,2010,1.0,1.0,336.0,20,26
SKG_MT_1325,2010,1.0,1.0,107.0,34,21
SKG_MT_1231,2010,1.0,1.0,59.0,4,14
SKG_MT_1232,2010,1.0,1.0,95.0,14,13
SKG_MT_388,2010,1.0,1.0,61.0,32,29
SKG_MT_1313,2010,1.0,1.0,50.0,7,24
SKG_MT_1320,2010,1.0,1.0,54.0,2,13
SKG_MT_157,2010,1.0,1.0,47.0,19,17
SKG_MT_1199,2010,1.0,1.0,22.0,3,18
SKG_MT_61,2010,1.0,1.0,91.0,13,27
SKG_MT_1193,2010,1.0,1.0,95.0,4,29
SKG_MT_15,2010,1.0,1.0,22.0,8,7
SKG_MT_17,2010,1.0,1.0,2.0,41,3
SKG_MT_1375,2010,1.0,1.0,71.0,7,15
SKG_MT_1384,2010,1.0,1.0,146.0,30,13
SKG_MT_1394,2010,1.0,1.0,28.0,2,13
SKG_MT_646,2010,1.0,1.0,30.0,17,11
SKG_MT_174,2010,1.0,1.0,18.0,24,15
SKG_MT_194,2010,1.0,1.0,97.0,30,63
SKG_MT_196,2010,1.0,1.0,17.0,61,9
SKG_PAR_69,2010,1.0,1.0,61.0,75,34
SKG_MT_1151,2010,1.0,1.0,70.0,3,17
SKG_MT_1167,2010,1.0,1.0,74.0,7,15
SKG_PAR_87,2010,1.0,1.0,149.0,9,31
SKG_MT_287,2010,1.0,1.0,85.0,0,14
SKG_MT_1074,2010,1.0,1.0,99.0,59,30
SKG_QA_101,2010,1.0,1.0,23.0,246,35
SKG_PAR_202,2010,1.0,1.0,53.0,4,20
SKG_PAR_219,2010,1.0,1.0,116.0,29,25
SKG_MT_390,2010,1.0,1.0,25.0,20,10
SKG_MT_968,2010,1.0,1.0,66.0,7,15
SKG_QA_416,2010,1.0,1.0,42.0,2,7
SKG_SA_527,2010,1.0,1.0,106.0,41,18
SKG_MT_603,2010,1.0,1.0,49.0,15,27
SKG_MT_606,2010,1.0,1.0,109.0,12,24
SKG_SA_83,2010,1.0,1.0,55.0,8,14
SKG_DIA_210,2010,1.0,1.0,50.0,28,23
SKG_SA_217,2010,1.0,1.0,35.0,56,18
SKG_DIA_209,2010,1.0,1.0,54.0,43,28
SKG_MT_478,2010,1.0,1.0,58.0,15,25
SKG_MT_850,2010,1.0,1.0,128.0,63,21
SKG_MT_853,2010,1.0,1.0,66.0,5,7
SKG_MT_488,2010,1.0,1.0,121.0,18,11
SKG_MT_838,2010,1.0,1.0,133.0,88,27
SKG_MT_795,2010,1.0,1.0,78.0,35,27
SKG_DIA_104,2010,1.0,1.0,56.0,29,27
SKG_SA_420,2010,1.0,1.0,46.0,65,15
SKG_MT_547,2010,1.0,1.0,60.0,79,29
SKG_MT_771,2010,1.0,1.0,57.0,32,38
SKG_MT_567,2010,1.0,1.0,56.0,15,13
SKG_SA_544,2010,1.0,1.0,114.0,132,46
SKG_MT_585,2010,1.0,1.0,104.0,6,18
SKG_MT_743,2010,1.0,1.0,92.0,5,21
SKG_MT_715,2010,1.0,1.0,30.0,296,15
SKG_MT_660,2010,1.0,1.0,36.0,20,18
SKG_SUM_67,2010,1.0,1.0,68.0,37,16
SKG_SUM_42,2010,1.0,1.0,89.0,18,31
SKG_MT_137,2010,1.0,1.0,46.0,90,12
SKG_SUM_83,2010,1.0,1.0,35.0,56,18
SKG_SUM_45,2011,0.9024702906608582,0.9130434782608696,69.0,39,22
SKG_PAR_94,2011,0.9246967434883118,0.8983050847457628,59.0,25,37
SKG_SUM_80,2011,0.9196548461914062,0.9345794392523364,107.0,76,26
SKG_SA_505,2011,0.919154167175293,0.9066666666666666,75.0,164,31
SKG_MT_620,2011,0.9220903515815736,1.0,2.0,6,17
SKG_MT_1399,2011,0.9141175150871276,0.9791666666666666,48.0,18,46
SKG_MT_565,2011,0.9278997182846068,0.8545454545454545,55.0,7,15
SKG_MT_87,2011,0.9376263618469238,0.8852459016393442,61.0,20,26
SKG_SA_423,2011,0.9030024409294128,0.8759124087591241,137.0,846,32
SKG_MT_789,2011,0.9372465014457704,0.8125,48.0,2,21
SKG_MT_1220,2011,0.9335318803787231,0.8818181818181818,110.0,2,23
SKG_PAR_34,2011,0.8918631672859192,0.8333333333333334,12.0,6,11
SKG_MT_1330,2011,0.906308650970459,0.8867924528301887,53.0,17,26
SKG_MT_557,2011,0.9079810380935668,0.896551724137931,58.0,37,23
SKG_MT_820,2011,0.9412185549736024,0.9285714285714286,224.0,14,15
SKG_PAR_215,2011,0.9362363815307616,0.8181818181818182,22.0,62,49
SKG_QA_336,2011,0.9182705879211426,0.8363636363636363,55.0,139,21
SKG_MT_308,2011,0.9181753396987916,0.8275862068965517,116.0,3,14
SKG_MT_300,2011,0.9275732040405272,0.8958333333333334,48.0,14,38
SKG_MT_117,2011,0.9307611584663392,0.8529411764705882,68.0,3,16
SKG_SA_351,2011,0.9250504374504088,0.8625,160.0,108,41
SKG_MT_800,2011,0.9198770523071288,0.875,104.0,12,24
SKG_QA_5,2011,0.9236072301864624,0.8932038834951457,206.0,15,60
SKG_QA_240,2011,0.90122252702713,0.8846153846153846,52.0,9,27
SKG_MT_1277,2011,0.9274735450744628,0.8761904761904762,105.0,10,45
