node_id,node_type,title,domain,split,year,openalex_id,cited_by_count,score,method
NOVEL_DIA_0,Paper,MRF-Chat Improving Dialogue with Markov Random Fields,DIA,NOVEL,2021.0,https://openalex.org/W3214342458,0.0,0.606480832676249,tfidf
NOVEL_DIA_1,Paper,Towards Making the Most of Dialogue Characteristics for Neural Chat Translation,DIA,NOVEL,2021.0,https://openalex.org/W3196896228,12.0,0.6639801791784395,tfidf
NOVEL_DIA_2,Paper,Domain-Adaptive Pretraining Methods for Dialogue Understanding,DIA,NOVEL,2021.0,https://openalex.org/W3173606101,19.0,0.6681123619566519,tfidf
NOVEL_DIA_3,Paper,Adaptive Bridge between Training and Inference for Dialogue Generation,DIA,NOVEL,2021.0,https://openalex.org/W3214623240,5.0,0.6368466081691573,tfidf
NOVEL_DIA_4,Paper,Controlling Dialogue Generation with Semantic Exemplars,DIA,NOVEL,2021.0,https://openalex.org/W3074476581,6.0,0.8115831881603016,tfidf
NOVEL_DIA_5,Paper,Proxy Indicators for the Quality of Open-domain Dialogues,DIA,NOVEL,2021.0,https://openalex.org/W3212156931,0.0,0.5603845142486377,tfidf
NOVEL_DIA_6,Paper,Cross-lingual Intermediate Fine-tuning improves Dialogue State Tracking,DIA,NOVEL,2021.0,https://openalex.org/W3202597539,11.0,0.8291579516515237,tfidf
NOVEL_DIA_8,Paper,"Continual Learning for Task-oriented Dialogue System with Iterative Network Pruning, Expanding and Masking",DIA,NOVEL,2021.0,https://openalex.org/W3175994953,18.0,0.7839010465535245,tfidf
NOVEL_DIA_10,Paper,Transferable Persona-Grounded Dialogues via Grounded Minimal Edits,DIA,NOVEL,2021.0,https://openalex.org/W3200036871,14.0,0.7908246636111232,tfidf
NOVEL_DIA_11,Paper,Bot-Adversarial Dialogue for Safe Conversational Agents,DIA,NOVEL,2021.0,https://openalex.org/W3171850892,57.0,0.5015595558777376,tfidf
NOVEL_DIA_12,Paper,Different Strokes for Different Folks Investigating Appropriate Further Pre-training Approaches for Diverse Dialogue Tasks,DIA,NOVEL,2021.0,https://openalex.org/W3200506654,1.0,0.7350550200422108,tfidf
NOVEL_DIA_13,Paper,Reference-Centric Models for Grounded Collaborative Dialogue,DIA,NOVEL,2021.0,https://openalex.org/W3201144093,12.0,0.6711792945861816,semantic
NOVEL_DIA_14,Paper,RAST Domain-Robust Dialogue Rewriting as Sequence Tagging,DIA,NOVEL,2021.0,https://openalex.org/W3212307878,1.0,0.5172872147568967,tfidf
NOVEL_DIA_16,Paper,"“Nice Try, Kiddo” Investigating Ad Hominems in Dialogue Responses",DIA,NOVEL,2021.0,https://openalex.org/W3166704354,37.0,0.7675490876362483,tfidf
NOVEL_DIA_17,Paper,A Three-Stage Learning Framework for Low-Resource Knowledge-Grounded Dialogue Generation,DIA,NOVEL,2021.0,https://openalex.org/W3198455100,24.0,0.6794986963787517,tfidf
NOVEL_DIA_18,Paper,CoLV A Collaborative Latent Variable Model for Knowledge-Grounded Dialogue Generation,DIA,NOVEL,2021.0,https://openalex.org/W3213758350,15.0,0.7533160827837886,tfidf
NOVEL_DIA_20,Paper,A Comparative Study on Schema-Guided Dialogue State Tracking,DIA,NOVEL,2021.0,https://openalex.org/W3158235155,10.0,0.5027598969208114,tfidf
NOVEL_DIA_21,Paper,Simple Conversational Data Augmentation for Semi-supervised Abstractive Dialogue Summarization,DIA,NOVEL,2021.0,https://openalex.org/W3212362289,31.0,0.7717041080341753,tfidf
NOVEL_DIA_22,Paper,"Thinking Clearly, Talking Fast Concept-Guided Non-Autoregressive Generation for Open-Domain Dialogue Systems",DIA,NOVEL,2021.0,https://openalex.org/W3197754599,27.0,0.7438638572946213,tfidf
NOVEL_DIA_23,Paper,Effective Sequence-to-Sequence Dialogue State Tracking,DIA,NOVEL,2021.0,https://openalex.org/W3197133421,0.0,0.5646980876878005,tfidf
NOVEL_DIA_24,Paper,Looking for Confirmations An Effective and Human-Like Visual Dialogue Strategy,DIA,NOVEL,2021.0,https://openalex.org/W3200001502,6.0,0.6032394175454586,tfidf
NOVEL_DIA_25,Paper,Clipping Loops for Sample-Efficient Dialogue Policy Optimisation,DIA,NOVEL,2021.0,https://openalex.org/W3170644973,2.0,0.7546664423467782,tfidf
NOVEL_DIA_26,Paper,Low-Resource Dialogue Summarization with Domain-Agnostic Multi-Source Pretraining,DIA,NOVEL,2021.0,https://openalex.org/W3196326437,18.0,0.5976260710801453,tfidf
NOVEL_DIA_28,Paper,Zero-Shot Dialogue State Tracking via Cross-Task Transfer,DIA,NOVEL,2021.0,https://openalex.org/W3200546165,2.0,0.7532915118880041,tfidf
NOVEL_DIA_29,Paper,Just Say No Analyzing the Stance of Neural Dialogue Generation in Offensive Contexts,DIA,NOVEL,2021.0,https://openalex.org/W3194113117,49.0,0.5766658980932035,tfidf
NOVEL_DIA_30,Paper,CSDS A Fine-Grained Chinese Dataset for Customer Service Dialogue Summarization,DIA,NOVEL,2021.0,https://openalex.org/W3198548340,20.0,0.5096469572068544,tfidf
NOVEL_DIA_31,Paper,DIALKI Knowledge Identification in Conversational Systems through Dialogue-Document Contextualization,DIA,NOVEL,2021.0,https://openalex.org/W3199691415,22.0,0.6657202521929985,tfidf
NOVEL_DIA_33,Paper,Uncertainty Measures in Neural Belief Tracking and the Effects on Dialogue Policy Performance,DIA,NOVEL,2021.0,https://openalex.org/W3196636639,8.0,0.7390749574177914,tfidf
NOVEL_DIA_34,Paper,Learning Neural Templates for Recommender Dialogue System,DIA,NOVEL,2021.0,https://openalex.org/W3204697369,39.0,0.7292700588122651,tfidf
