split,metric,n,mean,std,median,p25,p75,min,max
SKG,struct_norm,2916,0.6412,0.3128,0.7482,0.6541,0.8193,0.0,1.0
SKG,semantic_norm,2916,0.8389,0.0714,0.8508,0.8217,0.8694,0.0,1.0
SKG,composite_novelty,2916,0.7594,0.0835,0.7808,0.7459,0.8032,0.1652,0.9612
SKG,transe_unexpectedness,2916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKG,tgn_unexpectedness,2916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKG,kg_unexpectedness,2916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKG,disruptiveness,2916,0.6143,0.0761,0.6338,0.602,0.6543,0.0723,0.7984
NOVEL,struct_norm,762,0.4679,0.3503,0.6636,0.0,0.73,0.0,1.0
NOVEL,semantic_norm,762,0.8374,0.0997,0.8522,0.808,0.8833,0.1211,1.0
NOVEL,composite_novelty,762,0.7255,0.1052,0.7592,0.6489,0.7986,0.1844,0.9106
NOVEL,transe_unexpectedness,762,0.3463,0.2829,0.4756,0.0,0.5836,0.0,1.0
NOVEL,tgn_unexpectedness,762,0.6461,0.344,0.5634,0.44,1.0,0.0,1.0
NOVEL,kg_unexpectedness,762,0.4962,0.1272,0.5,0.5,0.5566,0.0,0.784
NOVEL,disruptiveness,762,0.7774,0.1176,0.8014,0.7048,0.8689,0.2151,1.0
BLOG,struct_norm,564,0.2927,0.4216,0.0,0.0,0.7445,0.0,1.0
BLOG,semantic_norm,564,0.7631,0.1003,0.7938,0.7106,0.8312,0.0282,0.9193
BLOG,composite_novelty,564,0.6573,0.1078,0.646,0.5957,0.7515,0.0859,0.8922
BLOG,transe_unexpectedness,564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLOG,tgn_unexpectedness,564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLOG,kg_unexpectedness,564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLOG,disruptiveness,564,0.5212,0.0983,0.5109,0.4651,0.6071,0.0,0.7354
ALL,struct_norm,4242,0.5637,0.3583,0.7173,0.0,0.8014,0.0,1.0
ALL,semantic_norm,4242,0.8286,0.0853,0.8455,0.8082,0.8685,0.0,1.0
ALL,composite_novelty,4242,0.7397,0.0976,0.7727,0.6624,0.8002,0.0859,0.9612
ALL,transe_unexpectedness,4242,0.0622,0.179,0.0,0.0,0.0,0.0,1.0
ALL,tgn_unexpectedness,4242,0.1161,0.2877,0.0,0.0,0.0,0.0,1.0
ALL,kg_unexpectedness,4242,0.0891,0.198,0.0,0.0,0.0,0.0,0.784
ALL,disruptiveness,4242,0.6312,0.1157,0.6368,0.5882,0.6696,0.0,1.0
