paper_id,split,domain,tsne_x,tsne_y
SKG_MT_1151,SKG,MT,-43.00232,32.4323
SKG_SUM_67,SKG,SUM,-22.164751,11.410172
SKG_MT_287,SKG,MT,-26.009232,28.804455
SKG_SUM_83,SKG,SUM,46.184814,-13.848868
SKG_SUM_42,SKG,SUM,-41.71486,3.672392
SKG_MT_1074,SKG,MT,-22.62633,29.589373
SKG_PAR_202,SKG,PAR,-22.20559,30.917643
SKG_MT_390,SKG,MT,-21.583141,38.63705
SKG_MT_488,SKG,MT,-44.361874,34.17734
SKG_MT_157,SKG,MT,-37.419266,32.337982
SKG_SUM_7,SKG,SUM,-32.909794,9.957049
SKG_MT_194,SKG,MT,-6.9386487,51.14266
SKG_MT_478,SKG,MT,-37.052452,27.458887
SKG_MT_1199,SKG,MT,-42.258205,29.856361
SKG_MT_196,SKG,MT,-2.9779506,39.792686
SKG_PAR_219,SKG,PAR,-40.033417,5.2810946
SKG_MT_174,SKG,MT,-7.4656014,16.843765
SKG_QA_101,SKG,QA,-29.372967,38.187626
SKG_MT_1231,SKG,MT,20.134968,50.507355
SKG_MT_15,SKG,MT,-11.34217,44.834026
SKG_MT_17,SKG,MT,-23.546844,42.62343
SKG_MT_1232,SKG,MT,-30.120476,31.037487
SKG_MT_603,SKG,MT,-19.991499,39.162395
SKG_MT_567,SKG,MT,-22.737696,33.05809
SKG_MT_61,SKG,MT,-11.435644,22.151361
SKG_SA_544,SKG,SA,-13.406098,7.9268937
SKG_MT_968,SKG,MT,-18.806484,46.50467
SKG_MT_547,SKG,MT,-14.884833,41.333466
SKG_PAR_87,SKG,PAR,-16.668802,31.957571
SKG_DIA_104,SKG,DIA,8.689097,16.575317
SKG_PAR_69,SKG,PAR,-21.255379,25.472422
SKG_MT_137,SKG,MT,-23.006613,46.36975
SKG_MT_606,SKG,MT,-33.948723,35.37416
SKG_SA_527,SKG,SA,-31.913305,6.459729
SKG_MT_585,SKG,MT,-17.003101,43.795925
SKG_MT_646,SKG,MT,-15.999777,52.9641
SKG_QA_416,SKG,QA,-15.61725,8.998345
SKG_MT_660,SKG,MT,-15.920169,42.589153
SKG_MT_388,SKG,MT,-33.889606,36.560448
SKG_MT_1313,SKG,MT,-17.457523,36.860256
SKG_SA_83,SKG,SA,-35.144054,9.139191
SKG_MT_795,SKG,MT,-36.06578,33.6889
SKG_MT_1384,SKG,MT,-43.82282,27.700762
SKG_MT_1167,SKG,MT,-18.806376,46.504585
SKG_MT_853,SKG,MT,0.973852,16.931395
SKG_MT_838,SKG,MT,-45.65132,23.105314
SKG_MT_850,SKG,MT,-15.304078,26.24654
SKG_MT_1325,SKG,MT,-18.862566,24.867949
SKG_SA_217,SKG,SA,46.185543,-13.848868
SKG_MT_1320,SKG,MT,-1.0119945,45.97542
SKG_SA_420,SKG,SA,-3.4979775,3.2209976
SKG_MT_1375,SKG,MT,-18.806477,46.504658
SKG_MT_1394,SKG,MT,-1.0119885,45.975464
SKG_MT_1193,SKG,MT,-38.347244,37.46742
SKG_MT_715,SKG,MT,-42.14688,27.253273
SKG_DIA_209,SKG,DIA,-13.191843,-8.335378
SKG_DIA_210,SKG,DIA,-16.571217,-10.389368
SKG_MT_743,SKG,MT,-19.86504,22.942394
SKG_MT_771,SKG,MT,-13.240675,19.811613
SKG_MT_620,SKG,MT,-21.592602,41.352573
SKG_MT_964,SKG,MT,-6.405564,40.791386
SKG_MT_966,SKG,MT,-3.9081976,45.687557
SKG_MT_1227,SKG,MT,0.20606191,14.933498
SKG_MT_1220,SKG,MT,-18.738443,24.977545
SKG_MT_1399,SKG,MT,-30.86824,30.875488
SKG_QA_392,SKG,QA,-16.575953,30.09957
SKG_MT_595,SKG,MT,-19.866205,22.982227
SKG_QA_302,SKG,QA,-3.5212862,12.163099
SKG_MT_962,SKG,MT,-31.983871,-9.294958
SKG_QA_240,SKG,QA,11.165935,26.978283
SKG_PAR_14,SKG,PAR,-22.00825,34.077988
SKG_MT_496,SKG,MT,-31.66144,26.815802
SKG_MT_565,SKG,MT,-5.0097594,45.317974
SKG_PAR_34,SKG,PAR,-24.75837,32.721916
SKG_MT_58,SKG,MT,-20.185165,39.161514
SKG_MT_557,SKG,MT,-2.4318204,19.719967
SKG_MT_87,SKG,MT,-29.035583,36.76557
SKG_SA_567,SKG,SA,-4.1675653,4.5030155
SKG_PAR_94,SKG,PAR,-23.682442,31.91385
SKG_MT_409,SKG,MT,-16.367197,48.81519
SKG_MT_144,SKG,MT,-42.455723,28.358643
SKG_MT_117,SKG,MT,-34.962418,23.212103
SKG_MT_1024,SKG,MT,-23.741549,23.230043
SKG_SA_505,SKG,SA,-14.14921,10.635506
SKG_MT_1306,SKG,MT,-22.626802,31.934113
SKG_SA_192,SKG,SA,-5.673235,41.05803
SKG_SA_181,SKG,SA,-3.535825,-41.265697
SKG_DIA_253,SKG,DIA,11.054372,16.709642
SKG_MT_789,SKG,MT,-43.834503,32.683853
SKG_MT_1330,SKG,MT,-17.718128,53.143246
SKG_DIA_288,SKG,DIA,-18.834728,-7.9729166
SKG_MT_881,SKG,MT,-15.785275,38.55789
SKG_SA_343,SKG,SA,-57.85813,8.51975
SKG_SA_351,SKG,SA,-5.5216646,22.761219
SKG_SUM_130,SKG,SUM,-0.640017,46.64219
SKG_SUM_110,SKG,SUM,11.165951,26.978277
SKG_MT_800,SKG,MT,-13.386419,16.64954
SKG_MT_1277,SKG,MT,-18.907242,35.37753
SKG_MT_697,SKG,MT,-31.910328,35.5577
SKG_DIA_213,SKG,DIA,-16.752245,-10.539974
SKG_MT_712,SKG,MT,-14.346493,17.561184
SKG_SA_77,SKG,SA,-54.095257,6.4617796
SKG_MT_919,SKG,MT,-25.693106,29.23443
SKG_MT_820,SKG,MT,-16.48017,45.550926
SKG_SA_423,SKG,SA,-56.57261,0.9189577
SKG_MT_813,SKG,MT,-33.719357,36.533318
SKG_DIA_233,SKG,DIA,-1.6585922,42.56413
SKG_QA_336,SKG,QA,-31.983692,-9.295015
SKG_MT_1003,SKG,MT,-15.254272,37.025818
SKG_MT_440,SKG,MT,-16.428825,24.63871
SKG_MT_308,SKG,MT,-6.355594,49.731247
SKG_MT_1132,SKG,MT,58.85431,-7.1413507
SKG_MT_300,SKG,MT,-24.211405,30.912289
SKG_MT_368,SKG,MT,-14.422367,18.119272
SKG_SUM_80,SKG,SUM,8.5827,22.77162
SKG_PAR_215,SKG,PAR,-11.817327,21.396643
SKG_PAR_89,SKG,PAR,-21.592497,41.352634
SKG_SUM_45,SKG,SUM,7.907972,23.587997
SKG_MT_280,SKG,MT,-51.60159,-2.036262
SKG_QA_5,SKG,QA,1.8299071,11.114354
SKG_MT_1111,SKG,MT,58.85431,-7.1413507
SKG_MT_286,SKG,MT,-11.006961,42.97271
SKG_MT_1129,SKG,MT,-3.9081788,45.68729
SKG_MT_389,SKG,MT,62.96781,-13.835027
SKG_MT_283,SKG,MT,-44.05706,24.085596
SKG_SUM_72,SKG,SUM,8.828693,21.820251
SKG_MT_234,SKG,MT,-17.83481,30.848988
SKG_MT_1191,SKG,MT,5.398851,50.926094
SKG_MT_1400,SKG,MT,-16.245193,39.371143
SKG_QA_417,SKG,QA,11.188325,16.72454
SKG_MT_622,SKG,MT,1.5253417,14.655592
SKG_MT_1425,SKG,MT,-15.4410515,48.82604
SKG_DIA_182,SKG,DIA,8.666127,16.555433
SKG_MT_1236,SKG,MT,10.92763,13.706914
SKG_MT_945,SKG,MT,-22.632208,32.436516
SKG_MT_7,SKG,MT,-30.611256,35.904213
SKG_MT_576,SKG,MT,0.64924145,56.802994
SKG_SA_554,SKG,SA,-8.8769045,16.649294
SKG_MT_613,SKG,MT,-26.400558,25.433996
SKG_MT_1473,SKG,MT,-27.212349,28.15627
SKG_MT_92,SKG,MT,-8.287689,34.1092
SKG_QA_203,SKG,QA,-28.035816,-7.6058326
SKG_MT_78,SKG,MT,-11.673206,25.924185
SKG_MT_981,SKG,MT,10.652166,13.735303
SKG_MT_74,SKG,MT,-51.120956,21.461514
SKG_QA_219,SKG,QA,72.89528,18.707777
SKG_MT_89,SKG,MT,-8.632005,37.59654
SKG_MT_85,SKG,MT,-43.472523,32.75898
SKG_MT_131,SKG,MT,-28.085028,37.748604
SKG_SA_565,SKG,SA,-3.2358932,8.398089
SKG_MT_535,SKG,MT,-34.75286,33.32578
SKG_MT_550,SKG,MT,58.129177,-1.2406156
SKG_MT_93,SKG,MT,-20.671627,32.114193
SKG_PAR_3,SKG,PAR,-22.815857,26.651968
SKG_MT_415,SKG,MT,-6.8576083,9.485941
SKG_MT_480,SKG,MT,6.109428,16.757357
SKG_MT_1228,SKG,MT,-34.74204,32.06331
SKG_MT_1209,SKG,MT,-20.045002,45.931858
SKG_MT_453,SKG,MT,-49.764446,-1.0734885
SKG_MT_469,SKG,MT,-19.828217,43.25853
SKG_MT_239,SKG,MT,-19.896875,30.857471
SKG_SUM_59,SKG,SUM,10.138009,24.571045
SKG_MT_1077,SKG,MT,-17.623322,19.59129
SKG_MT_1065,SKG,MT,-17.698412,27.657364
SKG_PAR_200,SKG,PAR,-21.602324,22.463562
SKG_MT_259,SKG,MT,-13.806313,20.28783
SKG_PAR_127,SKG,PAR,-7.460885,38.001442
SKG_MT_410,SKG,MT,-23.16896,35.768993
SKG_MT_373,SKG,MT,-10.625136,-18.095045
SKG_SUM_97,SKG,SUM,72.89528,18.707777
SKG_MT_1175,SKG,MT,72.89528,18.707777
SKG_MT_1177,SKG,MT,-17.376425,43.48827
SKG_MT_1062,SKG,MT,-15.983035,40.809795
SKG_MT_1276,SKG,MT,-34.74211,32.063377
SKG_MT_724,SKG,MT,-38.185295,32.89156
SKG_QA_487,SKG,QA,-34.938087,-7.0974336
SKG_MT_451,SKG,MT,8.828657,21.820332
SKG_DIA_231,SKG,DIA,10.232273,16.944487
SKG_MT_1395,SKG,MT,-30.112783,16.584929
SKG_MT_1376,SKG,MT,-15.574489,45.26775
SKG_SA_148,SKG,SA,-55.48888,3.7067668
SKG_MT_1421,SKG,MT,-8.287587,34.109043
SKG_SA_5,SKG,SA,-51.34525,20.938421
SKG_MT_788,SKG,MT,-5.513376,6.767172
SKG_MT_835,SKG,MT,-31.662157,36.498703
SKG_MT_832,SKG,MT,-19.761408,16.602604
SKG_MT_1349,SKG,MT,-35.144764,34.77688
SKG_MT_1361,SKG,MT,-17.530794,29.52921
SKG_MT_1327,SKG,MT,-38.240273,37.555023
SKG_SA_268,SKG,SA,-56.769257,7.616995
SKG_MT_865,SKG,MT,-11.865743,53.432846
SKG_SA_24,SKG,SA,-9.759039,32.96259
SKG_MT_1165,SKG,MT,-28.268427,37.62468
SKG_MT_1174,SKG,MT,-4.522215,53.19401
SKG_MT_346,SKG,MT,-35.421413,36.76363
SKG_SUM_147,SKG,SUM,10.257145,24.899557
SKG_SUM_193,SKG,SUM,-29.247292,16.127827
SKG_MT_1090,SKG,MT,-20.652418,29.456257
SKG_MT_376,SKG,MT,-24.331013,25.20385
SKG_PAR_204,SKG,PAR,-31.399471,34.637093
SKG_MT_332,SKG,MT,-14.316531,44.86841
SKG_MT_337,SKG,MT,-22.11858,31.303772
SKG_MT_372,SKG,MT,-37.980038,29.014257
SKG_MT_375,SKG,MT,-29.425367,46.84472
SKG_MT_371,SKG,MT,-36.427322,35.568645
SKG_SA_306,SKG,SA,-1.6869342,5.3347516
SKG_SA_296,SKG,SA,-3.2537782,7.499741
SKG_MT_824,SKG,MT,0.2792127,53.99462
SKG_MT_290,SKG,MT,-43.379166,8.211492
SKG_MT_282,SKG,MT,-13.178613,40.553844
SKG_MT_268,SKG,MT,-27.785866,29.846401
SKG_MT_277,SKG,MT,-22.214298,35.88091
SKG_SA_318,SKG,SA,-33.99814,4.2109847
SKG_MT_1326,SKG,MT,-36.43782,31.40151
SKG_PAR_139,SKG,PAR,-31.702723,33.108143
SKG_MT_829,SKG,MT,-22.736967,22.123482
SKG_SUM_0,SKG,SUM,-23.926619,6.6405272
SKG_SA_229,SKG,SA,-0.31181493,11.083593
SKG_MT_1324,SKG,MT,-17.515867,12.488195
SKG_QA_3,SKG,QA,5.0769243,40.37397
SKG_MT_1290,SKG,MT,-24.56104,25.223814
SKG_MT_869,SKG,MT,-15.148835,40.10216
SKG_MT_225,SKG,MT,-31.682856,35.48965
SKG_MT_1310,SKG,MT,-18.008377,23.773771
SKG_MT_1069,SKG,MT,-16.245127,24.59568
SKG_MT_845,SKG,MT,-20.462255,37.54938
SKG_SUM_34,SKG,SUM,-41.868904,34.880257
SKG_MT_1082,SKG,MT,-40.894848,29.640717
SKG_PAR_52,SKG,PAR,-24.272911,26.892769
SKG_MT_515,SKG,MT,-6.4708967,13.538688
SKG_QA_84,SKG,QA,-15.184689,-4.3858914
SKG_MT_885,SKG,MT,-30.487967,36.431114
SKG_MT_1386,SKG,MT,-25.375006,22.64693
SKG_MT_740,SKG,MT,-16.15923,45.813087
SKG_MT_741,SKG,MT,-47.214714,25.809261
SKG_SA_111,SKG,SA,-29.034412,7.2383075
SKG_SA_577,SKG,SA,3.4378774,45.53512
SKG_SA_557,SKG,SA,1.4482713,5.63827
SKG_MT_1211,SKG,MT,-6.932434,9.263953
SKG_SA_469,SKG,SA,5.32678,52.034863
SKG_SA_191,SKG,SA,-5.306287,4.112143
SKG_PAR_56,SKG,PAR,-34.20324,14.759156
SKG_MT_891,SKG,MT,-19.414858,42.751713
SKG_PAR_53,SKG,PAR,-8.055838,8.843689
SKG_MT_156,SKG,MT,-12.054988,40.594624
SKG_MT_147,SKG,MT,-16.714722,50.82563
SKG_MT_500,SKG,MT,-48.998318,21.786528
SKG_SA_590,SKG,SA,0.24241056,5.9622974
SKG_MT_1225,SKG,MT,-2.9136899,10.864199
SKG_QA_20,SKG,QA,-21.34161,24.036268
SKG_MT_150,SKG,MT,-16.164139,27.117346
SKG_MT_200,SKG,MT,-15.732907,31.275066
SKG_MT_178,SKG,MT,-16.861433,36.968006
SKG_MT_481,SKG,MT,-14.351708,47.777798
SKG_QA_12,SKG,QA,-34.139072,-8.506333
SKG_MT_180,SKG,MT,-10.819501,19.132103
SKG_SA_435,SKG,SA,10.853817,50.792786
SKG_SA_414,SKG,SA,9.167959,43.328575
SKG_PAR_106,SKG,PAR,-4.9365325,10.527413
SKG_MT_1036,SKG,MT,-18.300396,31.46415
SKG_MT_100,SKG,MT,-15.8729515,18.573263
SKG_MT_719,SKG,MT,-10.173244,40.98752
SKG_SA_32,SKG,SA,-3.9619036,22.30434
SKG_PAR_20,SKG,PAR,-28.14251,26.560566
SKG_SA_48,SKG,SA,-4.7213397,7.961276
SKG_SA_40,SKG,SA,5.1292725,47.39125
SKG_SA_609,SKG,SA,-4.4953394,3.67435
SKG_SA_597,SKG,SA,43.178364,22.692348
SKG_MT_80,SKG,MT,-41.188847,34.181026
SKG_MT_1429,SKG,MT,-12.8317585,43.744865
SKG_MT_21,SKG,MT,-19.564314,30.643084
SKG_QA_334,SKG,QA,2.0846112,24.028133
SKG_SA_4,SKG,SA,43.17818,22.692366
SKG_MT_572,SKG,MT,-42.318066,23.35192
SKG_QA_424,SKG,QA,-23.29721,-7.7792306
SKG_MT_1101,SKG,MT,-42.499104,24.552958
SKG_MT_22,SKG,MT,-34.139023,-8.506308
SKG_SUM_155,SKG,SUM,-39.815125,-12.950308
SKG_SUM_154,SKG,SUM,10.7237215,25.804184
SKG_SUM_180,SKG,SUM,-38.434525,5.663798
SKG_MT_1169,SKG,MT,-27.226845,32.797817
SKG_SUM_76,SKG,SUM,-36.867153,-8.449032
SKG_MT_305,SKG,MT,-38.38634,34.297604
SKG_MT_314,SKG,MT,-10.589472,16.133858
SKG_MT_1048,SKG,MT,-15.146091,34.39243
SKG_SA_526,SKG,SA,-35.768402,2.6340654
SKG_SA_484,SKG,SA,9.400926,50.631794
SKG_MT_922,SKG,MT,-25.910164,47.72167
SKG_MT_955,SKG,MT,-41.07088,30.698189
SKG_MT_1248,SKG,MT,-7.745446,19.504095
SKG_MT_1242,SKG,MT,-17.175182,17.672935
SKG_MT_1244,SKG,MT,-38.057743,29.096106
SKG_MT_1461,SKG,MT,3.5693877,27.07665
SKG_MT_708,SKG,MT,-16.774107,26.35905
SKG_MT_706,SKG,MT,-17.62829,27.639194
SKG_MT_707,SKG,MT,-22.150795,48.92357
SKG_MT_705,SKG,MT,-21.635191,36.17725
SKG_MT_641,SKG,MT,-9.194369,13.246971
SKG_MT_1437,SKG,MT,-0.014200741,14.763803
SKG_QA_385,SKG,QA,-18.370205,6.2713213
SKG_MT_14,SKG,MT,-28.154165,39.293716
SKG_MT_1280,SKG,MT,-28.263254,35.04265
SKG_MT_940,SKG,MT,-21.8977,22.139477
SKG_MT_973,SKG,MT,-42.836487,30.831663
SKG_MT_748,SKG,MT,-18.56124,25.929617
SKG_DIA_220,SKG,DIA,-3.2949054,12.670846
SKG_MT_752,SKG,MT,-34.913006,36.428345
SKG_MT_44,SKG,MT,-26.215141,28.636751
SKG_MT_77,SKG,MT,-34.157646,33.062572
SKG_MT_591,SKG,MT,-35.02228,40.23332
SKG_QA_193,SKG,QA,-37.35397,-6.279854
SKG_MT_91,SKG,MT,-7.456209,5.0186563
SKG_MT_682,SKG,MT,-39.299366,31.877571
SKG_MT_681,SKG,MT,-32.40832,31.169672
SKG_MT_725,SKG,MT,-19.141424,28.033432
SKG_MT_79,SKG,MT,-18.800568,37.32832
SKG_MT_1282,SKG,MT,-35.448982,36.649887
SKG_MT_94,SKG,MT,-15.741718,16.133646
SKG_SUM_40,SKG,SUM,-42.569725,35.09834
SKG_MT_220,SKG,MT,2.3820636,42.846375
SKG_SA_278,SKG,SA,13.180159,44.739094
SKG_MT_868,SKG,MT,-38.276424,16.86517
SKG_MT_1030,SKG,MT,-6.589841,51.53463
SKG_SUM_43,SKG,SUM,-34.88796,-13.766446
SKG_MT_97,SKG,MT,-15.310856,40.179768
SKG_PAR_35,SKG,PAR,30.224283,-14.532799
SKG_MT_710,SKG,MT,-53.853756,19.90455
SKG_SA_36,SKG,SA,-35.724552,10.7546215
SKG_SA_556,SKG,SA,8.220706,46.72707
SKG_SA_618,SKG,SA,9.95573,53.28657
SKG_SA_52,SKG,SA,11.355756,51.251205
SKG_MT_738,SKG,MT,-6.552618,15.977391
SKG_SA_118,SKG,SA,-4.020965,4.5229936
SKG_MT_790,SKG,MT,2.8396463,30.544373
SKG_MT_476,SKG,MT,-16.57802,43.669823
SKG_MT_770,SKG,MT,-35.742588,36.210613
SKG_MT_732,SKG,MT,-49.753166,28.569248
SKG_MT_1367,SKG,MT,-24.110205,37.90447
SKG_MT_913,SKG,MT,-18.043861,54.816387
SKG_MT_116,SKG,MT,-16.772106,19.73601
SKG_MT_169,SKG,MT,-27.99328,36.611416
SKG_MT_487,SKG,MT,1.0280913,19.38387
SKG_MT_1206,SKG,MT,-6.5783362,44.00805
SKG_MT_1213,SKG,MT,-17.122952,51.179317
SKG_PAR_113,SKG,PAR,-23.87609,33.31142
SKG_SA_283,SKG,SA,-35.72476,10.754631
SKG_SA_441,SKG,SA,12.598259,47.473473
SKG_MT_1316,SKG,MT,-5.529354,27.037153
SKG_MT_827,SKG,MT,-25.746275,36.423588
SKG_MT_828,SKG,MT,-7.974821,42.675697
SKG_SA_260,SKG,SA,2.2803268,6.2925367
SKG_SA_224,SKG,SA,11.236394,42.086918
SKG_SA_246,SKG,SA,-51.72255,5.548699
SKG_MT_187,SKG,MT,-2.5452654,11.215839
SKG_SUM_22,SKG,SUM,-24.799906,6.5068345
SKG_DIA_64,SKG,DIA,-11.139604,8.249493
SKG_MT_252,SKG,MT,44.91909,16.612627
SKG_MT_265,SKG,MT,-14.780081,28.471207
SKG_MT_266,SKG,MT,-20.632107,29.82957
SKG_SA_339,SKG,SA,5.094646,55.18788
SKG_SA_307,SKG,SA,-47.686348,8.607671
SKG_PAR_185,SKG,PAR,-20.669764,7.93602
SKG_MT_394,SKG,MT,-13.521493,45.601036
SKG_PAR_212,SKG,PAR,-23.117647,24.656775
SKG_MT_1127,SKG,MT,-0.74602824,20.265337
SKG_MT_1347,SKG,MT,52.80731,22.428137
SKG_MT_840,SKG,MT,-22.33225,28.1354
SKG_MT_1096,SKG,MT,-14.218756,38.73571
SKG_MT_319,SKG,MT,-12.423595,46.003872
SKG_MT_836,SKG,MT,-9.631142,54.559193
SKG_MT_331,SKG,MT,-38.638634,33.796577
SKG_DIA_298,SKG,DIA,9.088662,18.449856
SKG_MT_224,SKG,MT,-9.280196,50.03495
SKG_MT_1403,SKG,MT,-17.300648,21.609364
SKG_QA_404,SKG,QA,-20.669954,7.935938
SKG_MT_676,SKG,MT,-6.594436,46.26237
SKG_MT_1009,SKG,MT,-13.661473,26.886251
SKG_MT_1441,SKG,MT,-5.455361,44.56449
SKG_MT_680,SKG,MT,-14.54411,52.991947
SKG_MT_590,SKG,MT,-24.516138,35.79311
SKG_SA_449,SKG,SA,-23.673761,14.581428
SKG_SA_460,SKG,SA,4.2873116,55.644936
SKG_MT_545,SKG,MT,-18.08383,23.928406
SKG_MT_530,SKG,MT,-12.925248,43.841194
SKG_MT_586,SKG,MT,-27.75289,32.65294
SKG_DIA_211,SKG,DIA,-22.437214,-4.0129976
SKG_MT_1253,SKG,MT,-44.60188,23.07904
SKG_MT_560,SKG,MT,-16.439644,29.76017
SKG_MT_598,SKG,MT,-25.578825,26.96235
SKG_MT_647,SKG,MT,-20.777472,16.280666
SKG_MT_652,SKG,MT,-3.5383976,13.933002
SKG_MT_1252,SKG,MT,-4.581251,9.250302
SKG_SA_517,SKG,SA,4.2873163,55.644558
SKG_SA_530,SKG,SA,8.269357,47.394882
SKG_MT_931,SKG,MT,-16.949015,28.0154
SKG_SA_490,SKG,SA,-30.42168,5.4609895
SKG_SA_540,SKG,SA,5.394299,52.284966
SKG_MT_1474,SKG,MT,-31.966217,25.60928
SKG_SUM_145,SKG,SUM,-10.33515,-6.2430587
SKG_MT_1158,SKG,MT,-3.8848588,50.000233
SKG_MT_1060,SKG,MT,-16.00119,46.283474
SKG_MT_317,SKG,MT,-46.657997,15.820446
SKG_MT_1053,SKG,MT,-9.021068,17.007042
SKG_MT_359,SKG,MT,0.61289513,47.642895
SKG_MT_1046,SKG,MT,-29.094421,47.58751
SKG_SUM_68,SKG,SUM,-38.5454,5.316212
SKG_MT_1120,SKG,MT,-19.612122,34.94187
SKG_MT_1118,SKG,MT,43.03281,-15.988802
SKG_SUM_92,SKG,SUM,69.05105,15.813593
SKG_SUM_64,SKG,SUM,45.503647,35.95794
SKG_SUM_178,SKG,SUM,67.05652,18.011139
SKG_SUM_129,SKG,SUM,68.98711,14.644412
SKG_MT_642,SKG,MT,-18.357813,40.03101
SKG_SUM_177,SKG,SUM,-45.95578,3.6419983
SKG_MT_651,SKG,MT,-23.969048,37.622013
SKG_QA_328,SKG,QA,38.678955,34.523087
SKG_SA_531,SKG,SA,-4.7780395,3.3750653
SKG_QA_352,SKG,QA,-29.204208,13.795778
SKG_SA_535,SKG,SA,-22.753426,12.484067
SKG_QA_298,SKG,QA,3.1266642,22.605835
SKG_MT_18,SKG,MT,-13.904992,44.789104
SKG_SA_509,SKG,SA,67.50837,17.772373
SKG_MT_959,SKG,MT,66.39077,18.560219
SKG_MT_1004,SKG,MT,2.0545614,49.016407
SKG_SA_542,SKG,SA,-31.45714,8.568188
SKG_SA_545,SKG,SA,8.819504,53.10901
SKG_MT_615,SKG,MT,66.31856,18.311607
SKG_MT_1456,SKG,MT,68.743,16.867044
SKG_MT_24,SKG,MT,-10.05816,31.719204
SKG_QA_256,SKG,QA,-3.286466,-5.829902
SKG_MT_48,SKG,MT,-14.032003,55.171383
SKG_QA_438,SKG,QA,71.20875,15.607911
SKG_QA_423,SKG,QA,-18.299458,-5.6861796
SKG_QA_356,SKG,QA,71.40639,14.416331
SKG_QA_269,SKG,QA,1.7947421,53.92705
SKG_MT_1254,SKG,MT,-36.45702,32.585945
SKG_MT_971,SKG,MT,-39.136097,31.225212
